judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Carriero, Craig P.",187,0.0427966505506154,0.0258579120548742,0.1452463882002509,0.047730778643566,0.0065515238851529,0.0154768666702529,0.0654504119778701,0.1150793442514381,0.1238706693400267,0.0533934851270256,0.1076214873293459,0.0321867573023729,0.0,0.2187377246672079,0.0
"Champagne, Derek P.",124,0.0361540272460383,0.0403203066590007,0.1899499403571957,0.016813681172026,0.0084837540012307,0.0024727937610003,0.0727493155424438,0.1085109198743693,0.1388935002564278,0.087457273923276,0.1028668059899688,0.0224283201904281,0.0,0.1728993610265939,0.0
"Main Jr., Robert G.",39,0.1312131857915929,0.0427934312880748,0.1124695026042683,0.079761876562071,0.0076470169507196,0.0,0.0769207275390648,0.1814809232492035,0.0987686300904212,0.0378772741225169,0.1118794787606538,0.0370536804451226,0.0,0.0821342725962901,0.0
"Koshy, Biju J.",4013,0.042721025086333,0.0110755611282605,0.1484421804709347,0.0330451058436276,0.0153750478458848,0.038411373026049,0.0222952228592327,0.0599781462852074,0.1119917288615591,0.0421177743131473,0.2815205703583017,0.0302798023971081,0.0,0.1627464615243537,0.0
"Abriano, Gerianne",2710,0.0268745035357093,0.0176616520185376,0.1394462635717885,0.0596171355394104,0.0174928328557686,0.0241742226981576,0.049319985135103,0.0563395424744536,0.1031262079357799,0.0536462931511956,0.2331754582397631,0.0522929074824462,4.345744684899946e-07,0.1668325607874178,0.0
"Swern, Anne J.",52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Helbock, Robert J.",2834,0.031336807316704,0.0118431814372267,0.1963032500584245,0.0372931417224552,0.0135966929431929,0.0235464471140737,0.0373917563990992,0.0856871390907128,0.0993641095457326,0.0049996422015342,0.1955972584817414,0.0544388070227014,0.0,0.2086017666664008,0.0
"McPadden, John N.",3549,0.0414758919297367,0.0184900648775132,0.1834381025123129,0.0390938972407807,0.0253121113817943,0.0137340086272474,0.0628810318254228,0.1301314209508214,0.0763430946805789,0.0269617272268616,0.1669049155908595,0.0190491893411123,1.4635972864032828e-07,0.1961843974552288,0.0
"Lebovits, Gerald",127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Thompson, Ann D.",1667,0.0372342808871305,0.0097357076323425,0.1223857750990399,0.0420248744019834,0.0234324387243098,0.0090284938635291,0.0180934285563301,0.0695422653992825,0.0828030561729597,0.0071771430273804,0.3181856423669345,0.0395891054891055,0.0,0.2207677883796717,0.0
"Castorina Jr., Ronald",3782,0.0323862864484883,0.0171420815209319,0.178943319807744,0.019752048039683,0.0188278145190291,0.0112994800884011,0.0433574449923134,0.1121981827533553,0.1053843277209085,0.0075248733012484,0.2156960867632807,0.033754633114802,4.457756361381137e-07,0.2037329751541773,0.0
"Rajeswari, Raja",3321,0.036421208518561,0.0151537419252698,0.1697820723508094,0.0383085347855639,0.0094373876012142,0.0512368774753853,0.0471243731317671,0.1157595921619716,0.1172199405960058,0.0586603149197744,0.1034330386310005,0.0401247129951689,0.0,0.1973382049075074,0.0
"Grey, Lisa",773,0.0407362667210364,0.0164081618245423,0.1505564918352013,0.0330185599098891,0.0123832438763872,0.0261828434252795,0.066588626611987,0.0899945261411338,0.1086257096900157,0.0806457325810921,0.1661570445005472,0.0320666372065003,0.0005560273200235,0.176080128356364,0.0
"Adams, Suzanne J.",101,0.0444217745288429,0.0302242796915433,0.3788619243802132,0.0691437284040934,0.0119741335703313,0.0,0.0119413481388108,0.0572787354573997,0.043446877055324,0.0125625873594369,0.0928020871484341,0.0495265795204667,0.0,0.197815944745103,0.0
"Sciarrino Jr., Matthew A.",194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Headley, Lisa S.",118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Clynes, James G.",295,0.0394224581435661,0.0257671312983264,0.1813879934676258,0.0927977329621831,0.0059958781066125,0.1224228245998493,0.0165236261856903,0.0971427262142824,0.0897911017226179,0.0640448246480164,0.0768510384432265,0.0461432282249738,0.0,0.141709435983029,0.0
"Weiner, Jay L.",317,0.065911898529026,0.1678946137382404,0.1470956463790785,0.0438037860584572,0.0907772424561845,0.002310498314222,0.0360572019993277,0.0298135852644454,0.0283110269306425,0.0213685360670565,0.109402307382882,0.137481292974644,0.0,0.1197723639057929,0.0
"Svetkey, Jonathan",187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mattei, Mario F.",333,0.0688721726172849,0.0396264153602635,0.127738656138596,0.0355935803133373,0.0167246664240966,0.0743769172388985,0.0776911934287056,0.1216897452702642,0.1109074060549629,0.0991088967392477,0.0936275809380543,0.0224291383662553,0.0,0.1116136311100328,0.0
"Weston, Cori H.",164,0.062906560766166,0.0344655650939044,0.1625044504820924,0.0014864602964566,0.0117335523925695,0.0081174914565343,0.0131596959250102,0.015144729602589,0.0630414871719639,0.0807927738900034,0.1053817396788812,0.1850540670644523,0.0,0.2562114261793761,0.0
"Frey, David",315,0.0334962909930061,0.0555514409050264,0.1963282253552462,0.0244676168832492,0.0426243430356266,0.0800256025027259,0.0321928344747774,0.1504374908141384,0.1156412201229812,0.0101597572478063,0.0596806872642203,0.0615181341919446,0.0,0.1378763562092507,0.0
"Ryan, Michael E.",87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mundy, Marina Cora",448,0.0473357440225049,0.0137518514793705,0.1414402363688334,0.0563714070280989,0.0201313555180497,0.0193337530677589,0.0366348129032021,0.0594685404700571,0.0869935267212361,0.0533753249333978,0.2390839672186303,0.0276324929018469,0.0,0.1984469873670129,0.0
"DiDomenico, Catherine M.",431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Garnett, William E.",180,0.0246522124607162,0.006311838280237,0.1642192277991139,0.0354294144380875,0.0051538055303802,0.0197483321663398,0.0825439864219935,0.0610094435454857,0.1753389538705522,0.0210803328157859,0.1987181869773835,0.0683068773472518,0.0,0.1374873883466721,0.0
