judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Galarneau, Eric",1769,0.03757451006014777,0.026016762681678435,0.19185090364672233,0.03376426484438439,0.04694703040508782,0.026647586795202956,0.044398509927866495,0.09199987205295265,0.1402676994058179,0.07982321725842828,0.07764224553843785,0.023459674414426826,0.0,0.17960772296884614,0.0
"Trexler, Holly A.",3260,0.046245430513976636,0.02711365389264191,0.19102069576836242,0.02433531591473998,0.038894685865887436,0.022537728442425013,0.044791909262748265,0.09055659846156591,0.13918313952603237,0.08895582817922922,0.07447691134476468,0.020913009704875706,0.0008686832174340559,0.19010640990531638,0.0
"Reilly, John J.",3068,0.03782566918333295,0.030258187237667464,0.17814049478809357,0.0367372477535118,0.03923492402155741,0.021396454495199585,0.04880977633871907,0.08637466730051477,0.129109143726374,0.07482109115389851,0.0707274835580456,0.0532289562566732,0.0,0.19333590418641192,0.0
"Lamb, Thomas",1333,0.05241945165965224,0.025147839354354728,0.16465108309435172,0.022273021407796568,0.044863713909215924,0.010848015683543061,0.04103745582528332,0.0899649393888456,0.10614819693830167,0.08092386709885947,0.1061465382036575,0.07839527174166261,0.0,0.17718060569447552,0.0
"Farrell, Joshua",3197,0.04814737839289676,0.023713886738646845,0.18052905492898563,0.03131759457954669,0.03973029900895162,0.02226948284621295,0.050721112546162385,0.08176532177540642,0.13789743730386322,0.08475926417932483,0.07688781445379152,0.03623889672576311,0.0,0.18602245652044797,0.0
"Connolly, Gerald W.",93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rivera, Richard",177,0.013976095490220577,0.009269003817308656,0.23668681169718578,0.0008098791700539825,0.09203744103924351,0.08553501738223704,6.119991721442578e-05,7.352341902631634e-05,0.1921035895005508,0.052735738204541055,0.10092477577713216,0.04084415661398326,0.0,0.17494276797130248,0.0
"Kelly Jr, William G.",95,0.04243018391552632,0.02546963817805419,0.15032292738213987,0.013887336667345433,0.10755448606172374,0.017216918790552916,0.05366921133263594,0.08372685705786144,0.1449268767400293,0.047182007154168745,0.04917784041445916,0.06477377108306284,0.0,0.1996619452224401,0.0
"Reinfurt, Susan B.",115,0.04924302254754401,0.016704284429646613,0.16203516705950616,0.05585485458771212,0.06450011402858725,0.005364734321235861,0.04730218999822257,0.10028981448125694,0.14482825221382037,0.06609072069147444,0.07421982703508856,0.06497937320494848,0.0,0.1485876454009566,0.0
"McDonough, Roger D.",218,0.059543540658647844,0.006801814948394047,0.1290499849178504,0.039117952944435486,0.06322549343907831,0.01656938506691209,0.06334962194073103,0.115707056164465,0.14569908915410404,0.09005788941103857,0.06384214079806434,0.04037386051394524,0.0,0.16666217004233366,0.0
"Little, William T.",337,0.04605805659036843,0.01579955530513331,0.14582029525532847,0.043809796417410764,0.03161907632946348,0.016436468294629608,0.0732966534657138,0.10704189373289633,0.17675037337512164,0.08320008156921606,0.08046192100103074,0.037159436956446794,0.0,0.14254639170724084,0.0
"Brooks-Morton, Sherri J.",141,0.02549431555387885,0.01714849323140076,0.06503889320576568,0.0,0.04246136949863724,0.40499828608923677,0.0,0.0,0.13501104444222503,0.05563275135620621,0.06832073338948322,0.027206170255050028,0.0,0.1586879429781164,0.0
"Marcelle, Thomas",275,0.05584411734330406,0.024578776382474424,0.18173697989381082,0.027523270676634615,0.06778910245258514,0.028277925354539556,0.04877852324454882,0.06558471015855431,0.08998440727774362,0.0700652059462695,0.10031265669337192,0.06856345835493839,0.0,0.1709608662212247,0.0
"Torncello, Peter M.",93,0.07266976139121609,0.031131338435392078,0.20570972772715315,0.007763927381047732,0.07006801051420038,0.0035313488467102307,0.028156318883061186,0.10599475822426488,0.14310984164265714,0.09133034804894662,0.05810206454833294,0.030234064488318224,0.0,0.15219848986869944,0.0
"Ackerman, Andra",420,0.03148243038519875,0.03901541004932957,0.11666478744935238,0.031684401028387155,0.03399190228483271,0.027434402937929706,0.07249046387673204,0.1081877574635351,0.16732319770400125,0.08317824843753117,0.09602528461710318,0.03542998794822074,0.0,0.1570917258178463,0.0
"Calderon, Francisco",209,0.03391452604377121,0.03166215309012349,0.12821672998294903,0.019940132145724952,0.044685755614962436,0.07838602079567904,0.03644554052280067,0.17644975082469824,0.13758544164717681,0.021982017712913922,0.09447640283743014,0.03526515136554363,0.0,0.16099037741622635,0.0
"Heath, Helena",27,0.029570904965489118,0.01925536174233208,0.17003594007343384,0.010550060357955615,0.08507528304688242,0.003798469387755103,0.04460047287142435,0.10180337313717519,0.1804944102241529,0.013762567418279654,0.10583229630306495,0.09366553071518903,0.0,0.14155532975686572,0.0
