judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Chin, Christopher",3262,0.02528424643891419,0.016373237099642415,0.14350368296455573,0.026908442670363512,0.03598152931607851,0.06211116870293296,0.03630087076692804,0.05896731105040799,0.09791326007824425,0.028443585252748513,0.12506138259198402,0.1862099941013143,0.0,0.15694128896588558,0.0
"Bowen, Eugene D.",1924,0.03788604765962826,0.022264144047141565,0.1913235533469827,0.04465062723852687,0.043961658299263746,0.042906679256286225,0.07866319032362243,0.09801683609594153,0.12585319656243754,0.0165520234189049,0.0877931342090798,0.055697452672649285,0.0,0.15443145686953505,0.0
"An, Giyang",2605,0.028078869002701443,0.027309407846740873,0.13449971900760962,0.03802250346857126,0.04367885601722679,0.029680112156310556,0.04244559491229666,0.06446106129875012,0.10118749420533564,0.037924955957262134,0.1474683929722168,0.13173912845183658,0.0,0.17350390470314142,0.0
"Pacheco, Carmen A.",2141,0.03440245777112546,0.020975775515010127,0.16467158190200193,0.038260014001147126,0.041203050498726176,0.07809876538138273,0.04564640568249095,0.07066541659245121,0.0995449769437295,0.0160104496921364,0.09948901894845122,0.14448761641995278,0.0,0.14654447065139445,0.0
"Villegas, George R.",2397,0.04192537437605906,0.013332165182064138,0.18214323664471022,0.046903628688390035,0.047536573801670805,0.03152084634752494,0.048016507613695615,0.08029559346518383,0.14129996058839583,0.11724821564027518,0.05932564811895373,0.018826439096809797,4.960304678636858e-05,0.17157620738948062,0.0
"Ortner, Craig J.",1717,0.032392361582372776,0.022542576659026575,0.1593355172203044,0.0414402674651789,0.03534893501311987,0.06107313830409521,0.041900076152640915,0.06904135706672544,0.0977475794186781,0.011010104853190263,0.11684151349323683,0.1688116876992954,0.00010254980277427426,0.14241233526936112,0.0
"Nock, Louis L.",333,0.0299641575406336,0.015317952220269547,0.14531745511358685,0.05697492164750319,0.03592300514587561,0.025192985526989484,0.033189509872675924,0.06598471870702188,0.08217606944537133,0.055434435066276155,0.14751596842822098,0.16296715145540422,0.0,0.14404166983017136,0.0
"Bruce, Raymond L.",111,0.031879799597287206,0.013213190335384048,0.18965823162050333,0.0926469471297713,0.0322725879728358,0.08193988407437723,0.04086033749995978,0.0671829668439437,0.1320042123403328,0.10098378356164579,0.0770425321324406,0.021627531799000455,0.0,0.1186879950925181,0.0
"Litman, Sara",1757,0.02786900928455667,0.030269492925082596,0.13603050139186357,0.03559030342248892,0.03146702778154548,0.038061149066398,0.038759342716290536,0.06107151294499138,0.09697558208321447,0.027671346691672954,0.13629920645717652,0.19724029754590292,0.0,0.142695227688816,0.0
"Ally, Shahabuddeen Abid",847,0.045483546530839726,0.01653939365398136,0.19596908486610914,0.043146966293673567,0.04678219919512301,0.03521226489428161,0.048924910802885614,0.083241702430539,0.093463013823097,0.02088132343564334,0.09014317622318908,0.11111362736763483,0.0,0.16909879048300286,0.0
"Hartofilis, Michael John",3980,0.0317789464219037,0.01985621421913587,0.1499985792464587,0.0321152195920536,0.04033705499972703,0.036750883094260646,0.03852537013656658,0.06355368721549756,0.09508712225967814,0.06197415778143472,0.1314669208083214,0.14388833837741538,0.0,0.15466750584754674,0.0
"Pappachan, Srividya",3108,0.02621029504939179,0.016292143171188666,0.14342185788876805,0.03486102420599431,0.03343171710159316,0.04427658386210188,0.04204603478101185,0.05264893054115778,0.09895613256174618,0.04057405957552936,0.13013546794182362,0.18915784319058596,0.0,0.14798791012910728,0.0
"Lopez, Linda Poust",2570,0.03478818739251588,0.019639156680030016,0.19039650627711557,0.03643944272740385,0.04308065608255896,0.054994386413290956,0.049951282259500164,0.07979148641243154,0.12819996889783156,0.0806751972676063,0.06334611612385985,0.07361913383352164,3.553058124672651e-05,0.14504294905108708,0.0
"Zimmerman, Jeffrey M.",5214,0.03198170412577397,0.01772698656392751,0.17935101220615526,0.039293887532176726,0.04365473317398087,0.0477615598496995,0.0456926976462464,0.06530794054931607,0.11761801935882772,0.08931323539920977,0.09036390728467217,0.0887222151892707,0.0,0.14321210112074334,0.0
"Martin, Margaret W.",2870,0.03404865150781153,0.019852540474259682,0.1618724630640556,0.03873549047323746,0.03665311114094725,0.04938011256151314,0.0357593393333818,0.059405708593899355,0.14210108167845031,0.0770562095360856,0.09393529810695352,0.0836946195606783,1.919669818318949e-05,0.16748617727054324,0.0
"Crawford, Ashlee",3689,0.025958793835050568,0.016246995406583257,0.14917454736500285,0.03782712915134784,0.031395014072281346,0.04906923049519481,0.043560762104791054,0.08283073271178738,0.10249639589697994,0.03373371780464726,0.10619665668670539,0.16421162685252777,0.0,0.1572983976171006,0.0
"Quart, Daniel",1802,0.03052784159408783,0.029400874171419067,0.13253762909859462,0.038686324404490206,0.032491378918169396,0.041798235685725875,0.03396438164790616,0.06774881347227195,0.08762460459335815,0.010170713367095031,0.13891146912324595,0.20735345317397702,0.0,0.14878428074965858,0.0
"Flores, Jessica I.",3035,0.03094418943421028,0.019399081566825193,0.1788433721508462,0.03775271607511951,0.03921771645730466,0.05350071779746648,0.044083831923493896,0.07826838430594439,0.12192399080623195,0.04450494763775104,0.10232176505308584,0.0987110811993214,1.8209455372809646e-07,0.15052802349784547,0.0
"Rosenblueth, Jeffrey",2093,0.0285802506191174,0.02232216423945347,0.16438311181605947,0.029257614802277763,0.03712204192704716,0.038731844302303794,0.03898144123724992,0.06036626830905503,0.11469560480208811,0.06956744384143276,0.1182919231937033,0.1456528694256259,0.0,0.13204742148458593,0.0
"Lebovits, Gerald",178,0.03822643601068447,0.016107623462124385,0.1450263704592997,0.02033467052874281,0.022009394006651122,0.013117593166950893,0.038326244066348686,0.08532462383372776,0.06186335168580813,0.034396579087079465,0.12697487194875237,0.260750351398142,0.0,0.13754189034568834,0.0
"Davila, Michele",1697,0.03751324536961255,0.037643279749676385,0.1643921683330028,0.04402471765974888,0.029586144734848795,0.06807628846355684,0.03500468280649611,0.06340975172417167,0.10309037774087819,0.014308181836875964,0.10393891962340121,0.13572950935128583,0.004539324140121093,0.15874340846632362,0.0
"Morales, Valentina M.",1771,0.04107243574189431,0.017641708374221604,0.19750268395945075,0.046490621414822665,0.036288764505508816,0.038393711733630216,0.060310759207481385,0.07428253978071825,0.13955841077278955,0.023672957777980036,0.07810162376234221,0.04929945804880342,0.0,0.19738432492035685,0.0
"Gouldborne, Patsy",142,0.05078441607085867,0.020394688024939076,0.19342721708825597,0.05962640660970502,0.03693195162348565,0.01591424610591224,0.08767335439006015,0.0876131229396434,0.11343564582607019,0.006555335405593483,0.07098124230716069,0.10934302828124297,0.0,0.1473193453270725,0.0
