judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Savage III, Peter J.",2726,0.03781232599654628,0.021159165206998887,0.168503372697065,0.03474347978987551,0.05835468529310682,0.02321883392914895,0.03941210117347773,0.09873914324678344,0.1168085564202606,0.08458088535811532,0.08306625194129974,0.06700866208614274,0.00018455242691607938,0.16640798443426286,0.0
"Montour, Mark A.",187,0.035182614972268635,0.021294645832545717,0.15416975434186275,0.059838652602883145,0.057085773466507506,0.03651298055346121,0.03596894488496093,0.09524736391492084,0.11633133793303183,0.08091011331426302,0.091000663391182,0.03654085327861317,0.0,0.17991630151349944,0.0
"Wray, Diane Y.",3521,0.03730201580685554,0.023011157467778202,0.1642394631845524,0.03359309865667095,0.06841916683644239,0.022806378118875193,0.038515310668634124,0.0810404159663365,0.10865822632422552,0.07046753600998043,0.07354621967631299,0.09375735040497295,0.0,0.1846436608783628,0.0
"Szyszkowski, Kenneth A.",2143,0.0442690126076471,0.03037902978740256,0.15822750913093514,0.028325341938415863,0.05048762537938745,0.020292631151926338,0.03846058060818724,0.09564643475126354,0.119140701971267,0.06759883022772593,0.0752820310526379,0.057240893354887495,0.0,0.2146493780383165,0.0
"Lilac Jr., Dean E.",370,0.03285593717452051,0.021404126881295036,0.17342328933432724,0.03210677430216431,0.04466334244788072,0.01218308842584397,0.02787098967722617,0.12277362644846306,0.13176450192010916,0.10539256731778805,0.07020876629398244,0.020183137092193933,0.0,0.20516985268420543,0.0
"Cooper, Michael Gregory",33,0.2174415633262972,0.005878372540475554,0.10989345318152038,0.0,0.020758102999161518,0.0,0.018825440723243377,0.244753282961457,0.1944460236655259,0.04616530483960164,0.023818593123242925,0.06703841390491456,0.0,0.0509814487345599,0.0
"Keane, Kevin J.",3234,0.03982488599688793,0.02092814504154858,0.15007948832079088,0.03387538074350974,0.05479445833141004,0.018359235538857977,0.036644634195114704,0.08363125882137157,0.09111391256870725,0.0706764909253786,0.09037078491061978,0.11731443946085342,9.004631312609662e-05,0.19229683883182347,0.0
"Faso, Jenelle L.",574,0.036114039011623494,0.01906703307894525,0.14388400763806458,0.05394493383642749,0.05162469782481003,0.03025884184623933,0.06259430245451819,0.10216693593573097,0.09009877441452696,0.01699571307986694,0.08974583851644297,0.13573900413977372,0.0004891837277885843,0.16727669449524166,0.0
"LoTempio, Andrew C.",3167,0.03742888963993262,0.02254753021412752,0.15691263980181538,0.03267932159864857,0.060862149056125824,0.029740116077759504,0.03775202774199479,0.09049404306493612,0.10139615404105312,0.07306599157868844,0.07459285371079466,0.1071121854385618,7.791139375484825e-05,0.17533818664180678,0.0
"Heneghan, Shannon M.",2825,0.03559532531258461,0.01889155190197841,0.14828155170409726,0.02463074338875462,0.05001426784491939,0.02282918939946838,0.034964763684986216,0.08054684830330867,0.10740147391241844,0.06610662016686075,0.07948059479655083,0.15100537778981682,0.0008361814793497706,0.17941551031490593,0.0
