judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Swartz, Eric T.",732,0.03935958342679268,0.024668815852930712,0.16785216281450338,0.023403649682326735,0.033464542201687826,0.02458075931050404,0.05937097943313027,0.1072029796015614,0.13202662013750976,0.09330354464427623,0.08532965636936987,0.043454564631820125,0.0,0.16598214189358695,0.0
"Renzi, Eugene R.",394,0.0371808281064196,0.03403318547175736,0.14729763063299003,0.021948003193204068,0.03549550492052974,0.0717304713140676,0.04673108666629631,0.13102667529454715,0.15399221219302564,0.042684936839963446,0.09094827287743781,0.03426436340409621,0.0,0.152666829085665,0.0
"Neddo, Anthony M.",2791,0.0390461824292942,0.023487237261529462,0.19585341464354783,0.01951443159664377,0.03553932393467117,0.017190454519956298,0.05612948642185337,0.10366253454211158,0.14071166408713393,0.08426606142950065,0.07531519558158811,0.025284516327105322,4.7946374149549875e-05,0.18395155085091494,0.0
"Renzi, David A.",952,0.03797574319505003,0.026268290650069543,0.1501851867512509,0.03340330281289422,0.02476385587216236,0.014643162009658426,0.07676814320073341,0.11052674365902838,0.13710953808654472,0.09184161470094984,0.0979594660658258,0.026632215319058985,0.0003698457318061153,0.17155289194496715,0.0
"Knuth, Colleen M.",49,0.0297316290164528,0.03609447745584801,0.16175503913183775,0.03390380489032141,0.05424591563184042,0.014072571033240939,0.06336009244397581,0.09398952754644785,0.10823107384225189,0.07578994385463289,0.10282159597256328,0.057341049698191246,0.0,0.1686632794823958,0.0
"Sheehan, George B.",65,0.05977396616806162,0.02054694335539474,0.18095100948784137,0.010337187903758618,0.03748673408189841,0.026800267558792938,0.03496424385135391,0.12050050709402976,0.19100454215741605,0.08184521895353163,0.061526101479501646,0.01358815780726815,0.0,0.16067512010115104,0.0
"Parks, Faith L.",64,0.04052344461153166,0.026766274869251143,0.21001306923175805,0.06909420145002769,0.015085718361249313,0.016618327109431244,0.02999333054615842,0.10298727138077009,0.13351876285519307,0.06757462894210185,0.10239978881090366,0.02810144767633136,0.0,0.15732373415529252,0.0
"Mushtare, Richard J.",102,0.03638997929933846,0.05241853421861596,0.20474212031566563,0.014641322464949978,0.04347332660432905,0.011007032907025727,0.06789612421041498,0.0984763024221715,0.15667160474627398,0.0815962425734712,0.054797634566957035,0.018690805793650553,0.0,0.15919896987713583,0.0
"Porter, Matthew J.",92,0.05071559834048994,0.023775041388290955,0.17147290995602976,0.011906684324034111,0.049219555933331854,0.08974968314716014,0.027999010546541015,0.07914815088442992,0.11877227298209729,0.09139752882276488,0.07506432444637598,0.023356311314472883,0.0,0.18742292791398124,0.0
"Pacilio, Patricia B.",53,0.07877014635425997,0.03922958064563175,0.1751413213253069,0.01794291960704147,0.017068360036501716,0.06579750988053334,0.14426603986344122,0.08645411679955753,0.14723830788526757,0.053355501876218875,0.051924170697934,0.010307563094842796,0.0,0.1125044619334628,0.0
"Ramseier, William Frederic",48,0.018971442890137507,0.0263881537282193,0.12856216143533705,0.02445453684249307,0.05102460030924778,0.006339931284304624,0.07639285451341361,0.1386500957057554,0.10621242575257832,0.06659122763738452,0.029644135594703896,0.07183249907498425,0.0,0.25493593523144065,0.0
"Newark, Robert J.",44,0.03358140699511796,0.02938361603674448,0.12833418102318697,0.01220954567068504,0.028335121870297485,0.07686529342249561,0.06004794967214608,0.09882308549201418,0.13116580681813927,0.0964381746036721,0.11032700910572753,0.032592814412284704,0.0,0.1618959948774887,0.0
"Smith, Crystal J.",48,0.053696714745524066,0.06596931571076926,0.1711836805633165,0.03588889038988042,0.030314201860408004,0.05320629395817998,0.058206337856266825,0.14482337325004072,0.14237123895074688,0.053998721156521,0.04890156735772927,0.016316593758113226,0.0,0.1251230704425039,0.0
"Roberts, Rachel A.",46,0.04079954640949908,0.024126864694319683,0.19816683555093476,0.04687125921282876,0.04283079101488124,0.02195685866647011,0.07383854224407288,0.09793520046508984,0.16552675564704092,0.05805157720845347,0.07241720535135597,0.026299266886279114,0.0,0.1311792966487742,0.0
"Payne, Peter C.",43,0.04858077882827555,0.03119853812501165,0.17751210031941025,0.02348147973361124,0.02852689611583088,0.002662113157809378,0.07450292811759358,0.10964526832856918,0.1601151550244231,0.03166599849928895,0.09384993570113022,0.04498024284215928,0.0,0.1732785652068867,0.0
"Morse, David M.",86,0.07993514287068394,0.02431204132596175,0.1495049334187915,0.0127118086924209,0.03266450918248998,0.036910743766670064,0.0470103560148526,0.08773993580592837,0.16821101277732167,0.06848336727514215,0.08858422677002589,0.016998279924579068,0.0,0.18693364217513211,0.0
"Klepacz, Edward J.",34,0.028679161464150966,0.026992113464126485,0.13791239154041454,0.018696821346912015,0.016858279262851807,0.0,0.05014402486740838,0.17081775950388123,0.1377534984162418,0.05629386598827349,0.15303531527130296,0.05503045958206599,0.0,0.14778630929237047,0.0
