judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Neckles, Derefim B.",4249,0.030037026373933583,0.02352399569876516,0.14404050454670395,0.03797040122908859,0.04026214412698728,0.04175591466301058,0.04607491207903762,0.06514432080789319,0.09956042280294661,0.029312493306455852,0.12307209910824442,0.17635197373767855,9.841335092653336e-05,0.14279537816832805,0.0
"Hudson, Sharen D.",923,0.027541055989429446,0.023481995825875793,0.11192308900969408,0.04168978508076613,0.05099987234440182,0.02006372892215912,0.05128440441468366,0.04606642556345092,0.07658114069726579,0.06671462604378349,0.1293366144643902,0.16705801402984105,1.11173972901777e-06,0.1872581358745295,0.0
"Mimes, Sherveal R.",5745,0.04569187758111722,0.01998277119215569,0.18499667030685388,0.045120216299208156,0.04370586400302336,0.03150959381544264,0.05787496429320744,0.09921137644058851,0.13273671201769768,0.013217199007616325,0.08010503957392638,0.08276916269927172,0.0033757356384440784,0.1597028171314471,0.0
"Leo, Donald",1770,0.030064168862706672,0.025670862005233115,0.1578081742896516,0.02854887244720585,0.039693412208770845,0.01705704528693631,0.03246953793051839,0.05149882516324155,0.1196885796030502,0.07846334650776472,0.11208758028265602,0.15955467232309742,0.004994592943952796,0.14240033014521442,0.0
"Walsh, Jean T.",6588,0.029215753134951394,0.021786317484122984,0.15932966271995602,0.02975041034468179,0.042512976454006784,0.025602224382619033,0.03914062075299146,0.06408341889047764,0.1059076397414334,0.048842924704471165,0.12234504717932876,0.143643099007984,0.002583484394588048,0.1652564208083875,0.0
"Sheares, Robin K.",429,0.04574508458220297,0.027980889908895374,0.1444821738750698,0.03680164902379454,0.04209406829777754,0.023268899112491116,0.046431216730599106,0.09682010227287118,0.10675813619039103,0.07755996237641749,0.08934080359578617,0.12441212826596654,0.001548182993529049,0.13675670277420815,0.0
"Shillingford, Ruth",190,0.05648648323413254,0.008746940312025846,0.11864542485665266,0.032841381169449554,0.09456457345752277,0.05059181836583716,0.0804823895476369,0.13696587263029586,0.11657160083941849,0.05283561965725862,0.08650405005354393,0.04929666187735754,0.0,0.11546718399886832,0.0
"Cyrulnik, Miriam",627,0.03287341447744695,0.013876840625315077,0.1471790905493965,0.03726848160040026,0.03400120945003812,0.0602485626281665,0.04428969004359204,0.06890010765963686,0.1023408137729783,0.07890088292295924,0.09550401273654184,0.1064963650564326,0.0,0.17812052847709578,0.0
"Cesare, Heidi C.",950,0.027143648313126253,0.023219252291755435,0.15466620422593802,0.03096856761222929,0.04278014381802095,0.02282458370827899,0.03473915016348571,0.05091635445416694,0.10961257434331419,0.07183460840187846,0.10943383202041057,0.15024269762432668,0.00021337647288950765,0.17140500655017893,0.0
"Li, Changyong",315,0.009183177552824644,0.004825984675701237,0.15951660319296448,0.3911977806057109,0.02413258675783129,3.522555212531615e-05,0.07091033954325271,0.11695116000738187,0.024618652761310263,0.025623474798868093,0.02218827512048561,1.3117007228792883e-06,0.0,0.15081542773082068,0.0
"Abadi, Gina Levy",1275,0.029004651220138334,0.02359859806164057,0.15263771579339375,0.032248378351408036,0.04847829740975809,0.0352579704481748,0.03729589603792227,0.05457615065914651,0.1003501741951462,0.028801557125024295,0.12503838591216346,0.1699880631847857,0.00023678227708031163,0.1624873793242178,0.0
"Haniff, Simiyon S.",10415,0.0342078873301029,0.02243258902939631,0.1686006798180848,0.03599623466544883,0.04318242208967116,0.0373557130033354,0.04123459863863609,0.07139264920904147,0.11651157305904852,0.04330191981563478,0.10336553788647458,0.10008090707168302,0.004336543560356313,0.17800074482308592,0.0
"Park, Jung A.",3525,0.03980420305809109,0.030368406440558125,0.19041912805440436,0.03781479555874912,0.04099201641537761,0.04912518094146386,0.041006264263253475,0.09069213779130647,0.10894577736014777,0.0079898812371042,0.09880562316853077,0.08057399031809108,0.0003211118053362416,0.18314148358758575,0.0
"DePeyster, Claudia Daniels",1779,0.02927473992178846,0.017487984740266145,0.16378620351219758,0.0374396000788425,0.03884752684907107,0.02651756964950422,0.05252774186328346,0.06657399608989784,0.10259211346402226,0.060756798788020545,0.10418617342167988,0.12658689232837406,0.00033064196430483944,0.17309201732874707,0.0
"Robles, Christopher J.",4318,0.03106293012123711,0.023678490259070185,0.15164873647051397,0.03190094698090943,0.0407818740139872,0.04312583281796295,0.04572405334521422,0.062130639395674245,0.09975646555619953,0.06259708140273187,0.11601807184476823,0.11368158944893207,0.0025810211281547158,0.1753122672146441,0.0
"Rao, Archana",5803,0.026656825453804375,0.01806677933283671,0.1398330866874583,0.034573178508640216,0.04064579726165136,0.033380117541752206,0.040684723857176246,0.06426413185564593,0.09386248802846661,0.05760771579961224,0.1344333355415029,0.1642281026204702,0.000447858214953944,0.15131585929602892,0.0
"Hecht, John",823,0.03618382156484076,0.017457438646617873,0.14084052925679313,0.06047637392084903,0.04348488989804695,0.028587759085601464,0.050931394370095154,0.08063127367886831,0.08489139433772021,0.07646097786213434,0.11754143523078868,0.11625737374205547,0.0004746782454188423,0.14578066016016972,0.0
"Ambekar, Deepa",5056,0.030633948975732232,0.019390685756397654,0.17889487552914984,0.03127120739897648,0.050903131473851004,0.04348838012776368,0.04401376897851507,0.06515161278449949,0.1137935272290797,0.07246322648455089,0.09881962970635289,0.10142669869103171,0.00126777305054059,0.14848153381355894,0.0
"Holderness, Carolina",4845,0.03229988407998412,0.024907972678365954,0.15333215173447654,0.035856043175808865,0.0411174960011166,0.039923707983861155,0.04225547311440815,0.07360440409144686,0.10121541041551273,0.03265647880173187,0.1362751826457953,0.1246637585131612,3.755047363648589e-06,0.16188828171696698,0.0
"Schiff, Alan J.",2307,0.02722451825007312,0.015895134349294557,0.13718993315742722,0.0358110043752188,0.044114748278188565,0.019562396475410256,0.040949945088329526,0.07195254362791927,0.11068977690670145,0.022792886098321915,0.12837483488778084,0.17736864193886281,0.000720960432699304,0.1673526761337725,0.0
"Perlmutter, Adam D.",3824,0.03751898669989056,0.02703841887647209,0.18454455567605893,0.032449921979707655,0.042251031403412145,0.040866931283214815,0.042638999047680363,0.07297618051670232,0.11470001722948593,0.06570755677844348,0.10672619664064559,0.08236884776486325,0.0003683201344028979,0.14984403596902018,0.0
"Sciarrino Jr., Matthew A.",3833,0.03726574731970947,0.022175757090719762,0.17466801325162035,0.03427337359997234,0.05727336493027854,0.03505262852287649,0.047810474382451895,0.07557461491351547,0.13357281995586967,0.07386056770950648,0.09734486775107058,0.06352010017549392,0.0,0.1476076703969152,0.0
"Cheng, Leigh K.",6050,0.03895840555949684,0.01672500542633008,0.18318479499365517,0.03949129544772243,0.04573083314610263,0.026532243978017473,0.050710124739153706,0.07266045155805316,0.1306712744876796,0.04827964474712854,0.09758271306721542,0.08769252281544505,0.006465861528544756,0.15531482850545517,0.0
"Petersen, Kim",2768,0.029518988932088285,0.021940839778614732,0.15930491057627294,0.0341548486278233,0.043966528164255565,0.037234703090910495,0.0463652540987116,0.06472105617224107,0.11311114879094274,0.07037286495386111,0.0984320334106279,0.12294343006539765,0.0011845806075845462,0.15674881273066812,0.0
"Lanzetta, Claudia",2232,0.03269967445713456,0.013098891033189605,0.15618905453326132,0.04318509562394331,0.06744298270622563,0.031026390674920606,0.055689596416435255,0.08152784300412853,0.11675907594811351,0.03550079116875119,0.10041064927880668,0.11653695245877345,1.0370662114975737e-08,0.14993299232565438,0.0
"Hayes Torres, Patrick",6987,0.03824978500354325,0.023602437285450684,0.18107222166141823,0.037033884295251555,0.045151772227580524,0.025598668849308795,0.044382512631224696,0.08953203026776292,0.13142248613206392,0.018701115981838545,0.09105932423780827,0.09184121531598981,0.0016121739452911346,0.18074037216546768,0.0
"Auguste, Germaine",6660,0.03494146720536101,0.021351476172722865,0.15960466858689512,0.04294213064252364,0.039839637555694994,0.04264121456317272,0.04261755764607212,0.07102489325905784,0.10512521964232663,0.051136065228871964,0.112795309521863,0.12100468685779797,0.0008480930173462906,0.1541275801002937,0.0
"Aragona, Maria",2137,0.02820965493565424,0.023232115840084583,0.17426409570868234,0.047155177219802315,0.05304605725714513,0.02627060709771908,0.0499851565215176,0.09075820242131122,0.10028929642529422,0.03360020304370893,0.10097273978535305,0.10448733930223579,0.0,0.1677293544414915,0.0
"Tully, Jane C.",878,0.03207836303875843,0.010282178551400152,0.15852795722442925,0.053614386981025094,0.0388989815420834,0.04520819757829834,0.042832532497059914,0.08610936732839197,0.09486116345166865,0.08438186361937863,0.10177727016473435,0.09113176137087127,0.00043584672333541076,0.15986012992856516,0.0
"McAllister, Lorna J.",407,0.02963989439708696,0.025596511828430854,0.13950962852263563,0.04154976454795131,0.02550085878675972,0.06648282534019877,0.04374926748751082,0.06804970220310488,0.06299060864352882,0.03248183381840386,0.11717132968974514,0.1962348090653787,0.0,0.1510429656692644,0.0
"Robinson, Devin R.",7077,0.036863331630529184,0.021322031013387338,0.19870907279155156,0.038575052938088265,0.046499285067733744,0.03328213553981795,0.055635815782541266,0.07823195656209667,0.13383602062234673,0.008096833239265843,0.06980593439249033,0.08449040350068426,1.2314156546108078e-05,0.19463981276292086,0.0
"Riviezzo, Dineen",781,0.0401676109116735,0.018155157207787306,0.18256840361331048,0.04477061474605747,0.05331825134981033,0.030406516282677636,0.055531953950080835,0.08090170366042453,0.1398990576606485,0.07437278856763656,0.08067005476775918,0.03569181781325193,0.0,0.16354606946888176,0.0
