judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Misiaszek, Michael J.",2647,0.03108404281098422,0.02476260615109738,0.18755745210732416,0.014748103394069716,0.058936244998081755,0.04068773454085747,0.04740665364077318,0.10066315919456877,0.12784447191290493,0.08165511659835407,0.06377026195544516,0.05818842639582536,0.0,0.16269572629971382,0.0
"Miller, Robert J.",46,0.01897865042416932,0.011254155112674094,0.2127117077231481,0.013452646018144264,0.06939693238186066,0.024436840972794173,0.15605562068791387,0.08806800594975775,0.12989572075179884,0.05598103979052749,0.05911045034335022,0.044550976133818206,0.0,0.11610725371004282,0.0
"O'Sullivan, Patrick J.",144,0.06868688130444922,0.040876645364843985,0.16377865189391702,0.02002377664324757,0.03192264868142133,0.02727008667407646,0.03978401704420932,0.09495265956009177,0.10267435008960256,0.0862611832693874,0.06533361919104205,0.07437937583353357,0.0,0.1840561044501777,0.0
"St Leger, Michael Gerard",39,0.018273326506271333,0.05410108601268174,0.14956629590241746,0.019709185704051408,0.023499254209594637,0.09786027515701082,0.019078899036948906,0.0449139182287135,0.07366008355827482,0.03383272415163801,0.12996695968330602,0.061030834174727946,0.0,0.2745071576743633,0.0
"Betro, James W.",98,0.026502319999981195,0.014611796639262693,0.1349859233170846,0.026219293813602277,0.04467617985691383,0.16686219788502718,0.05604742971645479,0.1243156804839031,0.0873874739387366,0.05009511200183892,0.04221333945760046,0.08421248634545736,0.0,0.14187076654413697,0.0
"Fischer, D. Christian",47,0.01843558121031095,0.04388403591227677,0.1800071271176701,0.004391098694587067,0.09085520893140725,0.20211963610413078,0.018722976221770268,0.11661320877622419,0.16296466100479623,0.05832882542752504,0.044471587151944665,0.003653892764817475,0.0,0.0555521606825393,0.0
"Youngs, Rhonda",75,0.07221326932843782,0.02818537509478731,0.16124295749553788,0.023404417833533007,0.0309362895765557,0.014800618991883547,0.05313881689655186,0.09827579534839398,0.14334314354834216,0.06460423304129105,0.08564967911074434,0.049358885481518955,0.0,0.17484651825242245,0.0
"St. Leger, Michael",89,0.07129517678689867,0.05578194397568927,0.14401845623482187,0.010398016511024451,0.03201864456819309,0.012120176056779012,0.06670027110354891,0.11643486087660823,0.12989391744299197,0.03780140479630782,0.10048401255036653,0.0727555107872951,0.0,0.15029760830947497,0.0
"Moore, Henry R.",32,0.04906931916366495,0.037758436723495964,0.14244855705042925,0.000743092774238488,0.10192148449638394,0.0,0.04531444697198024,0.16409148025931547,0.1527127440588946,0.04515614351199051,0.06560108738775035,0.021470169543880143,0.0,0.17371303805797605,0.0
"Finocchiaro, Peter M.",66,0.03739199033520719,0.03350649568148127,0.17792135836450437,0.04819867603270509,0.07584110907285893,0.0024778167134535626,0.056711464122243836,0.1579658148726819,0.13071921976201284,0.030280952858036874,0.10589114441455048,0.014087819649056747,0.0,0.12900613812120693,0.0
"Rapasadi, Grace E.",24,0.023426193323257113,0.019300784988704862,0.11813237316194032,0.017854457745414436,0.14445259552508333,0.10716466973921492,0.020763062948136596,0.2821185349623209,0.11643197808698513,0.0334336967445037,0.035033587999934335,0.0,0.0,0.08188806477450428,0.0
"Sabino, Nicholas V.",43,0.01634708261115054,0.03498800046534813,0.1492680533521324,0.009386616019767202,0.08791573629342057,0.0,0.055317083853053124,0.08788075218743793,0.15091649953267733,0.12482594409392372,0.05677264193414764,0.07151708628545976,0.0,0.15486450337148175,0.0
"Sudol, Christina M.",23,0.030069863485625622,0.022428669144683035,0.16186006749109702,0.02924531897560852,0.0406948844445318,0.0,0.03237566247208686,0.11619755239493022,0.20750201978921107,0.03731297528772383,0.05590755094604999,0.10759178550344353,0.0,0.15881365006500847,0.0
"Cerio Jr., Donald F.",106,0.017678925090291512,0.06165407573643405,0.16403831528721988,0.02714607233099222,0.02719330846751194,0.03813115691826845,0.06398580163120332,0.09956583627794956,0.09032011980719673,0.044510922879330526,0.07713753579933633,0.1311030451763281,0.0,0.1575348845979373,0.0
"Button, John D.",27,0.05511841379276262,0.006831136363636363,0.17262426882124088,0.01620096875795013,0.017615155407833274,0.014904004694857878,0.11462039788707927,0.08475095094346648,0.08248526289416327,0.03363184080269465,0.12117092954509757,0.16382350267110077,0.0,0.11622316741811684,0.0
"Haight, Donald W.",29,0.009892002373648397,0.02430235761891075,0.23732042147569132,0.061827523261899206,0.04055038262188962,0.0022073583937639333,0.07723287902960045,0.10761825878461702,0.1303847340376027,0.04180802478855868,0.07695712053369903,0.07536861167719155,0.0,0.11453032540292747,0.0
