judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Yacknin, Ellen M.",2336,0.03002156795256973,0.0274306557357133,0.18814955662999341,0.046622283169415295,0.030118352161854232,0.029315828109665907,0.05948500436221999,0.10148533360798943,0.12269965936792884,0.06414307258092072,0.09087314756403694,0.05190609006819861,5.2744911593919784e-05,0.1576967037778998,0.0
"Miller, Stephen T.",1921,0.029991107032679994,0.025261830437391254,0.16173386696352954,0.04049029631821661,0.02670650923756623,0.01621829226065488,0.0494970637423539,0.08312734976139768,0.09850590107316803,0.07012563896312678,0.09007530281604077,0.15516691296661647,0.0,0.15309992842725792,0.0
"Dixon, Maija C.",2421,0.030207973993331496,0.022959557569615027,0.19634119822107984,0.045934122067149766,0.03523813470274972,0.02214045527371651,0.059498011813270545,0.10115837129086262,0.11663330547633352,0.06942650233744516,0.08876683556396876,0.05220445493277948,0.0,0.15949107675769747,0.0
"Lopez, Michael C.",2982,0.03415365017073521,0.022739933184151795,0.18976734426552969,0.046684508595831155,0.03613706611340662,0.023804813302943414,0.06703628758064356,0.09638033573002422,0.12620855484219848,0.07644961126395858,0.07178502903166611,0.06065915776795393,0.00018220954582814125,0.14801149860512902,0.0
"Romeo, Stacey M.",633,0.0521436123781965,0.024901803089615034,0.10034103475857109,0.01049144434847212,0.037056666214810796,0.022054007578917432,0.0015201745329162964,0.002031260940196258,0.17315668145674,0.09627004633398063,0.19758727617056354,0.08945016320455407,0.0,0.1929958289924662,0.0
"Morris, Nicole D.",2019,0.031959834529265096,0.030552055078908267,0.17681632730920005,0.05334856347455261,0.036492386052092096,0.031017917605301138,0.063479090696495,0.09490542675442656,0.11578175718427666,0.07190403060204187,0.07472453343286244,0.06440326670750672,0.0,0.15461481057307144,0.0
"Nesser, Joseph G.",41,0.07725740699988021,0.020862939672270674,0.11313725798016572,0.0006274813951973835,0.07071069845770274,0.0026984277706328637,0.002967297057810179,0.0,0.2878335380197108,0.08562020968874223,0.08944740251425073,0.04901588275624598,0.0,0.1998214576873904,0.0
"Barrett, Melissa L.",2242,0.027048135203612045,0.020100254314217494,0.1529951029628792,0.03871044838426939,0.03561298651793364,0.017041788575977268,0.060595966611497735,0.07852564111142618,0.09317219516684931,0.06400859126956679,0.09651926452079193,0.14301290403428496,0.0,0.1726567213266941,0.0
"Lee, LaToya S.",1007,0.02654626730355701,0.0255129363731848,0.1636676347983414,0.050830975309823494,0.0265989792669711,0.04312468994904241,0.06678577822405467,0.08039443061576346,0.09141160427406123,0.048807953847339075,0.07888165015136799,0.1284386223322426,0.0,0.16899847755425085,0.0
"Grippe, Jacquelyn",645,0.04252002970859204,0.026928600518088083,0.16433759607246068,0.054286025423535895,0.01601780116530826,0.022811638674179582,0.060030273646906857,0.10475765404506727,0.10674466986996173,0.02930394418915014,0.10021594417949611,0.09338804324963153,0.0,0.1786577792576218,0.0
