judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Girardi, Joseph B.",641,0.05464336613193103,0.027439222841571926,0.15344833515157064,0.044115579357612233,0.04059462328402373,0.011194947327062827,0.07032198501121975,0.12025114364930348,0.09900016846425806,0.06994360562598079,0.06509669374547235,0.09264770846401289,4.042843086104789e-05,0.15126219251511935,0.0
"Levine, David I.",5909,0.04651444747037787,0.020914693970406874,0.1506703804746781,0.04442201501258006,0.057638933530474945,0.02417040334183929,0.06789544071688684,0.10581942957185106,0.10093010559682329,0.05474865959501963,0.08210724057486303,0.07862306610261367,0.0009159226010244627,0.16462926144056086,0.0
"Paradiso, Anthony William",1801,0.05608013085974342,0.023708163707684707,0.1349862150085312,0.0592193816093588,0.0320722245515335,0.015379716068646005,0.05117476618929882,0.09586425626910756,0.10117583850376582,0.07274575966938174,0.07877684231506404,0.14053005506602156,0.0,0.13828665018186292,0.0
"Broderick, Maxine Sonya",981,0.05542702357799587,0.023286671500291258,0.14653802089477871,0.031184448801426217,0.04061374193845054,0.021822425812047495,0.04738539252410369,0.07969835762561601,0.11295394210306704,0.06791033102501169,0.07194817285463316,0.13869071895800864,0.0,0.1625407523845696,0.0
"Nocella, Jr, Joseph",3781,0.05958434927194221,0.02041947240079353,0.17578475984843125,0.039827713185685926,0.04693111770262669,0.034870802427534715,0.06072413254232634,0.09333672072395778,0.11017376168130398,0.053103858357682304,0.07506371210733136,0.08554947470146224,0.0001682199908117216,0.14446190505811002,0.0
"Muscarella, Vincent T.",3235,0.0570192410097682,0.020865580095156936,0.17175439059669295,0.03812584615995052,0.04193416188186795,0.03474061030992551,0.05767016076726192,0.11613770184598707,0.11078931323271737,0.04541608314410224,0.07807512293704134,0.05957311353132182,0.00023562389569552262,0.16766305059251058,0.0
"Wright, David W.",3715,0.04551307536822689,0.019554764987386987,0.1390141723675343,0.04955296686110779,0.03765539851442845,0.01868019608085131,0.07122305408419971,0.09767738138618334,0.10548584794386062,0.06508702590956204,0.07991095793339648,0.11452229373833299,8.922956523650498e-05,0.1560336352596927,0.0
"Lerose, Douglas J.",652,0.05254639822899526,0.022461747983002475,0.14042633353174952,0.05891452168051796,0.040408305655246265,0.046972825008310674,0.0305722779013855,0.09432763675751936,0.09674699479232679,0.07767543219259908,0.08670090866155157,0.07664507573961672,0.0,0.1756015418671788,0.0
"Hoefenkrieg, Christopher E.",256,0.08221600143281141,0.014172276330361359,0.15551426022471382,0.039321678609907124,0.03016757891982478,0.01844052468466836,0.05429687115085779,0.08321787617035403,0.13539427195841536,0.09917877146315458,0.08590084629694841,0.033082894047414484,0.0,0.16909614871056855,0.0
"Moroney, Karen L.",5890,0.041992323566273554,0.01914643931121966,0.13803845967476566,0.033812292324351435,0.04334052087493398,0.02292686871907824,0.06667218105967197,0.08339063107743012,0.09985807842538706,0.06671483905905168,0.07940342884183378,0.1537445898258484,2.801550735112315e-06,0.15095654568941932,0.0
"Petrocelli, Lisa M.",6316,0.06030686539594839,0.02007565904859353,0.1856291965902652,0.03245257244052268,0.04420094020126204,0.029238031392108853,0.05645838466493035,0.08110742232768052,0.11998868934534804,0.06541780290548818,0.07527650026295647,0.06622962037890412,8.633730698588286e-05,0.16353197773900585,0.0
"Prime, Geoffrey N.",2869,0.052624401121311434,0.02122215939976041,0.15514475112251203,0.05847162110647621,0.03571191904085672,0.021771640651810916,0.0692670678957463,0.1169488357099059,0.10137020185866245,0.022212756801736143,0.0917419776254335,0.09830982305622879,7.691068437280324e-05,0.1551259339251863,0.0
"Coschignano, Christopher J.",3569,0.059508929990824376,0.02331268831602404,0.1458115272277479,0.025784155166065997,0.03743889661185849,0.016045834934657797,0.05060430817636252,0.05920830347943971,0.09995100753208877,0.06193395986403215,0.09062321308179978,0.13860082941009527,1.6311075945834487e-05,0.1911600351330575,0.0
"McDonald, Robert J.",134,0.06345954346987395,0.00828101458852659,0.17848566430901716,0.03538750200802481,0.026236411393211256,0.03154463872552677,0.03025292375941534,0.0871228781914505,0.14679931523989484,0.0943717181594765,0.06833225601046426,0.021690473959144217,0.0,0.2080356601859736,0.0
"Klein, Corey E.",639,0.0414916624582031,0.023015118601123315,0.15241770558817752,0.02186483458090295,0.03625676533360965,0.016071473985993408,0.04017933692730387,0.08726141480411685,0.11324759409289945,0.08042861209292736,0.10030977402811488,0.09851556844046211,0.0,0.1889401390661656,0.0
"Montesano, Michael A.",4903,0.06298464940730628,0.02365040346838231,0.17922679483134832,0.03451135890215527,0.040605180459070925,0.025885532778778877,0.05866642000813567,0.10716921687748902,0.11133111515287662,0.04346821228812898,0.07820293349355177,0.06878120208336862,1.3875067550551364e-06,0.1655155927426523,0.0
"Agazarian, Jaclene A.",3775,0.05142640934996257,0.01980172935652353,0.13389081686572046,0.031604286697504626,0.04404238242981159,0.03203810841166076,0.04671483015826382,0.09843512469136716,0.09164477663874249,0.04437223500984919,0.1002477541427086,0.15297788513748412,1.402360868342248e-06,0.15280225874953285,0.0
"McAndrews, David",3114,0.05396618678872756,0.009383088740179304,0.12365202581614103,0.04813906032964802,0.04534025064169198,0.022692498010126246,0.03979879262934412,0.08103021329871342,0.09528736695995295,0.06870520583753459,0.08378476062992637,0.17845773679351778,0.0,0.14976281352449672,0.0
"Sammut, Norman A.",3473,0.05705706411701572,0.026054470317977748,0.15703711757071387,0.02819524483218466,0.04202794225567397,0.024947140067869508,0.05522389954086215,0.11342433796697443,0.09934671311408129,0.04389301172831799,0.07583936994130931,0.11959359948310569,0.0,0.15736008906391363,0.0
"Mccormack, Marie F.",4699,0.05770882521974036,0.020604626969790818,0.15783291161306348,0.026934990470675314,0.03631000723480712,0.030495317407305864,0.041930833824442675,0.06931783799763509,0.09406336376859467,0.03775038350616819,0.07855779821506387,0.16836861013214147,0.0,0.18012449364057095,0.0
"Schwartz, Robert A.",387,0.0776392631264334,0.02071248566302749,0.13885899621432088,0.03627339364974121,0.01704775332061977,0.013447324588727345,0.06714761406624142,0.09942068673520338,0.1327216345615311,0.09621649096173017,0.07801818205895003,0.03743393884806929,0.0,0.18506223620540435,0.0
"Carlton, Gary M.",3365,0.049633000147996854,0.017277637877425037,0.13572934773838494,0.03811373377286973,0.05480199356550605,0.02689663463684439,0.03494964589711921,0.07152267894207755,0.09898072933931504,0.05953160377408743,0.09250302000388701,0.15170392320807774,0.0,0.16835605109640908,0.0
"Watson, Joy M.",430,0.04441949003153661,0.0293127817481658,0.14952291979682641,0.03415439951465255,0.04729267751160872,0.019541425810800206,0.0669475535257143,0.09535740878626643,0.11318071601733176,0.05557711921466848,0.07257502267926995,0.10592567753028542,0.0,0.16619280783287346,0.0
