judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Weston, Cori H.",781,0.04369525455538158,0.02731527234936246,0.16594962209730474,0.0753582422329951,0.05163278495912254,0.04913077569961373,0.07040785958915911,0.10241111360278243,0.1038013906266674,0.07393737934226212,0.06081074865562983,0.02626455883404438,0.005106870152415457,0.14417812730325905,0.0
"Ryan, Michael E.",4202,0.03679154885052724,0.016690121695465326,0.18082857111668582,0.03693295233439965,0.04922105432544939,0.03151331418844996,0.050491103399823906,0.08853591444739228,0.11958174548254596,0.032869478585913915,0.13498338855638237,0.0664751572003163,0.0030035158887398677,0.15208213392790806,0.0
"Pauley, Rachel S.",4396,0.03985898728128878,0.019646933110754865,0.16669074909504816,0.03533249490870684,0.043975350283899727,0.0380341944496622,0.05330580769607408,0.07657966656764192,0.10972665354899695,0.04019914366205416,0.13191283994209252,0.09941768082321428,0.005383724260774234,0.13993577436979138,0.0
"Kiesel, Diane",1243,0.0422732349497889,0.02380590519563865,0.17620689564373032,0.04773025207514776,0.05102571271818574,0.029268581510361213,0.060873533762987826,0.08594699763896839,0.11978089672899754,0.08983392968938579,0.08408994003139737,0.026376314420045562,0.003634435851343674,0.1591533697840214,0.0
"Morales, Valentina M.",3136,0.05808761548165495,0.02308385425337664,0.18373863759406905,0.04036738501281248,0.032583971502264296,0.03339617198047665,0.059863076094334514,0.10260011122161293,0.11902373710791389,0.05264935617751715,0.09037238689422669,0.06263568079430916,5.317685962919708e-05,0.14154483902580237,0.0
"Rakower, Eileen A.",107,0.02683679579801602,0.02565129179325107,0.12724851936362913,0.08186401003998361,0.04384318126064805,0.06455205200018573,0.05284957708373029,0.1277471819672452,0.11088164206251583,0.007889367257129722,0.0980838847624441,0.05774083889614811,0.0,0.17481165771507312,0.0
"Weiner, Jay L.",5732,0.03318114246667137,0.0155336995222187,0.15899041641956185,0.04391414173942298,0.049711746215002434,0.0239019413513177,0.050886968570122926,0.07266455335025834,0.10669917108629078,0.06752576848237823,0.12135224992360338,0.1024379773355701,0.0010878838009590135,0.1521123397366222,0.0
"Schumacher, Eric",5456,0.027813306925518103,0.014709226378320506,0.14807785567023032,0.035053056402669175,0.04316929094637263,0.0224418404518237,0.05128484493315459,0.0737801254298242,0.10197345010823765,0.04458396198102287,0.148054131878276,0.14798846847538696,0.002123907543338642,0.13894653287582465,0.0
"Goldsmith, Pamela A.",2603,0.05448201547106446,0.023204999146493707,0.20542926872055808,0.03605238389345652,0.0379596593534187,0.04187066186470129,0.049692156293088575,0.07423791453357745,0.11438781449675664,0.015529829451859406,0.09841133218653982,0.08463377829964792,0.0010338991928241373,0.16307428709601324,0.0
"Farber, Curtis J.",1168,0.043843669744388934,0.01414564354993892,0.17135456015112027,0.05066567695635867,0.03768899087658401,0.034150270887110576,0.06721925522981906,0.08748669819129441,0.13698997678122304,0.09329771163340317,0.07991144384477702,0.024593925548901052,0.0064691839728207275,0.15218299263226004,0.0
"Wang, Zhuo",5416,0.03454041112690258,0.01710472745512994,0.1699997082184834,0.03711370276367336,0.04250287564270261,0.042764642810018155,0.05648402774578105,0.08421495220278213,0.11658598326965594,0.054206529449709585,0.11090959556390036,0.08089634720905353,0.0013618268159610767,0.15131466972624627,0.0
"McDonnell, Paul",5652,0.03304414686572576,0.017322766044917174,0.1512176847041458,0.03892763555508076,0.050188707121778246,0.03408187456767242,0.04974636495906005,0.07524929859025423,0.10337255965662262,0.05904418163444764,0.12671167532282296,0.10850161733143752,0.0021482579447133997,0.1504432297013214,0.0
"Moses, Herbert J.",4343,0.03411808829388431,0.02380408695257823,0.16449790833102584,0.03971547910762597,0.051024312797062134,0.023364543160665815,0.051263801294790544,0.0818154657382495,0.10433531435542574,0.05797739080913621,0.11723203314363799,0.10534082590121557,0.001746444524716236,0.1437643055899858,0.0
"Statsinger, Steven M.",1730,0.05212611940955611,0.01555627790994929,0.2239297791044148,0.04704329622289906,0.038487451771481045,0.025790865795339787,0.06587286288113581,0.08469685079183564,0.1562380611151751,0.08247590926531712,0.05625004852553794,0.018456708487766166,0.003472811619281032,0.12960295710031122,0.0
"Alonso, Marisol Martinez",3918,0.03739042092122427,0.016616667512022544,0.14930011152879424,0.03030013846193398,0.04555238063700198,0.031706400761310496,0.051060461332402766,0.07064139105524599,0.10373428347622177,0.061153807093698366,0.1313972096769723,0.12999311460846089,0.00178290295568704,0.1393707099790233,0.0
"Maldonado, Lumarie",4857,0.035499856883849636,0.01866484283917865,0.1632298992015596,0.02985582799050451,0.041673789027935754,0.03456435492779232,0.04502498796099844,0.06864298574055079,0.10987603219822803,0.07383510583507334,0.10174576164113784,0.11318562794844587,0.0016756206503590536,0.16252530715438615,0.0
"Diaz, Nestor H.",5302,0.03306071965690252,0.013961883752673656,0.15472078455688437,0.046906312976355925,0.04909976770845684,0.029373091160518165,0.05338637774893686,0.07805513102750544,0.10553979023114697,0.03985073343886922,0.13798978820774346,0.10806850875080302,0.002948476729215344,0.14703863405398823,0.0
