judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Faso Jr., James J.",2866,0.05040403642783215,0.027154697533052687,0.14327429154121654,0.029135376644109832,0.049118702159378545,0.03811461448817867,0.049799783280359174,0.08723986310875323,0.10510826832664076,0.07407463928828721,0.07403665408976734,0.08668421362863832,0.0,0.1858548594837856,0.0
"Watson, William J.",3012,0.03648428085762101,0.02324198267172585,0.1634160268222664,0.02439045698562992,0.04631591903299368,0.02702611267530905,0.05516739418491478,0.10463933967704185,0.11947484118951576,0.07642280997071142,0.06763937557169417,0.07935759896003763,0.0,0.17642386140053837,0.0
"Vitello, Diane L.",2517,0.04342356939545536,0.023210672780730957,0.170221815813996,0.04061783419928917,0.0441989641505389,0.03203944231320308,0.06074098496100692,0.10235264095901257,0.10837949693505475,0.08041418052551401,0.07670716099314301,0.06305181857435756,0.0,0.15464141839869788,0.0
"Faso, Jenelle L.",861,0.06704523087369586,0.020618381609168245,0.15805309338442508,0.04299596653992549,0.05996831455805355,0.05527755335733645,0.045975171395252805,0.12068759747209074,0.11732277992870434,0.01880183492194228,0.07234366765458781,0.04424355145263085,0.0,0.17666685685218658,0.0
"Nickerson, Shawn P.",2800,0.038826412985809924,0.018714536894075165,0.14653285577768652,0.013240667967124793,0.05117813551033573,0.038521201362437946,0.037775432435526335,0.07519165422064505,0.10824423529759582,0.06494710844271974,0.0827311715201509,0.07374278000673949,0.0,0.25035380757915265,0.0
"Restaino, Danielle M.",1830,0.04923110599122895,0.0211665752961108,0.1570781337428394,0.026234573579589276,0.04362479245094196,0.07828256839718879,0.03893645191846343,0.08648299137295065,0.1068184980493109,0.0676928797443494,0.07560989021032515,0.07537952740329758,0.0,0.1734620118434037,0.0
"Kloch, Richard C.",182,0.05942573611414658,0.022154309625936595,0.1724305934075373,0.06756022396154819,0.032951539034641784,0.0464910184389436,0.05661804718959311,0.09534161553024019,0.12578281381186662,0.03576975651197814,0.07199293840253444,0.03786086750739329,0.0,0.17562054046364026,0.0
"Violante, Mark A.",715,0.054668574812114165,0.03608370388661945,0.11851619924478804,0.03249536745123481,0.05272917206915999,0.06030701496575622,0.05053266897572725,0.10696940871446739,0.09958816007361553,0.04703873512305386,0.09714809244855216,0.07302263823048148,0.0,0.1709002640044297,0.0
"Alexander, Katherine D.",339,0.036572067512794695,0.01697454502347838,0.14502996460964448,0.008595574446943224,0.05734019256973982,0.030581920293880908,0.037482153792466805,0.10142630673799313,0.11214904928190288,0.045476337439778546,0.09842601219765514,0.08734407840245856,0.0,0.22260179769126354,0.0
"Wojtaszek, Caroline",615,0.05645157634585703,0.019989169456855183,0.16970358135976926,0.034367266094267414,0.03261909556600268,0.025000670325582317,0.05618644752554011,0.10127244981492871,0.12803713606739223,0.06167556128068088,0.09567507494413915,0.051517475274080536,0.0,0.16750449594490452,0.0
"Brown, Luke A.",413,0.04220935539203679,0.026519211773402697,0.17289103300741626,0.02220287669273502,0.03266365224345485,0.014713799206634237,0.025511450138950457,0.09723862923882878,0.11120908466170099,0.062342140221588786,0.07974301453108681,0.11139906928982635,0.0,0.20135668360233802,0.0
"Ottaviano, John J.",249,0.04697273178964337,0.011945532329188718,0.15712385476075483,0.04516521261441931,0.0370958905474123,0.01890731994686227,0.05205265016760703,0.12131183467382912,0.11498964996119616,0.07392350327108801,0.06982401743757197,0.0766415196860034,0.0,0.17404628281442355,0.0
"DiMillo, Thomas M.",282,0.03511237828487235,0.018202781653463198,0.1545671646098539,0.02394454797979099,0.03817561561818298,0.0422312791927079,0.03468205848056057,0.08094332345716955,0.12190043721457747,0.0772580997881693,0.07121009417463624,0.15273222147889326,0.0,0.1490399980671221,0.0
"Haendiges, Deborah A.",33,0.061573295041539695,0.034444848044447564,0.13608038825070293,0.0,0.1325046732984425,0.10209407713757476,0.08772516758363744,0.1400839195985865,0.09215612354960548,0.08985730298196605,0.006546434480132001,0.003289974236512057,0.0,0.11364379579685312,0.0
"Town, Rebecca L.",558,0.06358871950233373,0.020508103331299442,0.16299764034895659,0.06421852199772009,0.057882389425230406,0.07221701209367022,0.06812450135733641,0.11674547831549488,0.0981138784392754,0.025912435546056534,0.06935970520242504,0.043446655368319466,0.0,0.13688495907188167,0.0
"Antkowiak, Cheryl A.",27,0.014645142470302248,0.00677490040899512,0.22886606255031935,0.002710731281265094,0.009326294520072638,0.001328764626178405,0.002127222103234099,0.06156801897358785,0.27635960172530355,5.237026457184302e-05,0.13166014932094394,0.14420576438233165,0.0,0.12037497737289424,0.0
"Mack, Kevin D.",39,0.03562940510541974,0.017727921913368017,0.21217816271014014,0.005968199805579036,0.020983732934726954,0.03832237549846632,0.09437984747326363,0.07318858936672536,0.11045804609560493,0.02545845167856317,0.113864327418438,0.003180912440137605,0.0,0.24866002755956707,0.0
"Ark, Linda L.",49,0.05344233521419092,0.016594651866451215,0.1369731562132528,0.018650141074157734,0.034845768486487586,0.042429965784028884,0.05690368928353038,0.09371592748694356,0.12382524461400518,0.042740326508269484,0.08605049500084906,0.13660488386983588,0.0,0.15722341459799716,0.0
"Murphy III, Matthew J.",107,0.08987415691968684,0.01980024705047167,0.14074107904072866,0.024641161749048082,0.020419367651908552,0.021520514723621556,0.08983181582775075,0.09988586433223239,0.12917912723868188,0.05586948908501248,0.08413962938285886,0.05759460973086256,0.0,0.16650293726713578,0.0
"Montour, Mark A.",58,0.08485345247197912,0.028719677050313232,0.17358341998344623,0.0,0.0959137384692108,0.007941438562078627,0.03852408396626528,0.13819138943283213,0.1745977238297161,0.03372646525090817,0.03613029174255797,0.09699699148062457,0.0,0.09082132776006789,0.0
"Sullivan, Joanne L.",34,0.04733069093688571,0.023308027763365397,0.13429195910996158,0.01489089105619513,0.03975147139627051,0.08829128777775833,0.012906162682277249,0.1263864836057891,0.10258562185647734,0.047698492037728225,0.11593110976952213,0.05594038754115429,0.0,0.19068741446661502,0.0
"Martoche, Amy C.",22,0.046600480403894265,0.013443397316191435,0.2183596761082055,0.0,0.08110791080592054,0.010402390229596112,0.17209256368280212,0.14686280386566766,0.14734955331166247,0.024365004339772144,0.024059455215141315,0.011633013228601462,0.0,0.10372375149254497,0.0
"Restaino, Anthony L.",80,0.04270370792340821,0.012185626207727627,0.16334646787265367,0.030158881613492197,0.06273468513596354,0.038178005818858815,0.09654126288339393,0.1359853003389527,0.09934630581708316,0.04538534475768143,0.08174798174496845,0.05113025549694651,0.0,0.14055617438886978,0.0
"Jowdy Jr., Amel S.",29,0.04025689253290385,0.02806775047512429,0.1982176132193224,0.0,0.037173107910524146,0.24068720121511764,0.007351185284858749,0.07189071707388713,0.14247012315979216,0.02926915281666334,0.06495430727273602,0.0008541759533823009,0.0,0.138807773085688,0.0
