judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Magnarelli, Ann",1060,0.04496571461118631,0.02387807308455449,0.15897253526001026,0.03020767038371768,0.06025485369938107,0.01746513330472923,0.06283206289051836,0.09501772427639332,0.09649101183878707,0.04809218531144464,0.07390111841571295,0.10604598827322785,0.0,0.18187592865033675,0.0
"Cuffy, Gordon J.",555,0.04584983016220104,0.020617620455000596,0.14755261254354612,0.04640539404872501,0.04217960115288108,0.024694107866691396,0.05522704248982844,0.10795121395106724,0.13287067591287782,0.07894200183156191,0.09707227210328322,0.07200252620359726,0.0,0.1286351012787389,0.0
"Tadros, Shadia",2536,0.037321079644329715,0.03066819476172563,0.17182091023398754,0.036655547213088654,0.058538452123496884,0.026577306609819197,0.06909851964689494,0.0923084203974775,0.10686829086877107,0.06174956177709363,0.0876597900180924,0.05847059509759017,0.0,0.16226333160763246,0.0
"Bogan, Vanessa Elizabeth",1722,0.0441190242005591,0.027014040655620256,0.13428501417214828,0.033243977545871974,0.05429693301629272,0.028117861501456818,0.05302580152359614,0.06246989818033492,0.11934775185317793,0.06799671030983,0.08642064990139668,0.11735275343160526,1.4442875196992976e-05,0.17229514083291295,0.0
"Pitts-Davis, K. Felicia",2409,0.037986739140336075,0.021693326091148976,0.1663195960960665,0.03588824901594488,0.052634319939448296,0.03664879406614983,0.051726639063388154,0.09715657846337082,0.119771161230042,0.06249025731929895,0.07551487919438292,0.08863071855578912,0.0,0.15353874182463348,0.0
"Thomas, Derrek T.",2350,0.03860531847104202,0.024674592011368825,0.15654623023694952,0.0322483294943971,0.061163478168733756,0.021692087522014264,0.060313360068538956,0.10089815798115134,0.10766134403591351,0.058483243343574125,0.10170488951946398,0.06516726472837077,0.0,0.1708417044184818,0.0
"Clarke, Erica T.",2412,0.047008548226570725,0.03662138298062135,0.16523518641863205,0.03329928142260344,0.05812926365913266,0.030666277469900742,0.06406284074197169,0.09004751367119637,0.10885237080310509,0.059784329849894784,0.08870795863990544,0.047892512629330225,0.0,0.16969253348713537,0.0
"Andrews, Ross P.",3030,0.03987296505592203,0.026992946970169622,0.14941843541684832,0.031946757208149025,0.051404466424206104,0.03169013842226376,0.06225166298710914,0.09635538433106569,0.1013751829461981,0.07195520579386126,0.08048645914725822,0.08549548635880437,0.0,0.1707549089381443,0.0
"Doran, Matthew J.",671,0.04701328773093528,0.014715963730573598,0.15062154633736735,0.044718439644978986,0.038783602884995785,0.0265817614649856,0.06571516836338384,0.08534602949852704,0.1310630201438714,0.08823478629796538,0.11748495284633302,0.033306409083952083,0.0006443543125164707,0.15577067765961417,0.0
"Limpert, Theodore H.",939,0.04275015793762647,0.01673529726054039,0.1460480920248768,0.03586358606656965,0.032395482406108705,0.031940061112833346,0.05136541317036312,0.09875376022671925,0.10166059699467674,0.07265276166664464,0.0952807246764844,0.13353278085890935,0.0,0.14102128559764723,0.0
"Cecile, James H.",2427,0.034892691035073475,0.029387582513045504,0.15191543369685945,0.03538156378430572,0.052542989229092264,0.026893149607241904,0.06694552085198896,0.09543944608972563,0.10925440014659092,0.06386900955493749,0.08284061211404159,0.07440351072673099,0.0,0.1762340906503662,0.0
"Rosenthal, Kate",652,0.04571842681054579,0.0382554557913952,0.14380053702174786,0.03763839835280918,0.06031296401450732,0.04581617598053832,0.07279461636341113,0.09290364009308469,0.0963747721743114,0.012426080784050074,0.11473181200668293,0.07342901463429491,0.0,0.16579810597262132,0.0
"McGunnigle, Melinda H.",114,0.05572675742865614,0.037102457640588817,0.14567018595317716,0.06665091755897834,0.04091941750980401,0.03031391193956301,0.08860125417032766,0.09312628579142254,0.10137176548527785,0.027082837954517876,0.10642641264470429,0.06610017715259027,0.0,0.14090761877039204,0.0
"LaValle, Anthony C.",48,0.029235866182454977,0.17556825205730361,0.054494932578185,0.007835931425086859,0.031141963475301963,0.03678074821744247,0.026245997431666345,0.0,0.14594884569992497,0.09989108613822023,0.14491137206458818,0.019004586525811325,0.0,0.2289404182040141,0.0
"Nazarian, Armen J.",86,0.056450464205859946,0.013566149839991113,0.12533517803261104,0.07502832869160928,0.02706397148470168,0.015164614111531133,0.04403773825793807,0.05956481422201561,0.10979852945221998,0.13472517030629844,0.16904316767603594,0.06611136947861128,0.0,0.1041105042405766,0.0
"Dougherty, Stephen J.",342,0.04794239550812398,0.016712009822821283,0.15097130297396852,0.047162573875271424,0.030436440204388654,0.02500485350033773,0.05417064490291492,0.08872473964929045,0.13083342208406148,0.07999030945844676,0.10824683247806983,0.049863433967658695,0.0,0.16994104157464615,0.0
"Miller, Thomas J.",437,0.05192759701140849,0.026312961184498017,0.13404194054543866,0.04037642890866658,0.028682076437335283,0.024725922127419028,0.038512751880648975,0.06811668631532797,0.15042230718401764,0.06961657904949634,0.11175268845348418,0.1127413450532218,0.0,0.1427707158490371,0.0
"Doherty, Mary Anne",412,0.06519131767206716,0.02588408885327224,0.1730048007047457,0.024140284256477,0.03183484133941576,0.007639977143165951,0.041554297411053466,0.08463618669973176,0.14445767231547543,0.08097427011826443,0.09238256116329412,0.059109810986049345,0.0,0.1691898913369877,0.0
"Bailey, Michele Pirro",125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Shute, Adrian",24,0.13888550713248807,0.0,0.05557971470405161,0.0350343816981938,0.03481105294770765,0.0,0.0,0.0,0.16895866628593523,0.11455266102702615,0.13449975130999073,0.0813719855612085,0.0,0.23630627933339834,0.0
"Neri, Gerard J.",71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gideon, David S.",22,0.053255199193165854,0.02840607929475244,0.11842124351222778,0.019664714238718618,0.07021785117843024,0.0,0.0,0.0,0.2314420276934211,0.23315771478808373,0.03224753186995922,0.023777394904709016,0.0,0.18941024332653217,0.0
"McMahon, Rory A.",205,0.042510604045732946,0.03584950658780367,0.1678159026816749,0.015076455372299886,0.06767605255357306,0.030494928743496047,0.05642202213907482,0.10047679465681478,0.13339650663575178,0.07817670216255164,0.08999867306961287,0.038935099468067697,0.0,0.14317075188354594,0.0
