judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Mohammed, Anika C.",1162,0.049995064787594225,0.03248019820636468,0.17248792716703273,0.030169162287006328,0.03949503499658932,0.015996930920618636,0.05425353402350252,0.08487891624964253,0.12268501209748182,0.061166604706647164,0.06800688152938411,0.0848312457892332,0.0,0.18355348723890283,0.0
"Witherow, Matthew D.",855,0.047109361883157654,0.02201904729660625,0.15171806649187736,0.02392663143866753,0.05351248002363598,0.016666155704702906,0.041866675326235385,0.09069821148406194,0.14671185879811435,0.06604712910866932,0.09016606084948882,0.07123337566957345,0.0,0.1783249459252092,0.0
"Guertin, Richard J.",1532,0.03940675243534777,0.033308852709123565,0.14120398292468392,0.022631596621359863,0.03828660232688351,0.023343542204768048,0.045964597954350664,0.0897043048176546,0.10479601907668369,0.06731636330762433,0.10726771747722391,0.10916345884118332,0.00025125556111780297,0.1773549537419951,0.0
"Brockett, Steven W.",3882,0.042431745204742556,0.024677270939041786,0.172574025714893,0.020131764351086896,0.04072177067782744,0.01799310707170407,0.039218718846970035,0.07837025302414712,0.12436836022272713,0.07362681879390263,0.09809681361992412,0.07502945435649941,0.0,0.19275989717653386,0.0
"Calderin, Noreen F.",43,0.026064284320008718,0.01721282528852553,0.20967808474877264,0.06031337803698576,0.02093517778463498,0.00654823315375506,0.03285626766802552,0.08226594172779012,0.1212422108479781,0.18263909485314558,0.07414394733754952,0.029887975143870392,0.0008116715217555555,0.13540090756720238,0.0
"Smith, George A.",40,0.022363431400567162,0.09411152164323468,0.22723718886578786,0.045324685108692433,0.033585839141443995,0.05014244668177256,0.03255371308205185,0.0646697252740243,0.13405304971248122,0.033311287736521145,0.08165708959184823,0.02328441504508654,0.0,0.15770560671648798,0.0
"Trachte, Paul D.",2088,0.03683456941509461,0.027515331684966598,0.14923179519923466,0.0331516460643961,0.043448825496517914,0.017899812824791257,0.047246431576760624,0.08719065472233133,0.10435646373678664,0.06857000941692878,0.0921731124314133,0.10740352001299387,0.0,0.18497782741778437,0.0
"Brown, Craig S.",712,0.04307893067065246,0.029543789599135218,0.12200906790026442,0.03664639485781569,0.01813936307399989,0.012398383700434031,0.04676770191581504,0.08579588134192769,0.1126093592708571,0.08382838021597408,0.08226425660905845,0.13777883937219682,0.0,0.18913965147186926,0.0
"Williams, E. Loren",367,0.052257968776598156,0.01861205911103861,0.15372589697432099,0.020099415199548384,0.07188492230980585,0.024482518362773594,0.0478037615045347,0.12130318683435747,0.125668836847061,0.011109487730909551,0.07266769064601325,0.10017125635610313,0.0,0.18021299934693538,0.0
"Worden, Michael J.",42,0.028055131923472865,0.018222867077454078,0.13804286893485257,0.0363805784045062,0.05732212451274189,0.024143369129950135,0.064950324387757,0.07852408687682987,0.08952475904491447,0.031346694282939985,0.10879358479509663,0.1712514185092096,0.0,0.15344219212027477,0.0
