judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Metcalf, James M.",2667,0.034080378277293676,0.025013155473328663,0.1794322874100143,0.01862927422519661,0.04581709186675431,0.04529483877557188,0.04868859333945298,0.10339216969944486,0.1362383037642668,0.0773453998329054,0.06782672806333491,0.053057580261172174,0.0,0.16518419901126363,0.0
"Hawthorne, David H.",2123,0.0296815568691954,0.025340087575686614,0.20878953597810193,0.01519187683208199,0.04858606244520771,0.020904258243266905,0.047448959978948574,0.12279553681967734,0.13582164609424832,0.08245681869288897,0.05747103105330691,0.038370697219434646,6.910334304025524e-05,0.16707282885491462,0.0
"Nipper, Donald L.",229,0.023508925349351926,0.0363067539015196,0.17145845384370018,0.009874363001174512,0.047010475052062385,0.012571189754837625,0.051493453784527576,0.1293897643821861,0.13198264336424173,0.071299491770748,0.09018647858272306,0.027646054703160478,0.0,0.19727195250976678,0.0
"Kirwan, Timothy J.",711,0.03300523600745786,0.039189149249882864,0.2049879882608689,0.01621942807345297,0.049859612673871,0.013314423516381338,0.04039463507619151,0.10530088692247688,0.12121959484664561,0.015736408139890957,0.07331919902526941,0.10648010604869225,0.0,0.18097333215891845,0.0
"Wood, Robert D.",112,0.02003857821200164,0.025711502525942877,0.1849250900776922,0.010050743713826058,0.026569214680711564,0.0126557631685765,0.02957772518254493,0.08312042994125855,0.1143651825651305,0.0881726415003263,0.13077908716009914,0.10896293363464753,0.0,0.16507110763724211,0.0
"Brandt Brown, Karen M.",346,0.02146252115197691,0.030889489749796394,0.1898773349565882,0.03456871021062248,0.028307820753531675,0.011519047291011063,0.0723556132594471,0.09439756067704887,0.12298024090609838,0.07238825751918704,0.08008424222584277,0.07747590665564866,0.0,0.16369325464320053,0.0
"Dumas, Dory A.",104,0.023215947605104686,0.05468250550312751,0.2047606620340903,0.010258840207189186,0.07023897692225864,0.021388694682022376,0.030313614366708364,0.09340016453175777,0.13246075090617845,0.0676766165258045,0.05794839878320083,0.025731418000820697,0.0,0.20792340993173689,0.0
"Schmidt, Lesley C.",22,0.04244764450016954,0.035473583548687175,0.13896428549716838,0.0,0.13063567513043708,0.02907599225887996,0.05275914759836868,0.09766433591814422,0.17968310729157705,0.05940924934454934,0.05993351028258677,0.017110259326470808,0.0,0.15684320930296092,0.0
"Hafner, Eugene",179,0.043758653712403846,0.035665674507409616,0.13817625254843882,0.007497730508994278,0.057466083578963406,0.006841466169841555,0.06298235007248322,0.1348408480062224,0.10790900614413088,0.07290774748217503,0.06053732170388993,0.10139810193377732,0.0,0.17001876363126955,0.0
"Pardee, Allison L.",123,0.02900776843460556,0.020016982804290883,0.16737616854602697,0.011354817979788944,0.04483478427812575,0.03863839552086201,0.08459411662961286,0.13624172238709267,0.11562237506481385,0.06924841606321275,0.07335798842226876,0.012680943146627398,0.0,0.19702552072267157,0.0
"Ludington, Spencer J.",51,0.006575431216844885,0.013270041341899663,0.253453672097105,0.0,0.09493536048983514,0.0,0.0357350502412563,0.08879216047584641,0.3299108050319931,0.06965414397929279,0.03313573763278255,0.0,0.0,0.07453759749314423,0.0
"Reynolds, Thomas A.",308,0.038501193244286955,0.029654564591811785,0.1900337794563903,0.0447033036466014,0.03807501451275011,0.004831060730486003,0.06209093224457755,0.15841193069034512,0.10891992753489464,0.08805097962499792,0.07384747674886975,0.024068860575443968,0.0,0.13881097639854462,0.0
"Beckwith Jr., Jack S.",130,0.02195271000443146,0.029628932100810967,0.21262747552721944,0.009697428061653324,0.049912343629928364,0.0676016550227667,0.04902338688270458,0.11603661833625514,0.12357046834666116,0.06713057962154358,0.06569514218481193,0.01403790712381288,0.0,0.17308535315740042,0.0
"Moretti, Jon P.",46,0.07592815849985952,0.03304419544363083,0.29888784150653597,0.015054965892636468,0.03164694596983862,0.0,0.04030883181968401,0.09109557589397912,0.13063453027873592,0.06538320204384314,0.06271580500532248,0.011455261948855459,0.0,0.14384468569707848,0.0
"McGunnigle, Melinda H.",97,0.0437593607905886,0.06042557708205434,0.19207008836704714,0.02345492841975747,0.026038862709582423,0.012760616800425863,0.0497270299486539,0.1664305780531087,0.12267227976059467,0.0606844289970269,0.061472636611459255,0.016631180309597284,0.0,0.1638724321501035,0.0
"Nicholson, James M.",242,0.029573213986602672,0.056245500732802774,0.15970323651598398,0.015275146096256454,0.040604749043528086,0.011125615539488036,0.06217557333151626,0.14620069237137423,0.13011858491905787,0.06255708607411666,0.06619564770773242,0.032233333684738436,0.0,0.18799161999680203,0.0
"Bull, Michele M.",88,0.10419292519228499,0.02895063178448125,0.14538997981697255,0.06979322571227753,0.03659170361328617,0.019088596921440718,0.029687561657910484,0.08776428738522538,0.11807104753422006,0.06503840080198746,0.0702114419406329,0.03892624163704404,0.0,0.18629395600223642,0.0
