judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Gershuny, Jeffrey A.",13952,0.049160590476737535,0.013708479522762123,0.1744981280778456,0.0496654633454458,0.041235001473327045,0.04145670710389407,0.057614361439333954,0.08673051964665318,0.1140492789639833,0.07415005269483727,0.08957988950578807,0.05176271770383559,0.0011461356146190294,0.15524267443093753,0.0
"Serita, Toko",3408,0.04116467081951655,0.017797334725600834,0.15040265160343722,0.04466215292453629,0.03628971267866272,0.04083609370405292,0.04581194220426539,0.0812131026767117,0.1043735339469713,0.04971609642733044,0.10565207903481723,0.1401980497789946,0.00024098140419008437,0.14164159807091276,0.0
"Kirschner, David J.",3299,0.04538392637355614,0.018234639157866484,0.15442206071229167,0.04355514000998819,0.03761599580025893,0.03316176449251882,0.047663047203931004,0.10291229666667884,0.11416538177312013,0.048997547341861764,0.11939727841987784,0.082805029284936,2.2690258392575296e-05,0.15166320250472162,0.0
"Dunn, Scott",8751,0.04278212203375424,0.024723626775977503,0.14756225787135033,0.031071099517577108,0.037052068216512614,0.025078012242033987,0.036979825873320694,0.07010646743900524,0.0969965499755532,0.06277750269047108,0.11212571782275382,0.15924157665571123,0.0008261889581904284,0.15267698392778858,0.0
"Licitra, Wanda L.",2795,0.04985447452591973,0.023607494981467702,0.15490715789156934,0.034771506271137245,0.03205684535844095,0.029133427597614878,0.04112399915246675,0.09926192722676694,0.10432513923351835,0.034935258545990944,0.10063275307892178,0.07694919292160052,0.0,0.21844082321458497,0.0
"Margulis, Ira H.",122,0.0790976922877763,0.009485698240660582,0.13346082512936602,0.044471742374949684,0.043883264197428405,0.04401018884857206,0.042777331150123915,0.08650062994447139,0.1400944293608441,0.08937481572717548,0.09895451978457742,0.019143785511048242,0.002275442398505269,0.166469635044501,0.0
"Wang, Frances Y.",2892,0.04540660129244884,0.022592323835880942,0.1704102914702346,0.0382051422658258,0.03139043169881863,0.02655541841973693,0.08254465179509757,0.09793341659297461,0.12374206038129167,0.07500658199147693,0.09647690477154815,0.029458825892402958,0.00012719607921515895,0.16015015351304726,0.0
"Freire, Diego A.",6997,0.049151252234739,0.020736003959843038,0.1681346582256177,0.023919692401576466,0.03893212155083721,0.04872374265305081,0.041031187335970526,0.06866414299503137,0.11271149858789581,0.03787943147542292,0.10969100381246122,0.10434005151074294,0.0017637505731546723,0.17432146268365628,0.0
"Paek, Kathryn S.",287,0.09915604010219227,0.02000511510974244,0.15005295366432386,0.03390901778005152,0.0270460060548816,0.025593985766003153,0.04516223837703753,0.09462910040101709,0.08098181904203881,0.06093908628330375,0.1019757549273815,0.1341062979212702,0.0007756883183404123,0.12566689625241576,0.0
"Novillo, Edwin I.",4944,0.04732603674654387,0.01489816407884458,0.15977529077087987,0.03473821849037486,0.0351332472779626,0.02906925835428852,0.050244306766650315,0.07453807441731987,0.10319884907195165,0.0598797975366883,0.11110802522327341,0.0956840767263968,0.0007639505032271181,0.1836427040355982,0.0
"Zaro, Stephanie L.",994,0.06117432933972829,0.020911911836526582,0.1627213196225408,0.05085081606426503,0.035856340696606565,0.04433012928216607,0.07046854287077217,0.13177887640332472,0.10497352117111669,0.08334078903437436,0.06490799621889834,0.035444575449213624,0.0,0.1332408520104668,0.0
"Cimino, Toni M.",4551,0.05033337703036505,0.01492455655511351,0.18066841016099563,0.03804052484887718,0.04611783260427365,0.02851171291019201,0.05206901444605868,0.08569969709109987,0.13488872874136423,0.07814470196045308,0.09709921244478588,0.03569874293197937,0.00246435497558254,0.15533913329885937,0.0
"Johnson, Denise N.",5942,0.04988725997975742,0.015819070081831907,0.17103922789013748,0.03943259850346929,0.03983042309111193,0.044851287821375534,0.043221707546728,0.07641514471442784,0.11621379429359797,0.04760091684765036,0.10819308739379567,0.09647278526460573,0.00027662078334336645,0.15074607578816762,0.0
"Battisti, Anthony M.",9401,0.05666212141815352,0.021617824263305007,0.1917438461209175,0.03761891067042602,0.04053675477707786,0.032913548860973064,0.053994544048454746,0.09595244357499946,0.13115971305509133,0.05290866331710819,0.0745302438541198,0.042471101004416895,0.0003163190610953118,0.16757396597386132,0.0
"Weston, Cori H.",56,0.021298321734350246,0.02510349442597267,0.23106059027083034,0.12977600206385922,0.037291216324598704,0.01490679403795675,0.08899342920726949,0.09221139736209105,0.06927470808725796,0.00030058479532163424,0.13336460839291403,0.040812923505835534,0.0,0.11560592979174229,0.0
