judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Koshy, Biju J.",3994,0.04199638487060694,0.019657034690353965,0.1513727002026282,0.03515646329942422,0.03682438701795638,0.037819098891010275,0.047123678818379366,0.09284749812931564,0.1045070619389264,0.04590086185249994,0.10133514099292322,0.09936644008979939,0.0009867746276711715,0.1851064745785047,0.0
"Abriano, Gerianne",2698,0.03315933091754162,0.022257477148616447,0.15192833619319704,0.029756842452533485,0.041200650024036785,0.02770921308977807,0.048252533696508844,0.07262407093651724,0.10746040020569068,0.05113382229661963,0.1188551317210171,0.12684123348623083,0.00021820769439483056,0.16860275013731738,0.0
"Swern, Anne J.",51,0.044060749837109184,0.008306911993379542,0.23670495345430814,0.004752239832739999,0.011819682149352457,0.0007662214708368508,0.006922814711168773,0.08785278081081964,0.0797930487714213,0.0031815343212517554,0.15156076154558756,0.20258342035610946,0.0,0.16169488074591537,0.0
"Helbock, Robert J.",2821,0.03376231669353888,0.016353486807884298,0.1596065742974462,0.029328391403265028,0.04445126182120224,0.030474446292185712,0.05942306988968645,0.0812862436680908,0.10731937838094353,0.016742891143370152,0.12534428726422667,0.12043441831062288,0.0,0.1754732340275372,0.0
"McPadden, John N.",3530,0.038486518822122624,0.030329265643821816,0.1682334833854628,0.036046254439954996,0.0478558212251692,0.0338858732251795,0.05112005068093798,0.07569283619057102,0.10646819985628372,0.007931412309422774,0.10864245199058838,0.11011666873061583,0.003698293012467503,0.18149287048740192,0.0
"Lebovits, Gerald",127,0.05889193319348481,0.02444358038236474,0.1450083714346234,0.06214076900702993,0.060766396992151805,0.03942986731930049,0.045291952565605066,0.1204531223091273,0.07210460151473302,0.04882140537658064,0.09367569427748997,0.07570358582243591,0.0,0.15326871980507273,0.0
"Thompson, Ann D.",1659,0.0293757996132848,0.020743499634750626,0.13372926021701212,0.03421317169710092,0.03775514253265607,0.03672552169721144,0.053286427444452424,0.07012457337347089,0.09365354254998044,0.02735102293773914,0.15986000058985614,0.16224287240168903,2.4417483175039593e-06,0.14093672356247858,0.0
"Castorina Jr., Ronald",3760,0.026493096577089377,0.0211359920435749,0.14182171044450548,0.032743357133525094,0.036943023377696164,0.021440448624868255,0.04052111632390108,0.07237181648637951,0.10174730023695228,0.018672436768627693,0.12409482863237149,0.19826032846628006,0.00010913734434804164,0.16364540753988063,0.0
"Rajeswari, Raja",3311,0.03598494255129424,0.026965459072606602,0.15713057241628162,0.03517025695234161,0.03879974204987339,0.028130797560974703,0.040989773571192455,0.083244321159256,0.1107599165028504,0.05930980041776448,0.10736467579447047,0.10972411526392796,2.4000034492313336e-06,0.1664232266837169,0.0
"Grey, Lisa",760,0.047215754645307806,0.018813418432650497,0.17023419286603114,0.04966996561120615,0.025179253472748284,0.05096178096735752,0.060721350965625594,0.08481127789930618,0.13742454300296736,0.07173555487944493,0.08370767028961022,0.04514869852209927,0.0013184205188680838,0.153058117926777,0.0
"Adams, Suzanne J.",101,0.06104411322124096,0.027018700735020554,0.17638804531579078,0.07954674480730427,0.033489715912776385,0.049205796973338135,0.027648139015345317,0.05957745559961206,0.09382164155482924,0.0320007446988319,0.09278587746550158,0.07926283283157032,0.0,0.18821019186883853,0.0
"Sciarrino Jr., Matthew A.",194,0.038547299912814165,0.016085048815685225,0.15754073877049904,0.057009940813398115,0.05411722026674368,0.028559513873017636,0.04882656246668491,0.1272382019726735,0.0911895772034989,0.057961712222123755,0.1290575914971876,0.059800267471494785,0.0,0.13406632471417865,0.0
"Headley, Lisa S.",118,0.037969909366258235,0.01655564700715107,0.23885762003419278,0.04392530097187106,0.05066851765227427,0.04910918960067155,0.08865954476432096,0.18027571557510944,0.047888439478466556,0.024970937750117432,0.05756192018087744,0.02243003946104552,0.0,0.14112721815764373,0.0
"Clynes, James G.",295,0.04432960596917923,0.026552069566472103,0.17716403843725861,0.01636452353817758,0.04241204029033103,0.07114916856424842,0.040127660713658114,0.06951956029594333,0.08501152173320167,0.07226911651909525,0.09174918685274207,0.11226037083291414,0.0,0.15109113668677834,0.0
"Weiner, Jay L.",314,0.03684328093054974,0.015012601189448528,0.15187618933591543,0.050582271869766736,0.04272962502581389,0.026968350222881788,0.09317139089279985,0.14541115166539917,0.08663317004757363,0.04857517737314906,0.08252729317574989,0.05478889073386827,0.0,0.1648806075370841,0.0
"Svetkey, Jonathan",186,0.033349410088912956,0.030021601183141705,0.10713928253467803,0.10738325312645633,0.02369385166968262,0.006179701592823486,0.05857558976864149,0.10374578010483475,0.08570891649970186,0.013562066084115061,0.1509090605333093,0.15829044757539537,0.0,0.12144103923830718,0.0
"Mattei, Mario F.",331,0.04666475727513725,0.013402539791976649,0.1588790470202221,0.03746553685802383,0.029017397055750314,0.0156762669354461,0.09791962115155542,0.10358036073706836,0.12322500388921764,0.09311824446227611,0.08075187412705608,0.0592705101322931,0.0,0.1410288405639771,0.0
"Weston, Cori H.",164,0.04188243915652557,0.018082396936916677,0.1297767168136761,0.04630690059950375,0.06494087130322855,0.036448126494368155,0.04815293945962946,0.11025585559139048,0.10954419334807185,0.06482514531729448,0.0965807959782074,0.09823767621026878,0.0,0.13496594279091878,0.0
"Frey, David",315,0.037201372224452495,0.025369829681855798,0.13933371701924036,0.04261420022852841,0.047716703252483866,0.03724314555882046,0.09133949239427082,0.1424951649216749,0.09046400676852313,0.022354747277344215,0.08675059138717263,0.10295679500608257,0.0,0.1341602342795503,0.0
