judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Orlando, Rosann O.",9638,0.04839419172552515,0.022729800828051257,0.173110501632731,0.03265809720919392,0.052972261176947734,0.02648467216433143,0.06451601126142775,0.09232037609608293,0.11696505777023328,0.08092198353458382,0.08869581327267055,0.03844293798958984,0.0,0.16178829533863134,0.0
"Andrews, John James",6203,0.03667141830290788,0.022124125065554816,0.16462044526429861,0.047266525221013385,0.05117339041882288,0.014168716484580448,0.059195461360828476,0.09949961780839224,0.11087768604639532,0.06874000918755943,0.08558961089489267,0.09156190939061551,0.0,0.14851108455413845,0.0
"Carrigan, F. Scott",3765,0.041394453182631435,0.02253642583334376,0.1898594612037231,0.04469355654285167,0.049385211664177045,0.007805663503490461,0.07136924723394097,0.11266393851662311,0.11557205395458467,0.052127349564884164,0.07987194994820303,0.05288055003323107,0.0014478575834950228,0.1583922812348205,0.0
"Graf, Alfred C.",5704,0.04386347980584764,0.01854005100959791,0.17350254793742578,0.022968129734579894,0.05306441808385613,0.027260860805710715,0.07920495923097455,0.0855224514476092,0.11248427560502297,0.05241441012409368,0.10311436769668751,0.07951670127713843,0.0,0.14854334724145563,0.0
"Cheng, Bernard",5171,0.043838402122203766,0.017355061719112524,0.16109359041146742,0.04744613502704076,0.06209159238901387,0.012151903383605516,0.08408154728974164,0.12070531390254416,0.10183729277638078,0.0474577436840045,0.07674247372194785,0.07429222901085725,2.3325083087078163e-05,0.15088338947899294,0.0
"Berland, Susan A.",10939,0.019964629458029903,0.04007778068994512,0.43799956166979315,0.02441002179129896,0.03843139250989491,0.012278440976567209,0.016629807758242285,0.030498183500006538,0.1785035014779905,0.009668981173286685,0.008049700753878609,0.0,0.0,0.18348799824106624,0.0
"Hennessey, Edward J.",10259,0.04542292516707299,0.021510634844724943,0.19769576346080237,0.032836011513373016,0.05293438906802408,0.012671816192387058,0.06568394993152529,0.1086798161718982,0.1273651918989966,0.08619350671975458,0.07078526555124348,0.024462649885261888,0.0002934492445746987,0.15346463035036081,0.0
"Jacobs, Alonzo G.",6909,0.04346879178124042,0.02321837269858185,0.1637646332261942,0.05173813112052153,0.05348993838814628,0.016215590071545757,0.05598874133757078,0.09504295230607537,0.10545822017082453,0.06695923701886435,0.11005782255548435,0.055677956970475166,0.0,0.15891961235447544,0.0
"Kelly, John",10345,0.03763176779806169,0.019712334953255063,0.17847638384844727,0.03213831489691596,0.05061671508194559,0.01686111715620897,0.09667600445134866,0.10826478039941285,0.1084064882049099,0.06666642178815003,0.08007955657474326,0.05986575465124843,0.0008293246324632459,0.14377503556288906,0.0
"Hennings, Paul E.",6518,0.04485546195510426,0.019354634219393218,0.17072069643297427,0.028504748590503844,0.058031961198077006,0.016615001583497283,0.09733142877361456,0.0851263228246278,0.10671542717622641,0.06704647366462484,0.09033523738925248,0.06283175697352322,0.0,0.15253084921858093,0.0
"Sachs, Eric",6894,0.04046050456053438,0.01966706567121527,0.18379906680444666,0.03334456070861078,0.04773471180501219,0.015880173546636667,0.0466979698849656,0.08689039758017932,0.11880426455077259,0.0851392745783102,0.09820185132240798,0.06058472035670674,0.0,0.16279543863020174,0.0
"Saladino, James A.",9819,0.03970115062413533,0.02068137551437906,0.1636156541080772,0.06313025336422917,0.05229632765616437,0.012437720758285493,0.060815938104479786,0.07991686635092671,0.10517903333020472,0.07370720335417508,0.08330885558161936,0.08727237761472416,0.0,0.15793724363859968,0.0
"Ukeiley, Stephen L.",7267,0.03935977350201356,0.01673996117082543,0.14605121808379304,0.029326209688940497,0.05660831482745997,0.010864130776280224,0.05956486330801228,0.0968570839756858,0.09289344270232734,0.06967244104486228,0.1115792660670987,0.10551957150954584,0.0,0.1649637233431551,0.0
"McDonaugh, James A.",1105,0.04793639229869941,0.015759018481096537,0.15001043652702842,0.054431530607817705,0.036721429650786785,0.012495986593498466,0.07243279962301527,0.08355170982947,0.0996918460505138,0.06969805401379657,0.08273867299226771,0.11925531080630127,0.0002883882064093103,0.15498842431929882,0.0
"Mullen, Mary C.",2170,0.05120253161189148,0.023742031060905864,0.18192643911950596,0.03621231134182817,0.05798019021026043,0.01605936830275069,0.06231957683516755,0.13502167631935652,0.12087021191655678,0.025639484693073582,0.07940081684668998,0.03999167007777414,0.0,0.16963369166423892,0.0
"Braslow, Stephen L.",795,0.04358703539357643,0.02942254022379717,0.1532970680482974,0.02691223077853235,0.026690174153033448,0.026263117944396598,0.08231340255475426,0.10263198287694836,0.11388277140545443,0.09346711317736428,0.11384512635704168,0.019410036995444527,0.0,0.16827740009135903,0.0
"Henry, Jennifer A.",1547,0.04421237691434172,0.02701636525292769,0.14663492404978237,0.02718857956850886,0.05546557599569304,0.029707798874764716,0.055884873076692515,0.08887985083739723,0.10547307442643311,0.07833446774123677,0.10765943741705664,0.07648502334177261,0.0,0.15705765250339282,0.0
