judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Collins Jr., John Patrick",1529,0.04795230825457735,0.020528313192898846,0.17629677905778243,0.03629264090709061,0.06340314640974778,0.0490744591365313,0.047105114289624585,0.10030393275015895,0.11889250900884754,0.0812637621027917,0.06191528860157846,0.03232890523506921,0.0,0.16464284105330135,0.0
"Doran III, Arthur J.",1876,0.05917007817188955,0.021794950313974635,0.1752560787247839,0.03233921492180029,0.04906958268586916,0.022789214398574127,0.04982352962377773,0.10371821273824694,0.13276797424586528,0.0780259348424192,0.06173810436972142,0.025811190387252204,0.0,0.18769593457582565,0.0
"Carbone, Anthony A.",450,0.03368371556920838,0.02496347372087762,0.14783301145977037,0.03640852088859512,0.04611450762448262,0.027166703313456487,0.04147819941687918,0.0841989841579729,0.11760424013732891,0.015143236843131258,0.08272620060938131,0.14581171347349137,0.0,0.19686749278542456,0.0
"Quinones, Thomas",864,0.04897915381529944,0.01980941268356082,0.17195999630448783,0.03341826173790246,0.06351784680266992,0.01639635916281666,0.054995846599117694,0.10824980970306133,0.1271773831616418,0.04863740831449906,0.058099629622849897,0.07115735818150919,0.0,0.1776015339105839,0.0
"Shako, Verris B.",1766,0.05114049762223998,0.025144055858289983,0.18390378836140178,0.02713220415099909,0.04629131228713706,0.03557192157352701,0.04018779559430041,0.08092507513658051,0.11907094487512665,0.06745911041666865,0.06721018019202837,0.038958540155489746,0.0,0.2170045737762107,0.0
"Inlaw, Evan",2127,0.054834820131899636,0.021785187551955906,0.1696958218872969,0.028372574508441984,0.0517233291357497,0.022924028047814664,0.046778388489031056,0.10633901037253983,0.12694734544230957,0.07906376604397639,0.06461753199565573,0.05052953400471339,0.0,0.17638866238861528,0.0
"Costa, Matthew J.",1508,0.038214964580862466,0.03317798495437783,0.16478861389044253,0.02796252642131341,0.048651101625796125,0.011617002214861808,0.030086156664743298,0.06542369368503417,0.11132319319305081,0.06717462194731617,0.06995046512652368,0.1509435025530612,0.008285725832525704,0.17240044731009085,0.0
"Press, Eric P.",2075,0.04404275113079329,0.02250652855870015,0.18160085936709244,0.034713481023666524,0.05143244046304945,0.03135212074456024,0.05399352922651651,0.0971063339500667,0.1299181122442075,0.08020638897193764,0.07096463340501119,0.029813173359115413,0.0004029513324918183,0.17194669622279124,0.0
"Johnson, Reginald J.",1845,0.0443228245735754,0.027152714944194255,0.14800525774579387,0.020629082091905136,0.053810525720719225,0.02218062500156069,0.03650567020744037,0.10220317658654444,0.11443358573874958,0.06367740460276612,0.09169198343563181,0.06608629617910167,0.0,0.20930085317201744,0.0
"Spaulding, Lynette V.",1246,0.04373091158907614,0.022099097053939944,0.18491463034167896,0.05208355362961591,0.06160920272591318,0.050745714961737846,0.053760363721185686,0.09265552519586552,0.1269963418949649,0.0842017613512785,0.05425014139603389,0.03082985955634941,0.0,0.14212289658236005,0.0
