judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Galarneau, Eric",1786,0.036159825463549095,0.008224809041364344,0.13748633573924846,0.049800767628381586,0.03800621943117832,0.024039612871055552,0.09233379213676358,0.08784000852526362,0.09483785599215647,0.0656895698164685,0.14720594437455273,0.0854601406539833,0.0,0.1329151183260343,0.0
"Trexler, Holly A.",3278,0.029372679167337587,0.01687670348234842,0.10575941841294025,0.04952472534948739,0.025024170491308628,0.02212698714552412,0.1441809451894399,0.08008141804800183,0.07562777455689752,0.052027108605574066,0.1793048029509637,0.09957792860314503,0.00037945825276569504,0.12013587974426596,0.0
"Reilly, John J.",3098,0.028457580785997767,0.017783519190481618,0.10190001601422255,0.07529754990633324,0.025022388503941003,0.016912405518631202,0.14080012400081238,0.08462933624492737,0.07361706993236024,0.04529422039615279,0.15758925226807946,0.08354585511377069,8.716598082193509e-05,0.14906351614346772,0.0
"Lamb, Thomas",1343,0.04214190423154914,0.014152114599568033,0.12595333276611803,0.03892412620572697,0.03984892939037468,0.01628370335803191,0.1251172006814154,0.09576851839525581,0.08776617252606837,0.06955601131730384,0.12808233537687033,0.060704561816513944,0.0,0.15570108933520366,0.0
"Farrell, Joshua",3216,0.026742351484416452,0.013753791991224827,0.11373159157384723,0.08130729227559574,0.026324087486064577,0.018997986502572013,0.16683548071614177,0.06782307619063214,0.07070897279720366,0.043617582731676534,0.18321200150482483,0.04497161396431528,0.0,0.14197417078148494,0.0
"Connolly, Gerald W.",93,0.03542293827825494,0.027629828914205665,0.15160198185868987,0.02745980437024077,0.0,0.0,0.05230932811637996,0.06926363100484748,0.10715150196338556,0.08161673540467108,0.1258926023880397,0.022620291018381877,0.0,0.2990313566829031,0.0
"Rivera, Richard",179,0.0518390047657318,0.023986436585301783,0.09587518174950115,0.007401477623709379,0.04460039548187887,0.11212382371397624,0.0009924724543580114,0.0029277255802718856,0.1383606537884437,0.11494893770124627,0.11815329755683676,0.10908760802226998,0.0,0.17970298497647402,0.0
"Kelly Jr, William G.",102,0.04987614573374784,0.02733983621554772,0.14013363193676145,0.01837988754578514,0.05915014507050974,0.019198704305886924,0.13027393988037733,0.05983441510510869,0.07638066214859988,0.08264102076243,0.09997732976237447,0.08267071656351445,0.0,0.15414356496935644,0.0
"Reinfurt, Susan B.",116,0.0248711416632132,0.014416112450282828,0.11084134896868765,0.08887816863634752,0.04037664484381002,0.015990750317905082,0.18172303232322257,0.14752752424822563,0.08380832644983512,0.051344399091191754,0.11975640891277123,0.029766322556906148,0.0,0.0906998195376011,0.0
"McDonough, Roger D.",225,0.05127419988418863,0.03939586053544883,0.11186514145306668,0.050931436527932965,0.03767953207554276,0.03782135537169855,0.0684470716711867,0.0935460852205049,0.11692869491188537,0.07498092496434779,0.10536400275260871,0.06254527386795088,0.0,0.1492204207636373,0.0
"Little, William T.",344,0.04996901782592292,0.014758987315039515,0.12080589679136905,0.04589786378857224,0.0223785014121177,0.053373814605955264,0.07254601832472142,0.13721545838934732,0.1281085341613181,0.07751616106125228,0.08314134765491274,0.03439507479558207,0.0,0.15989332387388944,0.0
"Brooks-Morton, Sherri J.",142,0.052051263748107354,0.02315143563013339,0.09020217774651884,0.0,0.05033049036195468,0.021151574972188388,0.0,0.0,0.1920576249305988,0.08902292924429783,0.1569257243819074,0.05493309347257218,0.0,0.2701736855117211,0.0
"Rice, Ricja",22,0.017261451467301583,0.025018616446319253,0.1357899528472982,0.0,0.06498968508124749,0.0,0.0,0.0,0.17803254187352455,0.10141165877900872,0.2563709445047825,0.07621218662395919,0.0,0.14491296237655854,0.0
"Marcelle, Thomas",276,0.03560795991727542,0.014723146892097017,0.09710278001689843,0.05441698771975752,0.025321017832882035,0.012475247876843844,0.23669687219880514,0.09056605702591641,0.06583756558885386,0.0672987732365949,0.14214220741115416,0.059814850436138566,0.0,0.0979965338467828,0.0
"Torncello, Peter M.",96,0.03232890938974106,0.03864624753915158,0.09872950939702428,0.027430502435126354,0.028594432933454636,0.08112679074126583,0.18018571824051507,0.08324598017528619,0.08110682354321194,0.02759147713665695,0.15280577563809752,0.05628887702960479,0.0,0.11191895580086383,0.0
"Ackerman, Andra",425,0.04701971170839292,0.009342595149191222,0.1292283377459228,0.07512741358859404,0.015232491819542164,0.0353053652195159,0.06981954996687827,0.10513862581095085,0.12210990493136167,0.08951903256660214,0.08877570531805697,0.04659055717828644,0.0,0.16679070899670473,0.0
"Calderon, Francisco",210,0.03108670403029683,0.008823055302913888,0.18457262282831585,0.046445001594397774,0.025199908322945073,0.009412083951516614,0.22122330061123258,0.08391142768764646,0.070529194200501,0.01090903425093551,0.09730192743000902,0.11771830460649892,0.0,0.09286743518279048,0.0
"Heath, Helena",27,0.016434663732544343,0.0067318547064453135,0.16765481255028952,0.10612221093817079,0.01622192070015098,0.006313900058751317,0.16407092151146058,0.09109844625603802,0.11329636742499578,0.018090712343489832,0.106806152284506,0.06343479206917002,0.0,0.12372324542398754,0.0
