judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Chin, Christopher",3280,0.036129224252598444,0.008026558062769987,0.10684919361064002,0.007914526304566745,0.006331001013494984,0.010430520464250899,0.01815782744581508,0.03738887999599624,0.12509476896170904,0.032322640476059955,0.38708584350542635,0.03951304085160672,0.0,0.18475597505506558,0.0
"Bowen, Eugene D.",1936,0.020215968001293248,0.004612054104170808,0.07785727708597023,0.01645000865584236,0.005159582772971444,0.007141583811630354,0.040508819485546944,0.03668066611893025,0.034592871833662095,0.0024613566496373756,0.5038663159251515,0.05718085897553953,0.0,0.19327263657965393,0.0
"An, Giyang",2616,0.02873352761825594,0.008231417963616462,0.11149531485909182,0.01329173687954566,0.010541626940357386,0.028786903322537503,0.019183005287935866,0.0221321478159399,0.08126632975209967,0.012874952119024771,0.4334900388979093,0.050874039033040296,0.0,0.1790989595106454,0.0
"Pacheco, Carmen A.",2151,0.04146261539175849,0.00525200210530293,0.13401473097860042,0.06838019297811587,0.0072141765670425805,0.018711523090340975,0.061879002774904,0.048986465470488,0.10021586159403847,0.04676478972022,0.20432278169252027,0.07563900606773215,0.0,0.18715685156893586,0.0
"Villegas, George R.",2403,0.04521112087872578,0.018137477239942447,0.19017109751474215,0.047448283192801505,0.02883804720173427,0.03169020560284454,0.040452514259705294,0.07201410194143834,0.1256968188654996,0.11452654356803796,0.09761155202048816,0.018489240079002597,3.2110568480459764e-05,0.16968088706655693,0.0
"Ortner, Craig J.",1727,0.02521851821361616,0.0005410541223022151,0.07662891038164629,0.05117645494277912,0.008664616286289586,0.013723884806956342,0.06261353232631069,0.033991281202281544,0.05047283974443982,0.018861887313328125,0.5012296624439049,0.041829526089425965,0.0,0.11504783212671936,0.0
"Nock, Louis L.",334,0.01703396013940232,0.0033318384013319895,0.13646328508840533,0.12270031952396723,0.007243774211791031,0.015894016011772913,0.05644079612204813,0.06537464728528018,0.08566042322221946,0.05015673417503068,0.2635867011419583,0.06766371235526264,0.0,0.10844979232152953,0.0
"Bruce, Raymond L.",113,0.02170706720721381,0.004024542773893801,0.1373339009738938,0.062079952827164296,0.0713646414967014,0.07062646265395112,0.033518748542999716,0.07106037366636789,0.11294113767205513,0.119079225472329,0.14201787087541468,0.02899748855868466,0.0,0.12524858727933064,0.0
"Litman, Sara",1770,0.038705309081019774,0.01488482919385844,0.13119619577262148,0.050488999627386184,0.0025814560380807553,0.023348643896632208,0.01831148950106798,0.04474575211744323,0.08805354085941491,0.039192130021939754,0.24209600315194202,0.07272207558574079,0.0,0.23367357515285253,0.0
"Ally, Shahabuddeen Abid",849,0.025114899368718555,0.0014677096972058505,0.07626029316306658,0.03226962861862496,0.003332038943688747,0.019946736937661996,0.08908975329217472,0.06428841465247936,0.06597354976783579,0.00020708621217662592,0.454612582427304,0.042604802967713615,0.0,0.12483250395134923,0.0
