judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Savage III, Peter J.",2742,0.04055758964798968,0.02298300109338376,0.16804653453201954,0.03218748588830161,0.05205651478238908,0.01653313025214203,0.03796045398826171,0.07110628608386704,0.11164371894890615,0.09227806894276917,0.08554918865412962,0.07230142131982537,5.934184256862922e-06,0.1967906716817582,0.0
"Montour, Mark A.",187,0.040856985164286694,0.017468070196127096,0.13226475072336163,0.07749173279191107,0.02188335445323346,0.023313495600107304,0.06798636108014783,0.13733218845723988,0.09427251791805054,0.05281254235572831,0.08527092890578311,0.06943840547831316,0.0,0.17960866687570992,0.0
"Wray, Diane Y.",3535,0.036002837869437136,0.01968095089843145,0.1544694476240939,0.03085832585834184,0.06978804312770137,0.017278019285897006,0.037902884532899084,0.07272939704162294,0.1272493846910686,0.17405435169068795,0.07729600237127014,0.017869480893545682,0.0,0.164820874115003,0.0
"Szyszkowski, Kenneth A.",2158,0.04572415026602839,0.026593154394481223,0.13622750706057685,0.03505411192777931,0.0652865316753375,0.022968630149394834,0.03826045533218085,0.0876720837365174,0.09202187566956536,0.07826916071154989,0.1466663721757734,0.04479163118907764,0.0,0.1804643357117375,0.0
"Lilac Jr., Dean E.",371,0.02320648442078114,0.003328851256467155,0.12567445736316427,0.10056639743495827,0.016913945753156922,0.002390975126192596,0.2375454899509012,0.1390714941316909,0.11769745262356114,0.05192531773808545,0.0801165729399045,0.027015540255077478,0.0,0.07454702100605892,0.0
"Cooper, Michael Gregory",33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Keane, Kevin J.",3252,0.04013395256346035,0.017091482704368985,0.18608431600475583,0.054126482603219304,0.04019616267290206,0.021703021020176846,0.047602064046425384,0.08010404336527882,0.10177792431318991,0.09392541298431872,0.09691441382444149,0.06910511249669861,0.0018521791390242576,0.1493834322617394,0.0
"Faso, Jenelle L.",580,0.020553734395154098,0.011046730791849688,0.12561109620926147,0.08267040579075167,0.027603391125536083,0.007420442316777823,0.22416710774083182,0.1194914599249745,0.09218848315344497,0.011293109462722183,0.11357410633833513,0.06490319471469432,0.00018553217661390153,0.09929120585905243,0.0
"LoTempio, Andrew C.",3194,0.03936822464728445,0.023873356275525053,0.17460562254197348,0.04550659326380565,0.060821237624429,0.02377658600005946,0.052564990345014655,0.08193451814655106,0.13354404601492645,0.08100331682332566,0.08458330709269252,0.043073506650609626,1.3077791382307026e-05,0.15533161678242083,0.0
"Heneghan, Shannon M.",2843,0.033497226665214694,0.02417711990714044,0.169763493504665,0.03823292061058195,0.05192614808518215,0.019553261303905757,0.03528195673160289,0.08413574438847106,0.1432257060171298,0.10521336336418893,0.0920701473652182,0.02749153432890663,1.093601884116836e-05,0.1754204417089514,0.0
"Hannah, Craig D.",499,0.032874187892985345,0.009268338199991257,0.13180856706712382,0.15276073697265893,0.02358065626064482,0.01775467827787588,0.1128021406487063,0.07698829925287899,0.08093976023110827,0.0385282834504644,0.12916796321257273,0.0746140973028327,0.0,0.11891229123015652,0.0
"Saltarelli, Mark E.",1459,0.08377221696739838,0.019853560053934474,0.1274540143831498,0.0068727173368245895,0.0890636274161394,0.06041078912415832,0.049112149729007355,0.10825976404298593,0.14974186744044,0.05776927821009662,0.0692184830756166,0.01453299212552467,0.0,0.16393854009472403,0.0
"Calvo-Torres, Betty",1409,0.03419301035832943,0.01876660868651457,0.15555752167545564,0.06093399546184287,0.039665740574290766,0.011806224240875495,0.058527837465165905,0.07800660798113851,0.10463334461306481,0.08498655806453126,0.14469485978376734,0.0471239493826497,0.0,0.16110374171237368,0.0
"Wilson Jr., Gary A.",927,0.047180206338200255,0.024331908345354435,0.184721313474104,0.034684352534815374,0.06048630536043074,0.02065791495022187,0.0762720636357431,0.06585213690543873,0.10943415558851358,0.0314290934235972,0.09950192108066586,0.07004361683197809,0.0,0.1754050115309368,0.0
"Town, Rebecca L.",785,0.044794686656719734,0.019753974934053755,0.1724022466807795,0.058557486606848216,0.05928924487037048,0.01616029381896184,0.06430783396048721,0.09441950761773014,0.12968407813693858,0.010169217148634597,0.08087603168052863,0.05417228449414244,0.0,0.195413113393805,0.0
"Wojtaszek, Paul",430,0.041938768134816964,0.018943087850250763,0.1270551620378901,0.04684241262507753,0.015150900171724511,0.03403951832967642,0.08543192874006816,0.10189554895759867,0.12974630713635682,0.0814432021389682,0.08886398275620021,0.037440005305205935,0.0,0.19120917581616567,0.0
