judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Swartz, Eric T.",734,0.021050237709268244,0.014166016346134338,0.12774684991517132,0.06179445597993451,0.028139219555950737,0.0030409072347269764,0.20370883126564573,0.094902697267553,0.07927616761234914,0.04133481303897938,0.17801023413583866,0.01830941002071002,0.0,0.1285201599177379,0.0
"Renzi, Eugene R.",395,0.019350937091535077,0.020912653235067916,0.11918286213436598,0.044363337016502434,0.024124120285333586,0.014823528407024233,0.16712336323070734,0.1344864596510022,0.10793906189996719,0.044610049544578284,0.12590239921513763,0.03105723440857577,0.0,0.1461239938802023,0.0
"Neddo, Anthony M.",2804,0.02632783852700232,0.013115799151671348,0.0983273441223968,0.05319681381133963,0.015380936923960248,0.018331088584017708,0.18608282960314526,0.07731859598541059,0.08206878107424732,0.04344128045250978,0.21747326801362923,0.02585911453208014,2.7384691421279847e-05,0.14304892452716853,0.0
"Renzi, David A.",973,0.035692264203981645,0.023919135345362455,0.15998927016380798,0.036361966499738684,0.008309262488954788,0.026181680647691486,0.07276491480450238,0.122018301227479,0.14118537535082692,0.08233152571113513,0.06798551634650113,0.022908521164178196,0.002014501267458774,0.19833776477838133,0.0
"Knuth, Colleen M.",49,0.06345618540596114,0.0014911618121997035,0.20286661468393444,0.04122391913000689,0.004425084250840727,0.0005414799559203399,0.2796287286974508,0.07930302201285938,0.080788631761571,0.05245257648731563,0.07525528335835478,0.01669070711778882,0.0,0.10187660532579629,0.0
"Sheehan, George B.",65,0.006756022653511174,0.01951464576194632,0.3032181740543645,0.12266318646630328,0.009852420222157323,0.00020501659845922071,0.14958004785367357,0.17403893300589596,0.057034446958836346,0.03018235392497241,0.0749156977932361,0.004844296394727691,0.0,0.04719475831191613,0.0
"Parks, Faith L.",67,0.05689754287285778,0.03009962828535928,0.12313722970345266,0.06909255922864682,0.015515245155541578,0.023237447381606616,0.11051815450063378,0.06291812586816245,0.1772341189716813,0.11785867779157007,0.07551702847806331,0.004555316951504728,0.0,0.13341892481091983,0.0
"Mushtare, Richard J.",104,0.03066867286133935,0.015397277338304037,0.13731556440373044,0.04398758524687356,0.007152257376851582,0.011396871313895572,0.11712973482607651,0.15697829283572462,0.11249464004914726,0.03460905665972695,0.21333089026559196,0.024904798104919076,0.0,0.09463435871781907,0.0
"Porter, Matthew J.",93,0.06700465811290929,0.018127035909967087,0.16780271786987588,0.13015330208048678,0.00853639028985304,0.016224665720618526,0.1184706502839378,0.122749612182136,0.07634194686253092,0.04213215157667469,0.12423875562336356,0.015727624566063737,0.0,0.09249048892158264,0.0
"Pacilio, Patricia B.",53,0.029480768103144584,0.0187168663766055,0.09957286848441858,0.06482856724975959,0.01107216340749558,0.015465292799565268,0.16038442607579798,0.0742923158321822,0.07557309102880301,0.1117449961091704,0.13108014000789564,0.0783382894311658,0.0,0.12945021509399607,0.0
"Ramseier, William Frederic",48,0.042712885001294464,0.006188482499323845,0.0995190591288093,0.051647270860949245,0.08252312177471176,0.07239590654546349,0.15646522316456077,0.0853439334855577,0.14957069881940915,0.026413761283723136,0.07209643259283388,0.03594502303351083,0.0,0.11917820180985216,0.0
"Newark, Robert J.",44,0.02912825191105654,0.018532975170633337,0.23697591671987886,0.01963833767584212,0.004715708743902536,0.0022374732512463235,0.12962231434833768,0.14508148433140386,0.13865545070487412,0.017973967935224548,0.13757999463053383,0.01621979595789135,0.0,0.10363832861917477,0.0
"Smith, Crystal J.",48,0.025864135753235595,0.06838007346600426,0.2024736506904418,0.013852665733075014,0.005798477156941401,0.00019641265873460674,0.08798497039796864,0.12494699727603835,0.12860118057557887,0.07383156508955607,0.11698577146014684,0.011856816069282374,0.0,0.13922728367299617,0.0
"Roberts, Rachel A.",46,0.056506618893058184,0.024525111842811618,0.13094343641600456,0.08734539515751774,0.04890095127880305,0.0011297226690360704,0.1760019296734666,0.045951730297822097,0.07566746436404109,0.032132562871523114,0.16408921836525678,0.06640052419503967,0.0,0.09040533397561962,0.0
"Payne, Peter C.",43,0.018912274386721547,0.005892518549771442,0.21081195343273867,0.04506522895833587,0.03158140515085148,0.09341037552790399,0.08404160460901682,0.07319881282024764,0.09113972923688757,0.00447106610334881,0.09639047146404549,0.03113914036842009,0.0,0.2139454193917108,0.0
"Morse, David M.",86,0.02394819152062693,0.023280275944903648,0.13380258037022147,0.038482882645312314,0.015472922528082059,0.007812503025966696,0.25541480449934334,0.19047970893944552,0.0823133545734217,0.03323112364634473,0.10795435721019334,0.0064391684490553765,0.0,0.08136812664708303,0.0
"Klepacz, Edward J.",34,0.005725557021853309,0.020567224270927983,0.02582970171942601,0.16850254761737093,0.02977344524963573,0.0,0.11691989631473758,0.2689885771929423,0.054765432837629455,0.09044384670344731,0.10782084318047887,0.00034632034632034735,0.0,0.11031660754523019,0.0
