judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Neckles, Derefim B.",4293,0.03500544009731855,0.004769947314925939,0.15020457785415517,0.02900301869591272,0.02649068807872597,0.06516824621154772,0.02897904447980651,0.07582286812538803,0.12255280312500244,0.01747567831807584,0.23897321226460946,0.03606147566976892,0.0,0.16949299976476276,0.0
"Hudson, Sharen D.",926,0.014573624624120214,0.004892865076279097,0.1910965699701826,0.010358424974320487,0.029530920103555652,0.02200161562962719,0.014151022081375551,0.03830257603215437,0.056968076064550455,0.04990579130728931,0.35719364071978316,0.02815289660839175,0.0,0.18287197680837025,0.0
"Mimes, Sherveal R.",5783,0.0278162637460445,0.013338703616887115,0.134614247667318,0.051101574304317415,0.00869211444179478,0.027648258605670443,0.04737021817739181,0.0684899559095709,0.08713129378890244,0.0027574701652777604,0.2871612871427981,0.04369712358655792,0.0008966415472419023,0.19928484730022697,0.0
"Leo, Donald",1779,0.02458321671903843,0.011745530259686554,0.16798900434812342,0.03765441558241474,0.028375149410864612,0.040732335188868596,0.05698377091647375,0.07093044498303665,0.12762884450259404,0.08910058250225704,0.14819444019094172,0.02237974075486999,0.009505821683822045,0.16419670295700836,0.0
"Walsh, Jean T.",6639,0.03213102237774798,0.005100060737683836,0.11215971517429993,0.037109281627129564,0.02563428987326272,0.03383535906524533,0.038159304950870096,0.04245793236253143,0.10112495096168315,0.05210349713706369,0.3487422986626372,0.02598325206455637,2.0759215495428757e-06,0.14545695908373912,0.0
"Sheares, Robin K.",431,0.05854288922704882,0.006166328330238648,0.23405170068393796,0.0026647019002960584,0.006168512789847135,0.028357535198671343,0.026465810545045078,0.021268163139237094,0.16393613167945528,0.03103584712068566,0.23817392626324024,0.07814009449078035,0.0,0.10502835863151638,0.0
"Shillingford, Ruth",190,0.024268287494764142,0.022052764718373807,0.14159763446975476,0.05727118948814413,0.06521071060604239,0.043000236864006815,0.06394189322441475,0.06722277512184399,0.0381223024336932,0.012726310503627073,0.33192634585850156,0.05405345133255054,0.0,0.0786060978842829,0.0
"Cyrulnik, Miriam",632,0.007076089084890008,0.0010978131897465175,0.24227754682970504,0.023632467629727393,0.004070045969075619,0.030023175631460935,0.02864983784305934,0.1371533795957376,0.09042063706726378,0.08987001173746051,0.21146581735568495,0.025722337368120962,0.0,0.10854084069806745,0.0
"Cesare, Heidi C.",956,0.028588800238450927,0.014532967488478613,0.20238461855944975,0.06665055782656469,0.019478762438494345,0.08437866826793865,0.0702899067787179,0.060118887833258895,0.09381472447448641,0.08775542524384174,0.1233358841318838,0.029019728942343684,0.0,0.11965106777609068,0.0
"Li, Changyong",322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Abadi, Gina Levy",1278,0.01682327743348771,0.011069472120494799,0.1405421596900141,0.04056028044452038,0.03147416006032219,0.034474687203123314,0.038194654599052906,0.05608267667305064,0.11138611347147945,0.012035984092343594,0.2588688839659756,0.05222449844408286,0.020057136516951707,0.17620601528510066,0.0
"Haniff, Simiyon S.",10469,0.03264824074810119,0.004106305420268298,0.1609319483124821,0.05222320747791416,0.01131672849583668,0.02587610023962478,0.04686079242376031,0.07918301939724094,0.12018544642638601,0.05915554159256389,0.21608537347857143,0.032872164452672895,1.2885541947715838e-06,0.1585538429803826,0.0
"Park, Jung A.",3533,0.037305078671658526,0.026535980290711615,0.08393970697333668,0.027741951617541206,0.003002952573774029,0.0124080872203378,0.03458552838561299,0.04471751714350882,0.05794888130146372,0.01155671780237891,0.39292184937045044,0.038921456436395316,0.017857547665474434,0.21055674454735548,0.0
"DePeyster, Claudia Daniels",1781,0.023422827789484804,0.0029636131482287777,0.14951920122346968,0.06851802542386037,0.02306293747566759,0.06379860214287886,0.0556835983982007,0.06146636346753033,0.09417618699698337,0.06895551330212597,0.23177704066298696,0.025153957553855504,9.164439628314309e-06,0.1314929679750988,0.0
"Robles, Christopher J.",4345,0.029327614804854636,0.008099906134047869,0.11709852914372827,0.04120938840532184,0.004051004479172569,0.02033624559369879,0.01939224234957192,0.0375778781802722,0.05961174457713596,0.03467670706608159,0.43785927923823065,0.022259870918580532,7.433068172098124e-05,0.16842525842758224,0.0
"Rao, Archana",5829,0.06601992526629685,0.014414150082032355,0.2015492693991977,0.02641016375056103,0.023939963876131856,0.029638567733031796,0.023559095781532844,0.058499982834072276,0.10735649586088906,0.05517743011220336,0.19450259680501575,0.025624680462474406,2.1317399957431615e-06,0.1733055462965651,0.0
"Hecht, John",826,0.031215050225241674,0.016706549685408648,0.17542186809549318,0.047886306173571806,0.029654109013360398,0.09428488531816213,0.061969052745340134,0.048857420895400676,0.11609255202404065,0.07222493172431993,0.14743195545991014,0.0457031233069078,0.015822845981798596,0.09672934935104419,0.0
"Ambekar, Deepa",5073,0.035973692804199806,0.01377463038226347,0.19606125927812004,0.03137001668443719,0.008735584888839833,0.04615554145628523,0.025661326154485044,0.05067481323225866,0.08203351785823187,0.050174612749784485,0.24596732298970303,0.02332952888449926,0.00015949617345573878,0.18992865646343637,0.0
"Holderness, Carolina",4857,0.037280628622020695,0.02610273029144249,0.1787358266233455,0.04545649171120534,0.0053257014928488776,0.07030225695607403,0.0273512723557974,0.044116094421445616,0.1155853725120824,0.03039508435913383,0.23074169868451622,0.03779595709515769,9.106142091661535e-11,0.15081088478386848,0.0
"Schiff, Alan J.",2324,0.025031360725586253,0.021729023882882934,0.19595892765517756,0.023707572162121188,0.010847928477774082,0.0690104106405947,0.015497568916063756,0.029829759038852422,0.09669810872012358,0.0038622934131625785,0.26718071290741746,0.06340265206399803,0.001594641786136517,0.175649039610109,0.0
"Perlmutter, Adam D.",3838,0.030914624228684615,0.004228248141257627,0.1968200153203133,0.022006536766729735,0.01361378041623057,0.04101711164121771,0.027230943824048365,0.05360197072648167,0.10615844025499355,0.08032463410884816,0.1825929659157473,0.038811188452127526,5.9416835987002776e-05,0.20262012336733282,0.0
"Sciarrino Jr., Matthew A.",3836,0.03736944379572326,0.01618386599595692,0.213661371281895,0.04918671860835781,0.037441612007319616,0.03175299727339141,0.062390802177127745,0.08780429654285136,0.14729372799941534,0.07775527345182033,0.06886902340421357,0.01747695308676255,6.445847726327387e-07,0.15281326979039242,0.0
"Cheng, Leigh K.",6094,0.01905328810181276,0.03385604340591895,0.1951460867348984,0.0445469484392737,0.020386395541630083,0.02876146253314333,0.03240890139514833,0.07348318845893372,0.112049366390307,0.038900282107305756,0.2001911928265626,0.033079760641347405,0.0006378942846715357,0.16749918913904632,0.0
"Petersen, Kim",2783,0.030119578805168537,0.008089621524367163,0.16132838463338542,0.03067189922653209,0.02327831449335081,0.06410727517322809,0.05748716527551459,0.06007766732933174,0.08584333679014683,0.07693091904122198,0.21687608018130963,0.03861844700348287,7.653299572532216e-06,0.1465636572233878,0.0
"Lanzetta, Claudia",2254,0.011001400370478108,0.00400771036613278,0.13241866737285737,0.02964054107014151,0.012472080458429655,0.0016118841395408828,0.01294780916183897,0.06721601721226751,0.08458078047549211,0.00620554263439702,0.40822413009236846,0.0389582814690236,6.703874476207093e-10,0.19071515450664467,0.0
"Hayes Torres, Patrick",7044,0.03650613514153567,0.029155464031898747,0.07579596314005622,0.010508904107571186,0.00349515750825013,0.030862387605424868,0.028701486987522465,0.050220809722171356,0.06478685662548168,0.0004638743924998383,0.42902628998365416,0.0650845761059654,7.531549239189838e-08,0.17539201933247586,0.0
"Auguste, Germaine",6689,0.02026287928581997,0.046493938466245555,0.14734701105839695,0.04922989901276363,0.011275222893443657,0.03922012721171522,0.0379462920114872,0.04692686297276069,0.11223174672180251,0.0694843331749538,0.16089910097986818,0.06555043362101917,0.011478851687238714,0.18165330090248485,0.0
"Aragona, Maria",2146,0.02453929298903024,0.013675856755133125,0.2957456051518284,0.03479677316320729,0.05426569237864582,0.027464844317560216,0.03388653539502112,0.06528937333414181,0.14361373717752116,0.02704063019165874,0.08345761898255638,0.016824085709878867,0.0,0.17939995445381698,0.0
"Tully, Jane C.",880,0.04470069027477051,0.008451802010960265,0.17466100873819632,0.028432652530193357,0.026077769059114176,0.046628791624749456,0.012860993582820507,0.021583325296272406,0.1330865330113785,0.08749502920715621,0.16495651629362126,0.043187298579850014,4.454817853096846e-05,0.2078330416123862,0.0
"McAllister, Lorna J.",407,0.007661635842208413,0.00816668797150286,0.11948095447636256,0.0843539212040758,0.09555549952157741,0.04903147747071918,0.08016013022245326,0.03359747135284095,0.056323241525579784,0.022756504211313623,0.25519830126358306,0.022413602065336997,0.0,0.16530057287244615,0.0
"Robinson, Devin R.",7124,0.02007852234693809,0.0014592552653837601,0.17057630244823252,0.03526976835901002,0.008723978161703293,0.0011077155685946139,0.05884475080579569,0.06432260107146055,0.15010626980692196,0.03246390549416407,0.24296343299976314,0.04089213992378694,0.0,0.17319135774824543,0.0
"Riviezzo, Dineen",782,0.03844361613603891,0.013472082645547211,0.1625983136513886,0.06217400839827491,0.05266202194948636,0.05159246717991948,0.05053774332802819,0.08520541488314949,0.13043895014430687,0.08892590466779143,0.10256964986969305,0.017048287924225462,0.0,0.1443315392221502,0.0
"Rodriguez, Raymond",1203,0.03949537723708768,0.008229536701221916,0.14630208905242884,0.030382424037095675,0.026804111994673533,0.06358403240860269,0.04622839418192857,0.058958352698101874,0.13212005196546692,0.0747428952347065,0.17670853876251907,0.04234526478245507,3.900924509480097e-06,0.15409503001920222,0.0
"O'Neale, Inga M.",6626,0.02479257109558004,0.003748533524582715,0.13967674110883996,0.06465960531544149,0.01278318486064686,0.03935724516208048,0.03134422025867258,0.04913662234381603,0.10188477841086399,0.01027327631367951,0.2802628681036448,0.0631087283881684,3.538363386956859e-07,0.17897127127764448,0.0
"Yavinsky, Michael",646,0.08106305937095512,0.0018870566112410437,0.2112689768655031,0.10463630368781514,0.01171099195934271,0.002915607523799253,0.04153840937376304,0.07536587881032093,0.11760615839270634,0.0019660009738531963,0.20902590006472457,0.045740520675220775,1.7617843054077723e-07,0.09527495951232415,0.0
