judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Misiaszek, Michael J.",2676,0.024555129667370567,0.011517498555418317,0.11108274686158369,0.04318044249420092,0.035363572471216825,0.008552560057932786,0.14718413205391687,0.10562870484020218,0.08676961894795836,0.07720322179505168,0.1605762641853628,0.01296551748920235,0.0,0.1754205905805827,0.0
"Miller, Robert J.",47,0.0281201242473516,0.0037200701004938674,0.2452006284180257,0.06149806059313152,0.03577478380818227,0.0044328165374677,0.1636995381310033,0.053160593092887794,0.07831514346646905,0.05206961566161752,0.15510186896046474,0.03940263726919098,0.0,0.07950411971371403,0.0
"O'Sullivan, Patrick J.",145,0.022578576951494914,0.0161663471537222,0.1405099685355411,0.11454366583592183,0.011046865282580538,0.03051393090777445,0.08781210319320158,0.08813880157766693,0.129346927212318,0.08494786053624173,0.06859575265071219,0.04791716524455957,0.0,0.157882034918265,0.0
"St Leger, Michael Gerard",39,0.0436719155804741,0.01848554916822802,0.13278528058155517,0.015909655577476034,0.01279262286545914,0.08031588314277725,0.21418901002118304,0.056036763741258974,0.12508940087331546,0.021389526443333376,0.09722543982443002,0.03593557011013443,0.0,0.14617338207037509,0.0
"Betro, James W.",99,0.0058403133662694685,0.0016368687352157293,0.19295809347676604,0.00017426563270195273,0.013680154055318678,0.0016898741327293746,0.12850053290466065,0.054143820936366965,0.1562652814373068,0.034130160351417305,0.30182972855966583,1.679024285408067e-05,0.0,0.10913411616872719,0.0
"Fischer, D. Christian",47,0.035000186616385126,0.009964759164091811,0.16942195116969044,0.0038258038258038246,0.018205409925860158,0.002732717018431299,0.0914635407451463,0.08205445842893615,0.20490952443988678,0.08206895945337364,0.06923513640725555,0.13339133253605373,0.0,0.09772622026908523,0.0
"Youngs, Rhonda",75,0.02562132734899234,0.013226770560414002,0.17612958314322769,0.05478945446063894,0.03883249264347831,0.00013632765886978135,0.09395515322096838,0.13519894961621615,0.16652400656887173,0.057926385960418054,0.051766358437866096,0.04067833721805252,0.0,0.14521485316198604,0.0
"St. Leger, Michael",89,0.021163010247027592,0.009883756869631756,0.15692572975401084,0.018657387053863585,0.014944920708843618,0.08782430496607589,0.11472083354454654,0.16904571504281676,0.14406188980133616,0.04329024592014192,0.09020331037541514,0.02052370301695772,0.0,0.10875519269933247,0.0
"Moore, Henry R.",33,0.02768298395270925,0.03791609988293667,0.08515886150134311,0.1341339660437781,0.03133325553556446,0.0,0.2221410862739559,0.12482825183609474,0.0964902053715756,0.029483360477513768,0.10662160771499239,2.6442148137932966e-05,0.0,0.10418387926139804,0.0
"Finocchiaro, Peter M.",68,0.03643156742445872,0.003160595239811087,0.11278969073458907,0.0038469245609030573,0.03448493011471675,0.0649888422926022,0.23980001873439172,0.13802011739590012,0.0992692599849692,0.03637647052287747,0.06560836638818943,0.06585014157090753,0.0,0.0993730750356837,0.0
"Rapasadi, Grace E.",24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sabino, Nicholas V.",43,0.06976746279380229,0.006353320296262573,0.1592175620414343,0.04497265895907627,0.015286312682670533,0.0,0.25974693889615913,0.16634033067785833,0.06390597492451108,0.01947205793282876,0.046355592319590404,0.010498061249268506,0.0,0.1380837272265378,0.0
"Sudol, Christina M.",23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cerio Jr., Donald F.",107,0.025768518913682162,0.03291212167557061,0.18284738689916794,0.01965850368557507,0.015346956371768718,0.004326542093418797,0.09143748339416265,0.17217301721265682,0.11815086387937823,0.037971536523326105,0.0633875836680257,0.019046081259502464,0.0,0.21697340442376484,0.0
"Button, John D.",27,0.16566104585070102,0.0,0.050968169761273226,0.00039408866995073894,0.006206896551724138,0.1719362447896931,0.1869645225464191,0.06132294429708224,0.16382625994694963,0.014644562334217508,0.06320789124668434,0.05487400530503977,0.0,0.05999336870026524,0.0
"Haight, Donald W.",29,0.10555943274803939,0.008542194097612057,0.21235183671563718,0.0,0.07234901469359675,0.0,0.22771934481979875,0.08779762360288373,0.08269603189666702,0.06433034027513534,0.04258048321615575,0.0,0.0,0.09607369793447418,0.0
