judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Yacknin, Ellen M.",2349,0.01645454790617238,0.011867446658582026,0.10778189757622238,0.07369780416299421,0.021184214709778666,0.013924687777809228,0.19545093653223847,0.09540471253957168,0.062381056688631545,0.0390253729436888,0.19684619614594556,0.04972852216084312,3.4385243629452326e-08,0.11625256981227824,0.0
"Miller, Stephen T.",1947,0.01969360075985942,0.011291733267713537,0.1279365041723792,0.07133937782080295,0.017475008288901445,0.008170152809764063,0.17642444303360683,0.09286823219882709,0.08487389171526315,0.05097456749239915,0.18756578697148138,0.03631714135166694,0.0,0.11506956011733495,0.0
"Dixon, Maija C.",2453,0.020898899091610072,0.010413458083488663,0.12822253035216524,0.09106557012043015,0.020472586977216305,0.01795824697358896,0.16176791670403423,0.08055624290568104,0.07692612037218949,0.041235196472535735,0.1827652381945359,0.06530257464151301,0.0,0.10241541911101121,0.0
"Lopez, Michael C.",2991,0.020007108710843435,0.012366610653577179,0.10375891201014481,0.06721545629686465,0.01356301468654458,0.008463733285254236,0.21919587554884468,0.08975372120188845,0.06399142110812599,0.04103806441152875,0.22251343797504658,0.03477069936352171,1.8278736049929414e-06,0.10336011687420968,0.0
"Romeo, Stacey M.",648,0.06651123367700455,0.00969864757984579,0.08079045978784,0.04173159136696451,0.057798841966168794,0.06640371160155874,0.00028973828983966355,0.0034606947969626455,0.13324696844013276,0.0872218394046591,0.1929075851898692,0.02946732289086503,0.0,0.23047136500828927,0.0
"Morris, Nicole D.",2041,0.019592923737560115,0.013152762935158357,0.110495801443618,0.0746114401173212,0.0238484280194459,0.007268168066261471,0.18867742738001805,0.08639412459458982,0.06696324094230013,0.03885501963935596,0.21553175972017918,0.04420807802119328,0.0,0.11040082538299849,0.0
"Nesser, Joseph G.",41,0.04848519049458234,0.024069646357084848,0.05883193236114254,0.00015483131005362613,0.02283409874227355,0.0016685434448592484,0.0,0.0,0.10240299731232638,0.02215553541870524,0.11343865626206712,0.039028751158403006,0.0,0.5669298171385021,0.0
"Barrett, Melissa L.",2255,0.01520682320328912,0.008274438122057918,0.10190645363330868,0.08489205089198264,0.020530613709704486,0.007974630409276137,0.16765204411522408,0.07272480446364628,0.0622303176832903,0.04549744172205272,0.25638226179148316,0.0436747701456148,0.0,0.11305335010906975,0.0
"Lee, LaToya S.",1015,0.02144978001507195,0.010387551753784965,0.10203468903286113,0.0494803198401108,0.009552343905115487,0.01058343415148556,0.1969982243190147,0.08978183387867159,0.0627276429580337,0.022528412372491577,0.2292380753601018,0.07502773634350055,0.0,0.12020995606975621,0.0
"Grippe, Jacquelyn",649,0.016112405789728158,0.006028439004494926,0.10671422421429874,0.05194581365688599,0.019784177511395107,0.014974857947437059,0.15644619045069671,0.07867526877012902,0.06334167936376117,0.013298593829289359,0.2648938949469675,0.06747176218634579,0.0,0.1403126923285705,0.0
"Johnson, Teresa D.",2207,0.018511775231353146,0.010763116808940827,0.10019925921714362,0.0723116154855919,0.01948329008693942,0.011144762867999874,0.19945943454953774,0.08183716981175229,0.0616598022876562,0.042861822567771206,0.22574021242533251,0.050422507940647676,0.0,0.1056052307193336,0.0
"Hahn, Julie M.",216,0.03818320594379061,0.01672493533001669,0.15247712139317518,0.1046898409219502,0.02109086651551931,0.030236297858475626,0.03632992099166958,0.09967155711594299,0.13339959031038615,0.06206047629757369,0.11301157921235609,0.03381871279640597,0.0,0.15830589531273792,0.0
"White, Van H.",851,0.02014518480526488,0.013593877783242402,0.11293280992086524,0.06173998213323136,0.0118847043552209,0.012195336337251039,0.17564288645544654,0.10486904803464625,0.1034991211829173,0.02228264614363367,0.21310202043399648,0.04847761251702577,0.0,0.09963476989725821,0.0
"Crimi Jr., Charles F.",2475,0.015012195479117307,0.010926749591264434,0.09870771633879173,0.06775874954559861,0.015229179145959927,0.01055355085664662,0.21620216588435615,0.06966890606505084,0.05372710342879913,0.032821939009910685,0.25943959863164245,0.0344180786748173,0.0,0.11553406734804483,0.0
"Dollinger, Michael L.",270,0.04852648699370929,0.024004544076488513,0.16605379793298855,0.056269416806445205,0.013869516892693147,0.021348899509567806,0.05332123078917668,0.08878909643129289,0.11936341847778141,0.07351922964378423,0.15136056465124956,0.024248062718952235,0.0,0.15932573507587058,0.0
"Moran, Thomas E.",214,0.03497997364363945,0.011276121375505963,0.14673906199522527,0.06452315780908097,0.042867562034803804,0.1290827698232161,0.0503025945376802,0.1100757383320525,0.11944963258693257,0.09101400512607405,0.0648134530965745,0.023344622031190768,0.0,0.11153130760802384,0.0
"Morrison, Caroline",1317,0.02299850980117823,0.01920082311613899,0.14792842101602838,0.06470242910900159,0.017389419340995343,0.010149815438940446,0.12917605217205425,0.07862785179745578,0.09436172610226982,0.08642414581194614,0.15947099382776095,0.03845267968391982,0.0,0.13111713278231032,0.0
"Vacca, Meredith A.",296,0.037333241821433605,0.017423709299842233,0.13590763678291048,0.05916207101845143,0.017161596631619137,0.04350926266125345,0.07670260770289858,0.09556274407128112,0.12199505036248257,0.06354530797325306,0.12945461475209527,0.026932764716474693,0.0,0.17530939220600442,0.0
"Vazzana, James A.",68,0.036418782822717904,0.02599004887556328,0.12016324759938567,0.01749581133657578,0.003694902048258268,0.012301028638792627,0.0026559299286571963,0.04498665360667912,0.16448590807045396,0.12041482455093569,0.22012037944383758,0.027016549303292642,0.0,0.20425593377485032,0.0
