judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Girardi, Joseph B.",642,0.0434898055008443,0.011626395928590237,0.1741601189426863,0.116788386888287,0.00893958473461866,0.04155512938712113,0.06114823153969263,0.0533429049253078,0.09686714218324749,0.05465273514977923,0.0950579993708198,0.10429597764913297,0.0,0.13807558779987253,0.0
"Levine, David I.",6137,0.05602036187299343,0.004770526856058885,0.21771364109119207,0.07512602875279502,0.032959450437536474,0.017138427962819672,0.02464110170295942,0.04149077614475455,0.08257767192865081,0.0626779340026484,0.1301659632336994,0.053300993439647656,0.0,0.20141712257424427,0.0
"Paradiso, Anthony William",1844,0.04174168353515982,0.004664784058173921,0.14507803950669093,0.029789199900209166,0.02410843882271774,0.03796948268114003,0.0340845186543706,0.126128477865486,0.0858612281250785,0.05698358659374536,0.1031304238474299,0.07974572849475077,0.0,0.23071440791504733,0.0
"Broderick, Maxine Sonya",990,0.05571371779064429,0.028064836056459895,0.14349803024641322,0.01689867299288824,0.010274944813590288,0.0644625845507997,0.016741156020732697,0.079482688216687,0.12632951043949145,0.07307622437949546,0.12430951214132088,0.09919184838327841,0.0,0.16195627396819856,0.0
"Nocella, Jr, Joseph",3908,0.06708410740449829,0.010519619091083158,0.15968149175043728,0.05398735767163372,0.011568568966898224,0.02857411058551627,0.05287984365597334,0.10417580566925094,0.0928301623813716,0.07232849123585804,0.11933143249234487,0.04719394102658517,8.246557987900974e-07,0.17984424341275043,0.0
"Muscarella, Vincent T.",3356,0.054323113140600766,0.005970687111229012,0.18517524088448692,0.10331286035402235,0.0070687408078051505,0.023027428292841635,0.046047753489556656,0.057883486883934736,0.06344961293742428,0.007353596843451596,0.1766252233016343,0.10174426503584537,2.316394782794171e-07,0.168017759277689,0.0
"Wright, David W.",3816,0.05359353160337819,0.013132978442357768,0.10985878258484372,0.07250341741969195,0.027544328555020932,0.019010269407555378,0.05154734574722651,0.05631270089515243,0.056412949954637616,0.11201736677031421,0.1908556110107204,0.08234259002232054,5.128989761491288e-10,0.15486812707388123,0.0
"Lerose, Douglas J.",686,0.08210237828009509,0.011641701449274164,0.22910195875377448,0.007100982806591758,0.012314216359728737,0.03890595662941206,0.0011635505138376905,0.016740930615991648,0.0880103445577852,0.08608538514033623,0.13152795690556202,0.06231069506603094,0.0,0.23299394292158004,0.0
"Hoefenkrieg, Christopher E.",262,0.053177549307699946,0.0003867272036762073,0.1391289367126584,0.04160231963312089,0.024760792653875964,0.07021682842241551,0.030521744467755928,0.04999071754600271,0.1167436606831457,0.08779792796800504,0.12107359569283131,0.02198932659880848,0.0,0.24260987311000398,0.0
"Moroney, Karen L.",5985,0.05795265519806739,0.010311115772075892,0.11615152536192472,0.05995064135390394,0.006953526742674878,0.023044047145849705,0.03594137428385515,0.06255352007492575,0.10315796136392824,0.05491823120575356,0.16696016845499506,0.08753624523511139,6.100432381520618e-07,0.21456837776369614,0.0
"Petrocelli, Lisa M.",6486,0.041413730204911486,0.015667278866893408,0.1481560625701798,0.026822881012587164,0.007207733619824405,0.040839705156273186,0.029886287625988207,0.04574827253860308,0.08700480245915805,0.060400682626006084,0.2151443740167312,0.07981385238370096,1.5791374642156075e-09,0.20189433534000545,0.0
"Prime, Geoffrey N.",3042,0.06362867866712367,0.007787292733239411,0.1970912939765183,0.04973429131408351,0.013200443750046165,0.00284854368856274,0.07014492436192192,0.113820860901671,0.12239828345541973,0.01253651312300947,0.06259281988497682,0.04062623993539149,1.5643074301245291e-06,0.24358824990060557,0.0
"Coschignano, Christopher J.",3878,0.03814833062508793,0.015726876097694673,0.1145950400157075,0.042823338159276976,0.016650893585290594,0.020326602805276733,0.010368522339867292,0.04042846386114774,0.06033844839814094,0.0571253893722359,0.2933044785538893,0.0640062590864392,8.569775608007409e-07,0.22615650012238453,0.0
