judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Weston, Cori H.",781,0.03456176127649395,0.01687793754377455,0.14600945225718637,0.050652177578638206,0.007864676706419075,0.046030827722525015,0.05902975671001181,0.06413062113003465,0.12512138533435993,0.17854452296200457,0.12764513365338093,0.027886163560845435,3.09033401317263e-05,0.11561468022419405,0.0
"Ryan, Michael E.",4213,0.025369526443241714,0.004053573448923631,0.12115884471146011,0.03671037897389138,0.00617890055595512,0.02859263662808035,0.02670733084454855,0.03962520478957621,0.12498574774926978,0.04424417028823645,0.23904998336657887,0.08852843716038589,0.010737532823306426,0.20405773221654536,0.0
"Pauley, Rachel S.",4413,0.07770719668730046,0.026459755156111302,0.16300369485794675,0.04351828413415384,0.025053853174206595,0.04585149596632501,0.0304228260991325,0.06484456364511133,0.11145701030215704,0.03746343789024903,0.1433768909214712,0.05175274447151195,4.171099567549909e-06,0.17908407559475562,0.0
"Kiesel, Diane",1252,0.03521689665374893,0.03555164262462295,0.1600349144198588,0.05754186031797156,0.019347190543903773,0.01732458868503681,0.05966115287597929,0.07976242317401432,0.1300233936233316,0.12889436579900518,0.07329268772664425,0.033147510883203404,0.0014783217411104283,0.1687230509315689,0.0
"Morales, Valentina M.",3154,0.03465086679890819,0.008510993324545302,0.19063928006233205,0.03418383691431794,0.018986520767286998,0.01816331644061905,0.055693832878876616,0.05731033688186089,0.09846321615852072,0.042167213797593854,0.19915770732413438,0.03312470290160553,1.3786040375335643e-08,0.20894816196335797,0.0
"Rakower, Eileen A.",107,0.01368438016307549,0.005954674308841405,0.12202098597094614,0.29447287900124525,0.0013744948181393054,0.00013115756826449649,0.05841651733536393,0.06412901705360688,0.11271363214674435,0.0,0.0794391585548132,0.1453036929598989,0.0,0.10235941011906077,0.0
"Weiner, Jay L.",5749,0.04168544909883388,0.007077163646004483,0.1683748424080834,0.031769471034418524,0.01026783522584253,0.022345338138877208,0.02790094192297222,0.053621909292656984,0.11258256974044523,0.11057518106322634,0.15963452943362758,0.05407628333665047,0.009860541714376303,0.19022794394398485,0.0
"Schumacher, Eric",5482,0.037624216606386846,0.007961931259401277,0.1923353733004678,0.04281177826522837,0.011512014833492023,0.015451474262987796,0.04540839607480603,0.06587853993628892,0.10186482680821596,0.06815323729011794,0.16709732489408133,0.0460353282271078,0.01603804888577151,0.18182750935564654,0.0
"Goldsmith, Pamela A.",2623,0.008139733499612039,4.8640027357019606e-05,0.04507057562792228,0.024474445908091284,0.1377927273991694,5.429487128534982e-05,0.0701107419859451,0.05053396936675318,0.06948417331216374,0.0,0.06812955940961724,0.09379108877838323,0.3373092168592233,0.09506083295447694,0.0
"Farber, Curtis J.",1171,0.051657353594260394,0.016322121802439454,0.15266815010138857,0.039581460561757854,0.02567117102712646,0.03494407215818457,0.049333135418536775,0.06859616521802034,0.11432541349666545,0.10468552017610394,0.13017391763306504,0.02024404631021128,0.009470315185542954,0.18232715731669705,0.0
"Wang, Zhuo",5445,0.028463173332774667,0.017419933038195334,0.15863816971546985,0.05839563114853008,0.041498401275435345,0.021573381246260927,0.033656313694681146,0.055483589654797584,0.08745077585840107,0.076852042925408,0.18202041758920232,0.06487886228509335,0.01061910558896972,0.16305020264678066,0.0
"McDonnell, Paul",5667,0.043023920845593935,0.007697637327701602,0.2107524421220086,0.03539242291941717,0.021679387353682203,0.01970479938885057,0.05419265924114646,0.05186858303795489,0.11112261221304072,0.06244249525009395,0.14611367299043768,0.04914587508652989,0.015762798682668402,0.171100693540874,0.0
"Moses, Herbert J.",4368,0.01686501874707648,0.02149795503741716,0.17376342530830233,0.03912964929356412,0.015819428227853368,0.014638562365712234,0.07440209952532603,0.0930863892164653,0.13356126745574387,0.05574243190568147,0.12412044688595111,0.04439290831910563,3.5982013890935286e-05,0.1929444356979099,0.0
"Statsinger, Steven M.",1735,0.06183237230489084,0.019581146408795377,0.22519784391808234,0.05777830349575812,0.034878596125461424,0.02864227113066699,0.050048841665825086,0.09063796598384208,0.17396491562357128,0.10412050748612164,0.0375112651699674,0.013779927682932687,0.0001220033744694944,0.10190403962961518,0.0
"Alonso, Marisol Martinez",3930,0.024032750635003937,0.008468491835469,0.129619704845227,0.02795267018466456,0.004809490935528316,0.01823330284736909,0.019042045469308273,0.022569613973828333,0.0821361545122194,0.05581290371782405,0.2791633714420829,0.10924149475131824,0.0002729403374779156,0.21864506451267907,0.0
"Maldonado, Lumarie",4875,0.04612530729191051,0.020648818211955546,0.16215867392645505,0.03620416755790849,0.018121861991976074,0.04263027265242793,0.035879889274028215,0.06105365349226413,0.11361186328507622,0.07299445607291362,0.14992649281830298,0.061801005084057864,0.015185104303167132,0.16365843403755637,0.0
"Diaz, Nestor H.",5333,0.03423557458098574,0.011773559280097837,0.19957082846250648,0.05579625472641009,0.02344628122358959,0.022908529809147152,0.049759210864957715,0.07006071329283435,0.11674679228380669,0.06105065499431057,0.1611618801353302,0.04043234947435079,1.6559230684834538e-05,0.153040811640988,0.0
"Davidson, Charlotte E.",1640,0.02770658325520356,0.01098232884608756,0.18045031332971853,0.06434453538259462,0.02491905376335686,0.025500038564278654,0.07905382659457642,0.09757307487710311,0.13342585900414694,0.05111577758286586,0.11986728639679656,0.0266591930911295,6.929568259894261e-08,0.15840206001645915,0.0
"Stein, Saul",2177,0.03308456465145484,0.013278920378376403,0.18843363098109608,0.045305391689029736,0.009160118238246352,0.0020491682685833982,0.061275017484483475,0.10994294478760447,0.1778656048368494,0.044384312070736814,0.0917096490236432,0.026816696579412946,1.5767132797303366e-09,0.1966939794337696,0.0
