judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Faso Jr., James J.",2875,0.04207190415032876,0.011516768304001201,0.16687093288336885,0.049761135545084614,0.030719914137315354,0.01950351506378837,0.06638776318168609,0.11338237036903628,0.08317765790013265,0.08677993122613493,0.14784449461080795,0.030232823867244702,0.0,0.15175078876107032,0.0
"Watson, William J.",3054,0.03359487202140277,0.016166241798349877,0.11403698978357886,0.051130305454658756,0.0257135506408228,0.015103412737985229,0.11070626681681744,0.10017469510227751,0.11715403147463163,0.06170295896987074,0.14866423150375105,0.03820421067271561,0.0,0.16764823302313772,0.0
"Vitello, Diane L.",2530,0.0472793363908317,0.02277543418478608,0.18841564989519646,0.033284255228768836,0.022256115190453018,0.020329674966434848,0.06259080148606076,0.11396386822523817,0.1098140629715607,0.08604407776156366,0.11004337493586254,0.04478587269471074,0.0,0.1384174760685325,0.0
"Faso, Jenelle L.",867,0.05802237408767954,0.011977248394342046,0.13569776652464557,0.03327520726162037,0.023939156538891466,0.02459234277370813,0.17576345530464277,0.0887828097207035,0.08884523901389194,0.02748872964953602,0.13426175898650888,0.08064380473738712,0.0,0.11671010700644263,0.0
"Nickerson, Shawn P.",2817,0.030197934130689573,0.01186226562344526,0.117294785191502,0.09412558057344814,0.028502374740989492,0.005778872122562028,0.13617857751620036,0.12619337085882337,0.08139820278834073,0.05523003647152129,0.13344820299037302,0.024276526828021113,0.0,0.15551327016408342,0.0
"Restaino, Danielle M.",1837,0.029307161151258705,0.05585267036188172,0.13694124082703238,0.10066446252948354,0.02708574503228125,0.014448172983013825,0.05948067559775229,0.07545253212092916,0.08437256594581137,0.07182347856811734,0.18789498707998514,0.03746437400730158,0.0,0.11921193379515159,0.0
"Kloch, Richard C.",184,0.04306626640320259,0.019854248583017365,0.13719526123086084,0.02903954003944291,0.026518298598457456,0.02648274096462451,0.04251505674543628,0.08012928398564093,0.14417353857707293,0.07295966246239792,0.099132617643262,0.09539840415513723,0.0,0.18353508061144716,0.0
"Violante, Mark A.",719,0.03505960832771646,0.005622133609481028,0.10472845728709768,0.03194719971845768,0.012285445022550669,0.008790435078068851,0.1114275836775745,0.09366396417199205,0.09464559675866578,0.04440657451934957,0.17017296620386166,0.11853968140722908,0.0,0.168710354217955,0.0
"Alexander, Katherine D.",340,0.043771540203808856,0.008887311392461312,0.11665168488167746,0.06606128874873428,0.03406529731092344,0.001462026016499564,0.16025906594378492,0.1638683722399121,0.06770037500991333,0.03722158832320912,0.09475070843849938,0.06096950763677483,0.0,0.1443312338538014,0.0
"Wojtaszek, Caroline",618,0.0448845233187959,0.01359910128539255,0.15283722534737718,0.05216384105353518,0.01886065670257868,0.042425477172001756,0.051280046950253615,0.08788746031708979,0.10527090612472838,0.05164258642342898,0.16431842658600956,0.0560342965069436,7.358846132053729e-05,0.15872186375054428,0.0
"Brown, Luke A.",416,0.05174408029170187,0.010965722919427977,0.13540073414851603,0.09231858205742736,0.03002679974198931,0.0042077505829770335,0.08145654074026237,0.11303582310474102,0.07380012070994951,0.025377845567921366,0.11013094199269684,0.030501064355896612,0.0,0.24103399378649282,0.0
"Ottaviano, John J.",252,0.04686103005882101,0.015160750148239938,0.13127709778830587,0.03547201074433042,0.027563029207313922,0.015057243364734539,0.0864418418582015,0.08211604551789935,0.10192739870701331,0.09523831837237182,0.17012857138631776,0.027848492343292383,0.0,0.16490817050315823,0.0
"DiMillo, Thomas M.",298,0.018598573646334222,0.012556691530774449,0.10733165885868973,0.05861229047507079,0.032055983840037064,0.006314365533584041,0.24782286092453026,0.10726606848034846,0.06792250209283769,0.04025109509162771,0.1475035941186584,0.018137712653731448,0.0,0.1356266027537757,0.0
"Haendiges, Deborah A.",35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Town, Rebecca L.",564,0.061057164560270064,0.013454863924841564,0.11067712694338343,0.035216795968609764,0.017025304051593044,0.021199843883935386,0.16091329318034125,0.0919343649343539,0.07835947896213365,0.027861974206313513,0.17529781458421004,0.03599920882154465,0.0,0.17100276597846983,0.0
"Antkowiak, Cheryl A.",27,0.07557260239760238,0.002599357164574546,0.014517754972300415,0.10874641158259714,0.0006279777914393168,0.13017009775938349,0.14331393606393608,0.1834080205508777,0.2587782652130478,0.0007574425574425563,0.05074939346367918,0.0,0.0,0.030758740483119357,0.0
"Mack, Kevin D.",39,0.011635430678006221,0.006521913414515978,0.20058602491034677,0.055868857938963526,0.0037884675865189486,0.009392642506092183,0.2110697323261309,0.19768713935428542,0.056672601065018965,0.029223174639426558,0.0785145333754698,0.026763226568234988,0.0,0.1122762556369895,0.0
"Ark, Linda L.",49,0.013037287958512512,0.05224218849768108,0.12564654480515064,0.19228403993063276,0.0030218933086648154,0.0002747175735149868,0.09713038048812538,0.06693063169497229,0.03988986136474273,0.023934564189536434,0.050682211681700784,0.16404813531079246,0.0,0.1708775431959732,0.0
"Murphy III, Matthew J.",108,0.07263328888419238,0.010437059361732231,0.12255691539039644,0.03485583408726397,0.008186927790784782,0.09790746353037816,0.069747032353076,0.08488411588079889,0.12457391314104763,0.08301429326891224,0.09912158519280206,0.04443044740027656,0.0,0.14765112371833855,0.0
"Montour, Mark A.",58,0.047762731337050064,0.00041518441896157217,0.1320755836692138,0.0,0.14808214581221535,0.0029217732356734754,0.23992588719764768,0.12190387820052458,0.15276680952729818,0.0211944614891222,0.06722112805270088,0.002874296532012524,0.0,0.06285612052757969,0.0
"Sullivan, Joanne L.",35,0.023619282098883605,0.007176076054369548,0.07310107044711825,0.0,0.0,0.005575715134538666,0.013529236145869011,0.23004247271825398,0.10030466466513666,0.009469696969696973,0.3580108749775755,0.102112246413717,0.0,0.07705866437484085,0.0
"Martoche, Amy C.",22,0.05518639904004787,0.0,0.12019938899311415,0.0,0.015888305412464266,0.025315584756524952,0.16119812345144272,0.1787977743545509,0.09680892382069038,0.015697627129846656,0.05236509130417799,0.15223830387457604,0.0,0.12630447786256416,0.0
"Restaino, Anthony L.",80,0.16134170467817358,0.005936563827097211,0.07823751449978521,0.05695414106291278,0.004196882490638163,0.08237798828139191,0.10511391565861213,0.0722867295363745,0.057778932896976165,0.029318377437256342,0.15732315386126702,0.09827935339704502,0.0,0.0908547423724702,0.0
"Jowdy Jr., Amel S.",29,0.0346802432704148,0.014780861839685381,0.03728076206011343,0.0,0.0885187791591733,0.00010829542993285584,0.3992522200376608,0.329573073309924,0.020996779971533666,0.0038304651020614217,0.027247622444429846,0.0012293655304738988,0.0,0.04250153184459662,0.0
"Stamm-Philipps, Angela",41,0.06355491730491729,0.0025358072916666693,0.1063792067307692,0.0,0.015553635817307681,0.0,0.24973593493253243,0.2282845867925021,0.04716715910410886,0.09020274097667665,0.051168163200030675,0.00024888306138306116,0.0,0.14516896478810537,0.0
"Wagner, Laura A.",40,0.12918706103061364,0.017989633223237166,0.14813663095266763,0.08716354068679627,0.05694282706666606,0.01825302320658359,0.003987075876152353,0.07691567375140497,0.11770347063764088,0.05042864080015784,0.0705683922613382,0.09028124916207496,0.0,0.13244278134466655,0.0
"Marble, Bradley D.",43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gee Sr., Hugh C.",26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
