judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Magnarelli, Ann",1066,0.019340992408818408,0.014834369184891002,0.11340056173343409,0.04864724908779136,0.023515868322808584,0.014762617281776344,0.2084686251528305,0.07578330059934119,0.0642944374561535,0.02972924462340759,0.2393354075260381,0.027246795389407507,0.0,0.12064053123330185,0.0
"Cuffy, Gordon J.",559,0.04887999396290644,0.0214295485262693,0.15315546729686194,0.05628411088721582,0.02540337344650723,0.022910535086342332,0.07511645954140463,0.09871179766501495,0.1298128893775236,0.09522431241629035,0.07392146838347138,0.033510226222851935,0.0,0.16563981718734008,0.0
"Tadros, Shadia",2545,0.015940717294136975,0.010685902214752631,0.09619943472127476,0.07497540303002125,0.022027974022526008,0.009216714613674308,0.21702621246374323,0.07838706851807599,0.056145339455725335,0.027360389772995593,0.2491338665994076,0.032756100099523976,0.0,0.11014487719414229,0.0
"Bogan, Vanessa Elizabeth",1742,0.024678217302086674,0.009513068470407312,0.10312536259691718,0.050414305107290926,0.028796343024404945,0.012141256786574461,0.22871208677122937,0.07932235216112854,0.06283724820481815,0.03032374602597445,0.20476757587665687,0.03628612326330781,1.8498664836848913e-06,0.12908046454271974,0.0
"Pitts-Davis, K. Felicia",2427,0.024685847688980717,0.014841822122586557,0.11879792954488602,0.10331312284230483,0.03832956077323637,0.011815558666393968,0.14966180661096706,0.07977207504305892,0.06254440594159016,0.03429553904876796,0.19463410026780045,0.04344078433725322,0.0,0.12386744711217382,0.0
"Thomas, Derrek T.",2357,0.02558383944247758,0.013391418590960099,0.10739505497924155,0.06660440592833086,0.025036814291248398,0.01292783245975644,0.2011007819068555,0.06982252715218411,0.056069942938873664,0.033515836712145614,0.23796314501408505,0.04267628131506927,0.0,0.10791211926877176,0.0
"Clarke, Erica T.",2419,0.023681112646843847,0.010850531221984086,0.11796267803399693,0.08057234977099337,0.021626390985558994,0.012331312735730527,0.20466242187274247,0.06776061935958014,0.06723162830578422,0.03626061051486026,0.18801426607372446,0.06028455344551861,0.0,0.10876152503268187,0.0
"Andrews, Ross P.",3043,0.019873080249851148,0.010298093870539147,0.1008765288889963,0.06863802720630831,0.022274455388697958,0.012512430475225688,0.2243172320010497,0.08115470338550576,0.06222987867503454,0.03822309971925316,0.20569422166994236,0.04258318336801339,0.0,0.11132506510158267,0.0
"Doran, Matthew J.",674,0.050901438810032756,0.018383683785847826,0.1534078110448351,0.0592566589872243,0.023213543140951476,0.032806507801421705,0.06013781866622087,0.09553156875521798,0.12556738820775312,0.10307937451252874,0.07743655802174869,0.030585578861036446,0.004869544969750593,0.16482252443543047,0.0
"Limpert, Theodore H.",945,0.02874087541084892,0.00746736869174088,0.1425580227690499,0.04863602240282248,0.028782643522687845,0.017467442426119414,0.16794224461001417,0.11552444667771955,0.08534064848968885,0.07779387708693167,0.11938332900228034,0.03321282407391714,0.0,0.12715025483617887,0.0
"Cecile, James H.",2441,0.022430286050429644,0.014889910447257937,0.12029353153636398,0.07205344324781679,0.027194022429270475,0.014358260960857731,0.16478145764778168,0.08376214104827075,0.08111232876753549,0.054839884478531144,0.16962674543273912,0.05564477819949674,0.0,0.11901320975364835,0.0
"Rosenthal, Kate",662,0.022261526649454445,0.006159356293681457,0.12062525562448766,0.11907485377494333,0.028115226707763553,0.027952704034546184,0.21324132247814181,0.08695493690896054,0.05716885718783046,0.010406770386746571,0.18986734644983888,0.036880545106423336,0.0,0.08129129839718173,0.0
"McGunnigle, Melinda H.",114,0.05190916351121028,0.025469098845117125,0.13793982090389487,0.05091404278279396,0.010988988768118628,0.05237652611808511,0.1726304030069903,0.14251197412758645,0.11314380808724796,0.044251146829978064,0.056851182134021246,0.02313003666382349,0.0,0.11788380822113241,0.0
"LaValle, Anthony C.",48,0.05976229117154541,0.015978691760108698,0.04523045967227201,0.02063127885638864,0.02979833379884998,0.06823635764598183,0.04259107304154715,0.0,0.09825684551151077,0.12853071316667872,0.2750977645631339,0.0039747730606719545,0.0,0.21191141775131098,0.0
"Nazarian, Armen J.",89,0.03693255336704313,0.014488833322473724,0.15506262131355913,0.036854376899777094,0.003815850499529804,0.03692660515814516,0.09409002643395685,0.10138769337572924,0.19894154204092726,0.048693289434603146,0.09978655517185345,0.04203586955699624,0.0,0.13098418342540571,0.0
"Dougherty, Stephen J.",343,0.04831962188688116,0.013552771973281223,0.13949753242703408,0.056200757864661346,0.029193721579246098,0.034688803274201555,0.09778466352797226,0.10631879647261785,0.11857803474514171,0.08266955883155087,0.08100039294875393,0.0291370754663197,0.0,0.1630582690023382,0.0
"Miller, Thomas J.",441,0.1087890502433255,0.014791575947520065,0.15113456980281773,0.0652416022035282,0.010974422026786756,0.020679739360065143,0.06148240013200468,0.10107197930556647,0.14017556121252756,0.06611291146387552,0.06578575082751488,0.03385162390739936,0.0,0.1599088135670682,0.0
"Doherty, Mary Anne",413,0.04585892612128931,0.017204241665735198,0.13861971825040575,0.04220138816053379,0.04080428761409562,0.046017173052659455,0.1017768167942895,0.09838249754218967,0.12402291989867534,0.0717852595990935,0.10172678555390775,0.036126861157892085,0.0,0.13547312458923313,0.0
"Bailey, Michele Pirro",129,0.06054671471190836,0.030623489590935714,0.20251322470647673,0.009083544976766165,0.0626584139761928,0.00027105512858812574,0.03968758297732964,0.09311056273113433,0.21006304282231306,0.03702385241078282,0.02485309934507765,0.00335032566582982,0.0,0.22621509095666467,0.0
"Shute, Adrian",24,0.017166060708260242,0.0,0.024682834460136006,0.00026887008984195407,0.00443375150369479,0.0,0.0,0.0,0.12835580872665278,0.03560756456594639,0.4426211469689729,0.03936459959477866,0.0,0.30749936338171635,0.0
"Neri, Gerard J.",74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gideon, David S.",23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
