judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Mohammed, Anika C.",1192,0.031182457251839407,0.008721940748452305,0.09943053336274732,0.050320337620788705,0.025275610510448798,0.016362459728182475,0.1453704114490533,0.08656498532590906,0.07788245727406924,0.031994804271642696,0.2678767773114038,0.03968513795908322,0.0,0.11933208718637969,0.0
"Witherow, Matthew D.",861,0.028697849040975842,0.007019795031043884,0.10443247465867743,0.02165952465604893,0.026340639888083973,0.006211021150310621,0.20434001283146128,0.14180765536663933,0.0749079638123241,0.04424891267805014,0.18302341820338838,0.04163485270004885,0.0,0.11567587998294714,0.0
"Guertin, Richard J.",1548,0.03336116294446451,0.01853881866189401,0.1049125222321824,0.09819572052056011,0.019097079347255203,0.012750517165516244,0.14510147777103768,0.09954172765983944,0.08551076338682671,0.07142159032694356,0.1822747794360422,0.014472958570044929,5.984638268630194e-06,0.1148148973391244,0.0
"Brockett, Steven W.",3906,0.02705661781901055,0.009258351897011102,0.10708895064056337,0.04629985932236791,0.035261296438444494,0.012421911200111291,0.12211353044031223,0.07655766352853835,0.07392970924321755,0.07584637467277866,0.25401636229181096,0.02772108616663843,0.0,0.13242828633919526,0.0
"Calderin, Noreen F.",43,0.024512791163965375,0.014940256159883139,0.14442519348222452,0.12409024944038426,0.014109981169160788,0.002949047552325548,0.0882221306322863,0.04710764114205196,0.16307893652900862,0.05580770626689388,0.12439695547742853,0.04278871537069725,0.015065047846412745,0.13850534776727735,0.0
"Smith, George A.",40,0.015927916041872936,0.006810509148901707,0.1353470554022658,0.0999553832328285,0.005827764779377683,0.004002898687385641,0.08565230405732871,0.1065603760620245,0.12137443963080734,0.08906413539049866,0.18315354943251774,0.0776341194199031,0.0,0.06868954871428784,0.0
"Trachte, Paul D.",2132,0.03192633780987903,0.01267731679730847,0.1102465884281943,0.049934169538693784,0.04167629096612937,0.005063582333289639,0.17106854902192178,0.08808987680138432,0.08576221223072465,0.06260649526194333,0.17596236102731577,0.04493288758227993,0.0,0.1200533322009357,0.0
"Brown, Craig S.",714,0.05098047164515571,0.025426710587128813,0.1587679345109723,0.0264877210421646,0.016790596662609736,0.030060898370994692,0.08843404628371695,0.08303254191726263,0.125514907724576,0.09322986678865082,0.09775763369662116,0.02445386732703363,0.0,0.1790628034431131,0.0
"Williams, E. Loren",368,0.03444505723822138,0.00618914432279659,0.14116599660372928,0.06526311791788077,0.05866184390249203,0.005567646819822166,0.17392745492803213,0.08524555463588562,0.08847546478279927,0.02258690817914939,0.14033980782504912,0.043990214582558314,0.0,0.13414178826158388,0.0
"Worden, Michael J.",42,0.017432356780538998,0.011642456772222627,0.13319884311784574,0.08558632460361061,0.02039693832946378,0.014286809206259417,0.10196250032178866,0.09358633131688605,0.0922246865299069,0.0857479687467771,0.2246600082204338,0.01802260840229914,0.0,0.10125216765196716,0.0
