judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Metcalf, James M.",2691,0.04876976688950725,0.008381317475943072,0.11077975538529572,0.04783079935279454,0.026282965514396198,0.012598247869964621,0.15876164697753686,0.11823993143571258,0.09224684595242985,0.05377061710409011,0.15361394692619626,0.043334910373988025,0.0,0.1253892487421449,0.0
"Hawthorne, David H.",2137,0.0166455743613468,0.009515750982287461,0.0829209581755203,0.04803768532401095,0.03467580603260393,0.008122748353233207,0.15685073975891542,0.1088954139042183,0.07128178463403421,0.05180321091852525,0.23958290423878356,0.05876478531858587,8.102213456407003e-10,0.11290263718771337,0.0
"Nipper, Donald L.",230,0.015746892017693016,0.011160636922394947,0.08717689559934043,0.03457230498723054,0.010316979877332664,0.011046193378365399,0.3292866423992418,0.09435551619036014,0.0797221665235958,0.02826997723954014,0.15801000138730917,0.023887847280327064,0.0,0.1164479461972689,0.0
"Kirwan, Timothy J.",714,0.031061954815594678,0.016519397992920827,0.2072302575768431,0.05693178018058018,0.01834610395396291,0.0008981647949936068,0.20546968894938777,0.07898963308023867,0.07352624142970172,0.008632526716199974,0.1380203338517739,0.009112200952659867,0.0,0.15526171570514294,0.0
"Wood, Robert D.",112,0.03546426189457948,0.0058258697587287925,0.12754839085032874,0.1242011053145752,0.012626128307480285,0.0019805724167606545,0.18473132242053217,0.1154399769469275,0.11554064614750637,0.04043875694941757,0.0920838874874024,0.022132870381939136,0.0,0.12198621112382177,0.0
"Brandt Brown, Karen M.",346,0.017386169896898066,0.036817649500712625,0.14021898430581575,0.025045025306563294,0.004090795670104285,0.014586695810442944,0.09215427521447206,0.09609966693228789,0.10406297313672316,0.17756383259553934,0.04347853099225425,0.03143143685803989,0.0,0.21706396378014647,0.0
"Dumas, Dory A.",104,0.014973305140629051,0.01472335915969702,0.08445774405034942,0.05405029371908985,0.02998138856871677,0.000691212658026908,0.24595385294786482,0.16520123122962144,0.10721200238056004,0.07791161240242604,0.08211627895092583,0.05041601551021521,0.0,0.0723117032818777,0.0
"Schmidt, Lesley C.",22,0.0034139836771415674,0.0,0.05082417582417583,0.0,0.02369141542218464,0.0,0.4165543828867579,0.14155179615705932,0.15895748987854258,0.005321231056525177,0.07746548323471404,0.003425344496773074,0.0,0.11879469736612594,0.0
"Hafner, Eugene",180,0.021876097778895154,0.011228543444355636,0.13556770357233233,0.06585186660821028,0.03617135105892212,0.05851576947650611,0.16555412658051882,0.10930808295954744,0.0794757781806557,0.10407272663330086,0.0912915981179091,0.010068416318261513,0.0,0.11101793927058477,0.0
"Pardee, Allison L.",123,0.009261091166071694,0.003407259249658539,0.12466744666243137,0.04199956591158475,0.026217615312556956,0.01195764877757353,0.3249558891549107,0.1086239441522745,0.05551130362221541,0.05583721635456655,0.09674552502182031,0.01793080447798584,0.0,0.1228846901363496,0.0
"Ludington, Spencer J.",51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Reynolds, Thomas A.",312,0.040699661834987466,0.03539257957864966,0.11033156991304253,0.024791227992714843,0.04361913940060609,0.012179128176794831,0.20261342217852957,0.1032749992182139,0.06283699266313879,0.07148650930362266,0.13816584874413398,0.008118560264827802,0.0,0.14649036073073793,0.0
"Beckwith Jr., Jack S.",130,0.01620691502289155,0.010847013709985247,0.09955209144204342,0.013517271161901928,0.0239371417760704,0.005101176489937504,0.30160999390223425,0.138138030577651,0.06274415783009848,0.052360990270529324,0.08798634599815272,0.07527068633052371,0.0,0.1127281854879806,0.0
