judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Gershuny, Jeffrey A.",14107,0.05230906895926978,0.010405828691957346,0.1804236153834484,0.03925857718330369,0.017466994074409034,0.025583796593753615,0.0434889335105875,0.06974867488119214,0.12068042425188384,0.07381861453261424,0.1510714574919216,0.05344159436962283,6.617212257190216e-05,0.16223624795346414,0.0
"Serita, Toko",3439,0.052649721164755955,0.021023732182244514,0.18333776443037997,0.043292434529375125,0.016446562788215074,0.0245513737662023,0.0356374412261321,0.08216397920695707,0.12005444156522532,0.0741813001758785,0.11877912037874225,0.06555185261311273,0.0002431184518449341,0.1620871575209342,0.0
"Kirschner, David J.",3322,0.04283193545646404,0.008089130070024982,0.1559766961756618,0.056298641634665254,0.02127842596720892,0.038615467770606704,0.055634959086528546,0.07657623326218929,0.1117876520672845,0.060245594567936954,0.16372267089378742,0.07063943145003282,0.0,0.13830316159760886,0.0
"Dunn, Scott",8829,0.06419445679788141,0.02576674373616168,0.20819051114744103,0.030757486660360062,0.024431807015087282,0.03430267763814487,0.04396175167884987,0.0810211785352094,0.12399042996509307,0.06912872820231168,0.09418350560668438,0.02448937504755766,1.2779053819368045e-06,0.17558007006383572,0.0
"Licitra, Wanda L.",2829,0.12650880742882364,0.015027737519222395,0.12015265177701816,0.07785455154994696,0.01379447622146878,0.002484453537149537,0.050596494190291504,0.047188419641419135,0.06273816586758618,0.055649095789838156,0.18641633746239522,0.08313391915904172,0.0,0.1584548898557987,0.0
"Margulis, Ira H.",123,0.053768674085905785,0.01762964290793467,0.1898340455955764,0.07848692029887457,0.009084653383880184,0.07001843650474505,0.028233271662452587,0.07682138958243834,0.12633846182794767,0.06356759290021946,0.08374755306707438,0.03724984121096732,0.002090117800145807,0.16312939917183766,0.0
"Wang, Frances Y.",2912,0.06198592209964837,0.00993531816022475,0.2021332694544279,0.05571517988012275,0.017075256782928615,0.030245089420631838,0.04312038316372027,0.06082673691872914,0.11950928647970598,0.06337583368720949,0.11176924767689651,0.047855339644364905,3.791255073756869e-07,0.17645275750588213,0.0
"Freire, Diego A.",7038,0.05942264449009152,0.018732407007249364,0.20050298863610944,0.029408815966092863,0.01482346538222161,0.033457552140865036,0.041774024302316755,0.05657776601675788,0.12095109254729854,0.04654679115328158,0.11620683478982002,0.04632722342638435,0.007773265768939429,0.20749512837257167,0.0
"Paek, Kathryn S.",289,0.04097869079899664,0.005970217700493842,0.06927121866119243,0.010082260320819927,0.07192935019116728,0.11379495271270257,0.006704532154396081,0.0032737390025381207,0.3330979523125919,0.05412286206879146,0.09768130463534039,0.0994577247238468,0.0,0.09363519471712255,0.0
"Novillo, Edwin I.",4976,0.05530110324246259,0.009918819027405476,0.15491406218078463,0.04753658907916202,0.015501302694203179,0.029809742076346263,0.08751178861589595,0.07832421123913509,0.0990001249949645,0.058825281457841376,0.12932111017557216,0.07849826427897696,6.556882395915119e-05,0.1554720321132906,0.0
"Zaro, Stephanie L.",1000,0.03642506577307488,0.016830235705308474,0.21081170516881217,0.04350726510427316,0.03222206745285449,0.02645110487968911,0.03912788635876108,0.06194973029874718,0.11231084461479802,0.0575721520294367,0.1172252877926131,0.06672952673831756,0.006982502374426457,0.17185462570888768,0.0
"Cimino, Toni M.",4579,0.059679834275203646,0.009818124675071436,0.2003728122692943,0.046154045648448674,0.02483633405765064,0.029469929019578452,0.061546294529989304,0.08134138821851025,0.1322037522612199,0.07533893885645972,0.07914572097561902,0.03213315723754339,0.001423073270114999,0.16653659470529625,0.0
"Johnson, Denise N.",6014,0.07777761265869748,0.028828982138987293,0.24345704604768403,0.014215511757541094,0.020674719399343563,0.02789963090416321,0.024826250830510887,0.046453297294195214,0.13069860878894266,0.0479289051487431,0.08718184021558983,0.03389316078554639,0.015030148638315484,0.20113428539173975,0.0
"Battisti, Anthony M.",9476,0.05756293558373657,0.010579843867436763,0.1766759697977558,0.044677092184096955,0.020361734530414306,0.04285799068336609,0.04608795933945457,0.06640913841259263,0.12837436129017515,0.052141622458442324,0.10701104926806689,0.06791971220441606,0.0030749977368529726,0.1762655926431929,0.0
"Weston, Cori H.",56,0.022672140580360593,0.014706855224571448,0.06758992377760013,0.05813119028254645,0.1815668673661944,0.10767827071928801,0.012078081377444167,0.026879196316585568,0.05691568923864496,0.0,0.056120664520966375,0.17742541612734689,0.0,0.21823570446845103,0.0
"Santacroce, Quynda L.",2168,0.05600469623643082,0.007775666488728583,0.1693890209349443,0.03646397033390244,0.025270460078938097,0.028719187933137068,0.05045585850641624,0.09798074558705541,0.09354242787576965,0.013797888321528685,0.17386716468233163,0.07546825813336135,0.0,0.17126465488745585,0.0
"Bejarano, Mary L.",4940,0.05308737255555289,0.007551539154650709,0.1652099229304534,0.049554673076685776,0.036118944897863874,0.04677899120761189,0.047974927160436664,0.09017619505447394,0.13722359376096777,0.0751024307451854,0.10183243352258971,0.04638891597308205,0.00015215141635951875,0.1428479085440865,0.0
"Hartman, Danielle",5092,0.05109031477847028,0.009696346556408808,0.1778573381725373,0.03883965818468903,0.02585578824967204,0.040018644830074876,0.02958169312308642,0.07142065532522725,0.10797140244299261,0.06725669227893104,0.1429511177882089,0.045607047265425624,1.9918259312037397e-05,0.19183338274496387,0.0
"Lopez, Gene R.",357,0.03333447978257387,0.004402331600537417,0.19558700040688545,0.0581370573728123,0.030307340434967467,0.05032453323707477,0.048811860140553116,0.06965520292664855,0.1366357148304466,0.07366459195359305,0.09439579817015109,0.07405236354600492,0.0,0.13069172559775147,0.0
"Guarino, Eugene M.",3810,0.03103099415987249,0.01152799816494712,0.1964182439170409,0.048273566393591885,0.016700457093406593,0.02622857011627857,0.051575720917242523,0.09000110295073785,0.11015055466029326,0.061296615573255456,0.15987554507392723,0.032101579363135596,0.0002535369453476389,0.16456551467092279,0.0
"Unger, Sally E.",970,0.03791670177672239,0.0022895891341450396,0.15941609912543311,0.009200082557527918,0.02188181337126988,0.054955930501085694,0.06228060613107126,0.08454762562563582,0.06642931076707005,0.06396312506876556,0.23270180829841625,0.05834315968250154,0.0,0.14607414796035553,0.0
"Drysdale, Althea E. M.",319,0.03361204817252789,0.006842786674181236,0.17026094813547704,0.08208975654741553,0.012576093572242044,0.017433839728967004,0.09372779867242584,0.13620816372048658,0.09340871022204361,0.028222711504548328,0.1131862061093087,0.12896323320342815,0.0,0.08346770373694816,0.0
"Harrington, William M.",388,0.0259400610267355,2.9642850790294656e-05,0.07716128864587898,0.1344814695808867,0.07651728571338581,0.006431816066262933,0.08824875172659949,0.16389150078703596,0.05482612478360843,0.06835066118884156,0.10785133084142746,0.04321946206603681,0.0,0.15305060472251023,0.0
"Gonzalez, Maria T.",5702,0.053128326316887776,0.011497671121281328,0.16722560659375035,0.04159636581368262,0.011040037393169708,0.035208346803321376,0.06591629965540015,0.08439893274543644,0.12892282017934079,0.0234708444104448,0.13889620909219677,0.03853305042002712,7.250489237696498e-05,0.20009298456268382,0.0
"Kron, Barry",305,0.12022316199729137,0.021907326987522287,0.23387186942966368,0.015691667135836182,0.04925214411387505,0.01672080965403001,0.007566256940267875,0.022857737451207213,0.10867501018588528,0.04636183066923337,0.08797842602159166,0.03700537738687537,0.0,0.23188838202672063,0.0
"Iannece, Jerry M.",5978,0.05175950174290381,0.018301244638359127,0.16261263907149637,0.05042133427649394,0.02616848859329325,0.03530368433837971,0.06090174842160421,0.08461643265797826,0.11494295319257762,0.08037246211993326,0.10050964800878719,0.026384470444213052,0.00017031193950353845,0.1875350805544764,0.0
