judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Maier, Christopher T.",3534,0.020793427745186534,0.013361233564192254,0.09509796646875919,0.06916594809245914,0.021277489090677663,0.014599521375315515,0.18523590253753372,0.07407419147679566,0.06585755139700956,0.04121674345079268,0.20558346467619099,0.05904240756281959,0.0,0.1346941525622676,0.0
"Marcelle, Thomas",32,0.016281628295005672,0.0006870409065482941,0.18275026614815118,0.16698196259280287,0.11242820908600272,0.10131929542092045,0.14889890643363138,0.040602788406397916,0.04494748257655821,0.010683449024987262,0.050170222128499004,0.0811909923741418,0.0,0.043057756606353206,0.0
"Young, Debra J.",305,0.03911841856642442,0.014355036506381563,0.11712106565457689,0.03558952034769237,0.027722542218560825,0.05274216752477016,0.08590551464252057,0.09938436388771386,0.12995664692533349,0.07315852780779938,0.08709222548964952,0.04014782444311616,0.0,0.19770614598546088,0.0
"Robichaud, Kathleen L.",537,0.03356008444633691,0.008395778594341815,0.09151123552315894,0.07282233855123563,0.024042039144567134,0.015537594636367962,0.1622917543099005,0.1041140646554857,0.0816985794579313,0.049021488243960555,0.22711564405977994,0.02027286118611455,0.0,0.10961653719081914,0.0
"Coonrad, Anne L.",691,0.044577195060606284,0.007043308777942536,0.11190539392675064,0.05503346296874865,0.02844908808731029,0.017879156198906065,0.19542327246141272,0.08713094508732078,0.05691144826407691,0.03145670466278147,0.17835640708022865,0.06759799025003482,0.0,0.11823562717388002,0.0
"Kehn, Jill",564,0.03398689155459512,0.022772414058106052,0.11220371881984106,0.06911056318821387,0.03268815538115588,0.015010964543389368,0.15292456164167406,0.09509270695460595,0.08676129428921037,0.03660832465752105,0.1583759268546023,0.034379311564596414,0.0,0.15008516649248846,0.0
"Johnson, Linda Blom",250,0.05070457889809428,0.005755121845163652,0.08470369401637821,0.0881911103713589,0.01928349870972063,0.006150989685415336,0.18299535791497953,0.14024718987088428,0.0790199337158711,0.03720906352644995,0.1573603840004203,0.055383058900824116,0.0,0.09299601854443974,0.0
"Sober, Jennifer G.",360,0.04679384722457934,0.016186973568517598,0.13141460466001273,0.037609424266276274,0.0273937876200912,0.048897415050218856,0.059148413991642494,0.0815285692411109,0.11463073764149391,0.08045577496890582,0.11633683459790382,0.08158922405194653,0.0,0.15801439311730045,0.0
"Pallozzi, Marc",133,0.03153958689764351,0.011869308926138853,0.12441015657317117,0.04496907803681038,0.022963756169236283,0.010397014528386834,0.16171025738462855,0.06937941932595326,0.08254052152928941,0.03459647425566842,0.20816850838848125,0.09064011873345056,0.0,0.1068157992511415,0.0
"Rivera, Richard",31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Turner, Matthew J.",284,0.04528669960798862,0.0248826458290542,0.11602026368583768,0.023636172527365322,0.03738007953017604,0.01043618323601307,0.2828162047881994,0.10791913654623157,0.06777757719451855,0.037700646662376096,0.1253506749152537,0.01756410154302461,0.0,0.10322961393396124,0.0
"Galarneau, Eric",31,0.025442621471844003,0.0050404140840578605,0.0932798021066311,0.1205678623113014,0.016631470190217323,0.025924425089778227,0.10669894399378611,0.07251234515771,0.11368365269574221,0.013893420016643617,0.049722150868219135,0.26129180880546293,0.0,0.09531108320860615,0.0
"Laquidara, Carmelo",29,0.044183686324666904,0.005661586980596074,0.10292236546112518,0.057642635290773944,0.01417496321342475,0.0,0.10126693074367489,0.13459702284152186,0.03461255547373597,0.008231796196912475,0.10331268038152248,0.2045613988281426,0.0,0.1888323782639028,0.0
