judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Koshy, Biju J.",4013,0.04272102508633306,0.01107556112826055,0.14844218047093474,0.03304510584362761,0.015375047845884813,0.03841137302604901,0.022295222859232723,0.0599781462852074,0.11199172886155913,0.04211777431314737,0.2815205703583017,0.030279802397108185,0.0,0.16274646152435374,0.0
"Abriano, Gerianne",2710,0.026874503535709353,0.017661652018537623,0.13944626357178852,0.05961713553941049,0.0174928328557686,0.024174222698157614,0.04931998513510301,0.05633954247445365,0.10312620793577999,0.05364629315119566,0.2331754582397631,0.05229290748244622,4.345744684899946e-07,0.1668325607874178,0.0
"Swern, Anne J.",52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Helbock, Robert J.",2834,0.03133680731670406,0.011843181437226746,0.1963032500584245,0.03729314172245528,0.01359669294319296,0.023546447114073724,0.03739175639909924,0.08568713909071282,0.09936410954573265,0.004999642201534231,0.19559725848174145,0.054438807022701444,0.0,0.20860176666640085,0.0
"McPadden, John N.",3549,0.041475891929736795,0.01849006487751323,0.1834381025123129,0.03909389724078072,0.025312111381794372,0.013734008627247432,0.06288103182542286,0.13013142095082147,0.07634309468057895,0.026961727226861628,0.16690491559085957,0.019049189341112393,1.4635972864032828e-07,0.19618439745522884,0.0
"Lebovits, Gerald",127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Thompson, Ann D.",1667,0.03723428088713053,0.00973570763234258,0.1223857750990399,0.04202487440198345,0.023432438724309813,0.009028493863529137,0.018093428556330112,0.06954226539928254,0.08280305617295976,0.007177143027380438,0.31818564236693453,0.039589105489105526,0.0,0.22076778837967176,0.0
"Castorina Jr., Ronald",3782,0.03238628644848832,0.017142081520931995,0.17894331980774408,0.01975204803968304,0.01882781451902918,0.011299480088401178,0.04335744499231347,0.11219818275335539,0.10538432772090857,0.0075248733012484356,0.21569608676328078,0.03375463311480203,4.4577563613811366e-07,0.20373297515417735,0.0
"Rajeswari, Raja",3321,0.036421208518561086,0.015153741925269821,0.16978207235080944,0.038308534785563994,0.009437387601214223,0.05123687747538539,0.047124373131767115,0.11575959216197164,0.11721994059600582,0.05866031491977442,0.10343303863100056,0.04012471299516899,0.0,0.19733820490750748,0.0
"Grey, Lisa",773,0.04073626672103643,0.0164081618245423,0.15055649183520137,0.03301855990988911,0.01238324387638727,0.026182843425279583,0.06658862661198707,0.08999452614113385,0.10862570969001575,0.08064573258109213,0.16615704450054725,0.03206663720650036,0.0005560273200235763,0.176080128356364,0.0
"Adams, Suzanne J.",101,0.04442177452884299,0.03022427969154339,0.3788619243802132,0.06914372840409348,0.011974133570331329,0.0,0.011941348138810896,0.05727873545739979,0.043446877055324074,0.012562587359436932,0.09280208714843415,0.04952657952046678,0.0,0.19781594474510308,0.0
"Sciarrino Jr., Matthew A.",194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Headley, Lisa S.",118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Clynes, James G.",295,0.039422458143566125,0.02576713129832644,0.18138799346762582,0.0927977329621831,0.005995878106612548,0.12242282459984939,0.016523626185690306,0.09714272621428248,0.08979110172261792,0.06404482464801647,0.07685103844322658,0.04614322822497384,0.0,0.14170943598302904,0.0
"Weiner, Jay L.",317,0.06591189852902604,0.16789461373824047,0.1470956463790785,0.04380378605845724,0.09077724245618451,0.0023104983142220458,0.03605720199932772,0.029813585264445455,0.028311026930642556,0.021368536067056576,0.109402307382882,0.137481292974644,0.0,0.11977236390579292,0.0
"Svetkey, Jonathan",187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mattei, Mario F.",333,0.06887217261728493,0.039626415360263505,0.127738656138596,0.03559358031333735,0.016724666424096635,0.07437691723889854,0.07769119342870567,0.12168974527026424,0.11090740605496299,0.09910889673924778,0.09362758093805432,0.02242913836625531,0.0,0.11161363111003283,0.0
"Weston, Cori H.",164,0.06290656076616606,0.03446556509390447,0.16250445048209247,0.0014864602964566936,0.011733552392569532,0.008117491456534369,0.013159695925010205,0.015144729602589042,0.06304148717196399,0.08079277389000347,0.10538173967888126,0.18505406706445238,0.0,0.2562114261793761,0.0
"Frey, David",315,0.033496290993006175,0.0555514409050264,0.1963282253552462,0.02446761688324928,0.04262434303562667,0.08002560250272593,0.03219283447477748,0.15043749081413843,0.11564122012298128,0.010159757247806388,0.05968068726422039,0.06151813419194466,0.0,0.13787635620925073,0.0
"Ryan, Michael E.",87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
