judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Orlando, Rosann O.",9703,0.041017413869134496,0.016057575605336025,0.16360733206735603,0.03682163458363732,0.012380110033329674,0.0585062786765676,0.04854229423334252,0.06840457642664832,0.12369533208398742,0.08961068746070687,0.12684726167774413,0.0651330293154547,0.0,0.1493764739667548,0.0
"Andrews, John James",6248,0.05404235423051951,0.01944951981487146,0.19317015095526024,0.009979792769620827,0.009855026935491104,0.11069415999915665,0.0523732677586118,0.07301401887116107,0.10298264702475343,0.08411647059627154,0.08012687651925904,0.01820818209315091,0.0,0.19198753243187244,0.0
"Carrigan, F. Scott",3814,0.052442750492185046,0.06399069886610849,0.2697915015979406,0.022347982113644645,0.014581954715081924,0.003480230701178239,0.041005661897253895,0.06711000826957174,0.12048849916291998,0.03153191376587326,0.08692025328611146,0.05511713897910515,1.3084540164226384e-06,0.171190097699009,0.0
"Graf, Alfred C.",5759,0.05838752388018694,0.010952834400929987,0.24163057305180105,0.016183564404968074,0.054561480264433526,0.08913129798547756,0.05509697598658501,0.060582524445855525,0.09605790512904983,0.06721141227891167,0.041096459631596076,0.02554526562716314,0.0,0.1835621829130415,0.0
"Cheng, Bernard",5220,0.006564664493153061,7.013277745199491e-06,0.10348009223077316,0.09219987823246735,0.010762902435394009,0.0008066061351514458,0.04996796531001832,0.11541891678622235,0.02018964154138382,0.015544992863327204,0.28877377304202057,0.08721878902027881,0.0,0.20906476463206478,0.0
"Berland, Susan A.",11062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hennessey, Edward J.",10378,0.06204475284568689,0.01719829649241816,0.18759207715781734,0.057032989055949466,0.019633463658930175,0.015426397610199845,0.048159726707292384,0.08191865971740742,0.1235638232027444,0.10141976990431317,0.08736786428050072,0.031146333108907763,4.995857235466596e-05,0.16744588768547772,0.0
"Jacobs, Alonzo G.",6961,0.030785234666887307,0.008145846694364989,0.09996869197095049,0.04267190274733465,0.013685661847846935,0.0012589209070533855,0.05860560256447392,0.06205041592757541,0.07487588853945593,0.11199697632665599,0.14041084277813917,0.10141315877821803,0.0,0.25413085625104387,0.0
"Kelly, John",10427,0.01917352274786686,0.005100583565878583,0.09232091872095985,0.01571962648412886,0.0053966971001826345,0.02511219732779367,0.018475623839484402,0.04827242458462943,0.04239386713863402,0.06238866389349706,0.35842082165102457,0.10115150383965531,0.0,0.20607354910626477,0.0
"Hennings, Paul E.",6569,0.03289224747479823,0.009240774773476993,0.17993513134758485,0.018326886268761167,0.010686616096769958,0.00014026157145595976,0.020742396159513357,0.021430474776598235,0.08677477963429704,0.056133641697628835,0.21733196991001769,0.08332940444156979,0.0,0.26303541584752793,0.0
"Sachs, Eric",6959,0.042309855831335313,0.013592335183702583,0.21322781539734512,0.03690328843482108,0.01970060657574973,0.028647220179678648,0.08615280123180952,0.10332005837872305,0.11248834928968926,0.07643883139993912,0.08141859922665806,0.024168100810446905,0.0,0.16163213806010177,0.0
"Saladino, James A.",9922,0.0697947375084777,0.030706788746937032,0.19595370806323925,0.01990433130560743,0.0316237462346186,0.0014438260933248776,0.05068032800903516,0.08993702835306644,0.12375034326427643,0.06747953491609751,0.10291061841872061,0.03620705253161916,0.0,0.17960795655497983,0.0
"Ukeiley, Stephen L.",7901,0.0290973854224089,0.02936716912486162,0.11951426629139751,0.025590818237522926,0.008196145657757605,0.004210710357479386,0.01326981237177823,0.06253912603048543,0.07614472246042929,0.04252974338024797,0.28275865192252236,0.0682097547851596,0.0,0.2385716939579491,0.0
"McDonaugh, James A.",1108,0.03550892496578643,0.04620420957847231,0.17716902173652657,0.08046171558831298,0.007235039059044515,0.0018845984036822319,0.06265724674648677,0.18149091157746955,0.09350263716059333,0.06039702210334284,0.07440380625590202,0.0014898181611120278,0.0,0.1775950486632684,0.0
"Mullen, Mary C.",2185,0.08735867794748918,0.025327126293281953,0.11926682965620075,0.01720787292805493,0.08353899819955804,0.09695078933850641,0.013485968862926911,0.03436740923793212,0.0681544160531243,0.06233840735893056,0.2276329450086821,0.05139951941954116,0.0,0.11297103969577159,0.0
