judge,case_count,race,gender,age_at_arrest,prior_vfo_cnt,rearrest,pend_vfo,prior_nonvfo_cnt,prior_misd_cnt,offense_month,offense_year,top_charge_weight_at_arraign,top_charge_at_arraign_violent_felony_ind,hate_crime_ind,top_charge_at_arraign,district
"Collins Jr., John Patrick",1540,0.02909760950025553,0.014269536592713314,0.12454753069733182,0.09601017739608524,0.0429277302403071,0.010044482920871758,0.10203947969781728,0.07971096725509616,0.08679646284598418,0.05589946297897573,0.16400552721267628,0.0368605822953684,0.0,0.1577904503665173,0.0
"Doran III, Arthur J.",1886,0.03159685067908432,0.01467001283681903,0.0950422138368952,0.05321304302442399,0.030350261320062636,0.015575994026678194,0.1649449209095106,0.05666929405049498,0.07270026837194367,0.04514271058987828,0.21482046731858917,0.06749344916652109,0.0,0.13778051386909873,0.0
"Carbone, Anthony A.",457,0.03742101937734934,0.0339436598041886,0.18486313444964234,0.05574787275411121,0.0437832976537073,0.013831831724774578,0.07549468473834449,0.11004661019240783,0.09621930235322335,0.0028273077583097577,0.1295900209399953,0.03977901331922584,0.0,0.17645224493472017,0.0
"Quinones, Thomas",868,0.03944484517241644,0.007733075903654041,0.1359345812715219,0.06797830197987079,0.05141575901315529,0.007948922277445819,0.11106287725268077,0.1057623960646262,0.07796005625783535,0.04536911521890604,0.13281744968400733,0.09002020842697828,0.0,0.12655241147690172,0.0
"Shako, Verris B.",1773,0.041025015799081625,0.01712423336243222,0.12174609581841671,0.046339837940747856,0.02850595955230012,0.026229896123783153,0.10297083297846656,0.0720033217702488,0.08118711733992878,0.05173756203216104,0.19986116879079802,0.07479485142277413,0.0,0.13647410706886104,0.0
"Inlaw, Evan",2141,0.03470804088419716,0.009336315866326739,0.11796385732664287,0.06411047419758069,0.03534734901822931,0.00823780640790969,0.16231214091859944,0.07886131148650477,0.0739097657650125,0.05568822087195799,0.21388775183393122,0.03145779634756938,0.0,0.11417916907553817,0.0
"Costa, Matthew J.",1530,0.028387910370055076,0.0049244693821306335,0.10351616467866848,0.11016152299336127,0.04196394123607009,0.00737324089662907,0.11848254245440143,0.08893850095870431,0.08271451709135917,0.04561723903154258,0.1959921533673606,0.0357796497650119,4.294284696263131e-05,0.1361052049277428,0.0
"Press, Eric P.",2092,0.02116071360476715,0.011591088324205471,0.10576076904375763,0.06215216312008759,0.03428865244044437,0.010397728758946734,0.12568266079092588,0.0620451071545988,0.07089125599574543,0.05207455448290628,0.23076310367795363,0.043870786223450156,0.0053873909056202166,0.16393402547659056,0.0
"Johnson, Reginald J.",1853,0.03763881833540007,0.0124720066844366,0.13427567538502885,0.028905129068024303,0.04161419539321507,0.025855001344381134,0.11770910391577238,0.08843240213205247,0.105941741921806,0.061255705284195494,0.16722090373303775,0.03093163255156115,0.0,0.1477476842510887,0.0
"Spaulding, Lynette V.",1252,0.037370780763129566,0.010721339541563768,0.12765749658877548,0.04401490876739693,0.040886033647996624,0.013608278807129337,0.12023032400891673,0.07003345910487231,0.09566028603826641,0.06623268547686621,0.1718177978379064,0.02651388561686522,0.0,0.17525272380031506,0.0
"Fernandez, Lissette G",758,0.02894249875895123,0.008875598781951334,0.08657638713187552,0.0369555583561356,0.02397080518466639,0.007944184092902396,0.24466290562161422,0.10168108136934945,0.07327134314497326,0.037473586484686836,0.19046823126678256,0.030288887762257296,0.0,0.12888893204385382,0.0
"Romano, Daniel P",1544,0.03741273407542468,0.010403450756460781,0.1247799168936357,0.06241760832475372,0.028340320297352253,0.013566274171331586,0.12794550909697275,0.08540126155859792,0.08622620005452952,0.05054721301812492,0.2018802483063162,0.04481083352067613,0.0,0.12626842992582393,0.0
"Johnson, Nichelle",1680,0.023215018504696885,0.009642629055828548,0.12641097138207874,0.08272883764685482,0.03365670895231805,0.017853897109152275,0.09376831478181807,0.09780532975475735,0.07228589926967519,0.06159215445284403,0.203767361994364,0.05395699129615155,0.0,0.12331588579946032,0.0
"Best, Karen N.",1757,0.030656660055362817,0.01055349144031627,0.1054841264212317,0.07050113332906428,0.027539936508645498,0.028307357458824855,0.12132490403995436,0.0835586941695876,0.0748726099966967,0.04509165792572259,0.21469938008399006,0.06172882625366627,0.0002735935917185985,0.1254076287252183,0.0
"Neary, Robert A.",169,0.042959029148635135,0.07340860724749548,0.11140079829195751,0.07375920224924727,0.01769019820350214,0.03887007921992134,0.030034473823779436,0.06888199577445844,0.09527578931752846,0.08362828683043551,0.1981831260681533,0.041364792747339445,0.00018152484993996538,0.1243620962276065,0.0
"Friia, JoAnn",482,0.023666111112160916,0.006951748846896435,0.11875494443232684,0.038545443742416176,0.03264243296097099,0.020463766098822864,0.08701266127658792,0.08267064534954786,0.12118226268528896,0.04441679449845958,0.18465966409892842,0.06099092478554066,1.6743605392362606e-05,0.17802585650666003,0.0
"Rice, Jared R.",1983,0.03309429276592151,0.008083676991632708,0.11456280378860087,0.13494416086758335,0.028898876158382866,0.016991382294624647,0.12785683721379207,0.09825601126994331,0.06294920889775812,0.06103777386119575,0.15483683629710013,0.03524399362798763,1.585887078346076e-06,0.12324256007839884,0.0
"Murphy, Alexandra D.",443,0.06121022423092476,0.018167981511643155,0.16686463201556856,0.08159303558429704,0.009356160593861485,0.03807492744819879,0.06726756043051454,0.11490604575226661,0.13751581522819384,0.0641405451406349,0.07057020569940885,0.03476924141670894,0.0,0.1355636249477786,0.0
"Martinelli, Michael A.",806,0.04902424807064908,0.01571484708729273,0.13510036310624055,0.05598786021358551,0.03301002170449537,0.005102237864722525,0.08736184493166707,0.0980164871792179,0.10967581673285295,0.020335026902448892,0.16044256645182586,0.09017845539175733,0.0,0.14005022436324432,0.0
"McGrath, Brendan J.",206,0.0632344708212057,0.033301749941934584,0.07643135527205185,0.02827053416918014,0.023567575000824,0.001686605097576884,0.0015307680117120025,0.03532413959936951,0.04813190594231422,0.0022994988708465625,0.44500108293388585,0.02506858171342324,0.0,0.2161517326256755,0.0
"Coverdale, Tamika A.",461,0.020077760982808307,0.011440896224812718,0.1386948223925139,0.10073807038925522,0.026764890123026207,0.018327291044461583,0.07720511603950518,0.07895956975749079,0.05524589146669801,0.01840135281207368,0.24637929363510827,0.08040220351318673,0.0,0.1273628416190595,0.0
"Edwards, William",1485,0.03151537334449145,0.02260104177751331,0.1343436683013353,0.06823439357564957,0.03917705727480215,0.023731444039345472,0.07381423219989684,0.09907365411146239,0.09001928250416742,0.061645894881969206,0.15824820939338585,0.07640157960843363,0.0,0.12119416898754741,0.0
"Williams, Lyndon D.",1514,0.027417212605025044,0.016143128616840915,0.09505465080196418,0.13274371983836136,0.029925708971237794,0.01241548280019293,0.11823554858362983,0.09440872540732306,0.06833519876206093,0.0583609880936393,0.188313556426294,0.0494592547928658,0.0,0.10918682430056473,0.0
"Goldberg-Velazquez, Elena",1243,0.037092987365770866,0.011161439972026925,0.15342877964511395,0.06603927679786788,0.04340111388910404,0.011017717981389705,0.06516317617380676,0.06956431673816178,0.09148957651130951,0.06691388432749024,0.1863530677613166,0.06627734750723531,0.0,0.13209731532940658,0.0
"Mccarthy, Eileen Songer",425,0.04299517962222831,0.0028227109354286386,0.12251895905542125,0.07066827347196972,0.03395945748368841,0.00810778357625733,0.1884954280015962,0.06708300942959436,0.1097654529807269,0.03798407249511145,0.10373736418380962,0.09854249060460024,0.0,0.11331981815956739,0.0
"Davis, Peter St. George",472,0.03368601286728905,0.01644164556217893,0.1323304048669477,0.04999331689803024,0.038969054022949375,0.018695471713456913,0.15096512725643327,0.06613774733780632,0.07880911381126798,0.025843998624968417,0.16611035698315685,0.1055146547948426,3.240932914420781e-08,0.11650306285134321,0.0
"Cacace, Susan",236,0.059107213566867524,0.01845896960203979,0.16173800704952776,0.0470643836386858,0.008149219718886758,0.01960996370925858,0.05304538128484466,0.1164872542987796,0.13411001727632738,0.10356985618842404,0.07617660250925193,0.028681507074826036,0.0,0.1738016240822802,0.0
"Kettner, Susan I.",332,0.03904121561734025,0.028167216583704146,0.1857608850691512,0.07376155540110413,0.052691357307887966,0.005399771722028987,0.11874259648480752,0.09381501970498134,0.08872754591988391,0.022686904173519214,0.11079506876769597,0.028268480320505645,0.0,0.15214238292738963,0.0
"Prisco, Robert J.",110,0.06100054338404901,0.012574837176378086,0.11964992039093503,0.059549767279578655,0.016705488845561445,0.03447776901776529,0.04802534214194689,0.08105018587823298,0.1127216891923087,0.10678993967678306,0.13602186554805817,0.039496338315958515,0.0,0.17193631315244415,0.0
"Medina, Ada D.",201,0.05552310595578824,0.014186610631281594,0.1374492741754581,0.07116293942959666,0.014739059588129221,0.006791702132786421,0.1346545206352802,0.09669199299367354,0.08138008119946066,0.012629608886326724,0.2314409484843001,0.058238011864713876,0.0,0.08511214402320458,0.0
"Capeci, Susan M.",652,0.058675082145760935,0.038560641219837356,0.1439002667082206,0.05254805023498035,0.07656418710233695,0.043153817407693466,0.0324995550103268,0.10465422171705349,0.15887917979181773,0.09189476666783347,0.051900405875744786,0.015848840243472658,0.0002531075053533177,0.13066787836956809,0.0
"Warhit, Barry E.",50,0.040847678310072355,0.008944303445483666,0.0971635498414813,0.1582742231916533,0.02349567097826339,0.024937072358934137,0.11929267218578066,0.07203552404388996,0.08916788555015653,0.08826010534535601,0.08831485383249608,0.026890323018697336,0.0,0.16237613789773525,0.0
"Latwin, Joseph L.",248,0.1938114029821779,0.0047841982530639985,0.12162053873206109,0.03386055701130651,0.028197744861993806,0.00013534764551328653,0.213960896172051,0.10086742898811915,0.05061397591900714,0.0423977226967738,0.060584637221572236,0.003995400953735889,0.0,0.1451701485626242,0.0
"Daly, Thomas R.",290,0.0357738398241003,0.009353974607631418,0.08227832417734252,0.15189370765093788,0.06449995717289349,0.03561169230516119,0.11258640606210456,0.07357148017931228,0.08973657048965386,0.04607577814741016,0.15530432328187263,0.031171720628189275,0.0,0.11214222547339052,0.0
"Williams, Maurice D.",435,0.05717565200793625,0.012770081903551372,0.153655240887304,0.04586279223985736,0.0027586085435159545,0.030436014007215774,0.08186028747197853,0.11722952193946996,0.1599550918032172,0.06481560026563978,0.07421150581877137,0.034329667074182155,0.0005364377715799001,0.16440349826578043,0.0
"Seiden, Adam",317,0.035792575652519844,0.009394779442745858,0.12638104871983563,0.05408269546104484,0.06722871224549161,0.0016906565830743184,0.13101426890427914,0.12244239970814445,0.09305352777433357,0.04619409980592642,0.09717445121214326,0.0530908037769471,0.0,0.1624599807135139,0.0
"Blackwood, Helen M.",385,0.07592422887364832,0.023583418882917154,0.15577619180099747,0.03210428978336985,0.017637121199278124,0.047149912149509025,0.008978163351150602,0.0121054817857038,0.1974892660964574,0.1066462489955741,0.08113160879823605,0.05024373218719925,2.6616767530285843e-05,0.1912037193284287,0.0
"Gordon-Oliver, Arlene A.",24,0.11317285889338913,0.06501431731980828,0.11432472739777735,0.0,0.1697541774818188,0.0,0.0,0.0,0.13876190538932748,0.021957051524494654,0.19410119764660985,0.03407872378487541,0.0,0.1488350405618989,0.0
"Armstrong, Adrian N.",188,0.10261247139411545,0.011242944494144697,0.1914920879268308,0.011066159688589424,0.024435441793256674,0.0033593191267366255,0.006656840405293814,0.037505948240364656,0.11479793907601561,2.2382018191347348e-05,0.22327803672015106,0.0769012811686895,0.0,0.1966291479476201,0.0
"Kagan, Adam B.",30,0.021514405135094773,0.013180393274437168,0.20351793800069665,0.0014304831055546566,0.0007475283337352155,0.0004280202556064507,0.0,0.040739289446186,0.04946011842563566,0.0,0.3470206039171556,0.171892666720253,0.0,0.1500685533856448,0.0
"Beltran, Karen T.",120,0.03239378143391554,0.012651281783138568,0.1874749532786382,0.03142240424290763,0.0309074135124444,0.012967377035873896,0.2543148697559892,0.10230132198688212,0.09947889510593437,0.007496495607840274,0.12772287119407116,0.014627320771783265,0.0,0.0862410142905814,0.0
"Minihan, Anne E.",126,0.04791921136829169,0.01702357607756836,0.12863054804111074,0.03053617230684053,0.06171071759160345,0.010951381820798838,0.052898052269523196,0.21742981062277159,0.10291456818127281,0.0815113249553476,0.0839236455303463,0.024532584463048346,0.020022748344368402,0.1199956584271084,0.0
"Humphrey, Wayne A.",43,0.06752375083065064,0.0027460855589169567,0.10023910914464082,0.10304787376329794,0.014214310380597513,0.0,0.0,0.0,0.0965307574892998,0.03333293883887691,0.1450395293958754,0.020059900118246137,0.0,0.4172657444795979,0.0
"Livingston, Valerie A.",240,0.04457632175509261,0.002160218458684229,0.12486489938131402,0.07232532625331183,0.013948062286158646,0.03853192966806714,0.1509070807680181,0.10972255192613442,0.10738588217116837,0.043489282413970896,0.10315867210517543,0.035004690763858065,0.0,0.15392508204904637,0.0
"Fufidio Jr., George E.",162,0.043294316073529224,0.02335306011420898,0.15060306882611724,0.037454370649652645,0.022222466061942586,0.04712349557240576,0.053682831785831456,0.08941567420479314,0.14767547244730425,0.08505213366420758,0.07063311264045316,0.057041136383515004,0.0,0.172448861576039,0.0
"Sorkin, Noah D.",39,0.036364737603692826,0.0009224555061179077,0.06631307480328676,0.046746895824904204,0.09087850477956348,0.005579334189687605,0.11009278151755851,0.043374960724206046,0.17264760946304464,0.034215994724868595,0.09689596818973793,0.0978218058232123,0.0,0.19814587685011925,0.0
"Zuckerman, David S.",81,0.06661335103868095,0.018820000711043745,0.1697998236492696,0.028314871531955558,0.0015155362052397415,0.053942241097379925,0.06490787929271404,0.0690651831893709,0.06930548505207179,0.06062223014625294,0.16792303964069105,0.029939356926425072,0.0,0.1992310015189048,0.0
"McCarty Jr., James A.",113,0.05973048434854902,0.01867586146045536,0.17894556105077378,0.05954369268343357,0.023447038923973804,0.05978685587651392,0.05311271570308967,0.06704156813617006,0.13444486989008653,0.07547985776050548,0.06088564211634402,0.03193265941294477,0.0,0.17697319263716,0.0
"Collins, John P.",84,0.057899670962394664,0.0,0.06704512425101147,0.13867181255945807,0.03865371616544795,0.0009920822128917644,0.06015112701229376,0.06530930704328056,0.12619453352915325,0.010316239314411089,0.14547570419541317,0.18967667628381338,0.0,0.09961400647043098,0.0
"Everett, David F.",23,0.014550065220768163,0.0,0.21082080409006773,0.023250144937693312,0.000972888947619812,0.0,0.09525316568186003,0.13719090170693818,0.09497151751028203,0.10861662898806158,0.05216716972758618,0.005413660119746154,0.0,0.25679305306937694,0.0
"Piscionere, Taylor",26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
